I
1050 Generated by WorldEditor 2.2.0r2

1    227 1 0 KLSF Lawson AAF
100 45.72 1 0 0.25 0 3 0 15  32.34300376 -084.99651183    0  394 3 0 0 0 33  32.32056647 -084.97780191  214   91 3 7 0 0
110 1 0.00 0.0000 New Taxiway 117
111  32.33356197 -084.98536532
111  32.33325790 -084.98511209
111  32.33330009 -084.98510307
111  32.33355339 -084.98531495
114  32.33355339 -084.98531495  32.33355556 -084.98535289
110 1 0.00 0.0000 New Taxiway 117
111  32.33328920 -084.98547074
111  32.33317443 -084.98537639
111  32.33316924 -084.98532883
113  32.33332079 -084.98545521
110 1 0.00 0.0000 New Taxiway 117
111  32.33214866 -084.98451751
111  32.33203079 -084.98441841
112  32.33203079 -084.98441841  32.33202965 -084.98439474
111  32.33202128 -084.98437149
113  32.33218409 -084.98450726
110 1 0.00 0.0000 New Taxiway 117
111  32.33248764 -084.98446973
111  32.33213496 -084.98417561
111  32.33218335 -084.98417308
113  32.33247897 -084.98441813
110 1 0.00 0.0000 New Taxiway 29
111  32.33964556 -084.99316426 102
111  32.33982063 -084.99287772 102
111  32.33995081 -084.99266016
112  32.33995081 -084.99266016  32.34004896 -084.99245907 102
111  32.33989336 -084.99232852
111  32.34037303 -084.99272909 102
111  32.34028897 -084.99270806
112  32.34028897 -084.99270806  32.34018737 -084.99269855 102
111  32.34012485 -084.99278724 102
111  32.33998574 -084.99301973 102
111  32.33981969 -084.99329723
112  32.33981969 -084.99329723  32.33975751 -084.99345915 102
111  32.33984463 -084.99356227
111  32.33983421 -084.99358802
111  32.33938946 -084.99321581 102
111  32.33948409 -084.99323518
114  32.33948409 -084.99323518  32.33958311 -084.99323575 102
110 2 0.00 0.0000 New Taxiway 28
111  32.34254169 -084.99377838
111  32.34250577 -084.99365345
111  32.34253380 -084.99364216
111  32.34256055 -084.99363139
111  32.34259647 -084.99375632
113  32.34256900 -084.99376738
110 2 0.00 0.0000 New Taxiway 28
111  32.34275091 -084.99369462
111  32.34271499 -084.99356968
111  32.34274239 -084.99355865
111  32.34276977 -084.99354762
111  32.34280568 -084.99367256
113  32.34277750 -084.99368391
110 2 0.00 0.0000 New Taxiway 28
111  32.34295756 -084.99361187
111  32.34292164 -084.99348694
111  32.34294990 -084.99347555
111  32.34297642 -084.99346487
111  32.34301233 -084.99358981
113  32.34298574 -084.99360052
110 2 0.00 0.0000 New Taxiway 28
111  32.34316750 -084.99352927
111  32.34313158 -084.99340434
111  32.34315877 -084.99339339
111  32.34318636 -084.99338228
111  32.34322227 -084.99350721
113  32.34319471 -084.99351831
110 2 0.00 0.0000 New Taxiway 27
111  32.34145382 -084.98777779
