I
1050 Generated by WorldEditor 2.1.0r1

1    249 1 0 LERI Alcantarilla Airbase
1302 city Murcia
1302 country Spain
1302 datum_lat 37.9522222
1302 datum_lon -001.2308333
1302 icao_code LERI
1302 state Murcia
100 32.00 3 0 0.00 0 0 0 Grass  37.95218179 -001.23674265    0    0 1 0 0 0 Grass  37.95535447 -001.22816151    0    0 1 0 0 0
100 45.00 1 0 0.00 0 3 0 07  37.95056940 -001.23577780    0    0 2 12 0 1 25  37.95407500 -001.22606670    0    0 2 0 0 1
110 2 0.00 153.0000 New Taxiway 86
111  37.95789731 -001.23011145
111  37.95767360 -001.22994974
111  37.95779422 -001.22967577
113  37.95801793 -001.22984336
110 2 0.00 153.0000 New Taxiway 86
111  37.95774979 -001.23044652
111  37.95752608 -001.23028481
111  37.95764501 -001.23001467
113  37.95786872 -001.23018226
110 2 0.00 153.0000 New Taxiway 90
111  37.95700062 -001.23176214
111  37.95692283 -001.23170326
111  37.95696204 -001.23161777
113  37.95703983 -001.23167665
110 2 0.00 153.0000 New Taxiway 90
111  37.95708804 -001.23161686
111  37.95699415 -001.23154776
111  37.95705440 -001.23141726
113  37.95714829 -001.23148636
110 2 0.00 153.0000 New Taxiway 89
111  37.95686338 -001.23237091
111  37.95683939 -001.23242255
111  37.95687034 -001.23242382
111  37.95683974 -001.23248556
111  37.95681748 -001.23246968
111  37.95638505 -001.23216269
111  37.95643373 -001.23205508
111  37.95645536 -001.23207098
111  37.95648252 -001.23209094
111  37.95650588 -001.23210812
111  37.95652756 -001.23212405
111  37.95655600 -001.23214496
111  37.95657771 -001.23216091
111  37.95659892 -001.23217651
111  37.95662481 -001.23219554
111  37.95664948 -001.23221367
111  37.95667327 -001.23223116
111  37.95669866 -001.23224983
111  37.95671910 -001.23226485
111  37.95674754 -001.23228575
111  37.95677302 -001.23230448
111  37.95679432 -001.23232014
113  37.95682316 -001.23234134
110 2 0.00 153.0000 New Taxiway 85
111  37.95602067 -001.23289680
111  37.95578537 -001.23272334
