I
1050 Generated by WorldEditor 2.2.0r2

1   1060 1 0 KFBL Faribault Muni-Liz Wall Strohfus Field
100 22.86 1 0 0.00 0 2 0 12  44.33146710 -093.31811349    0    0 2 0 0 1 30  44.32442314 -093.30514077   70    0 2 0 0 1
100 53.34 3 0 0.00 0 0 0 01  44.32775611 -093.31651737    0    0 0 0 0 0 19  44.33397369 -093.31502254    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 1
111  44.32689813 -093.30595267
111  44.32687026 -093.30597985
111  44.32685069 -093.30594344
113  44.32687837 -093.30591629
110 3 0.00 0.0000 New Taxiway 48
111  44.32605824 -093.30671691
111  44.32521476 -093.30514904
111  44.32599905 -093.30481679
111  44.32632013 -093.30475069
112  44.32632013 -093.30475069  44.32634626 -093.30474852
111  44.32636305 -093.30476457
111  44.32653805 -093.30498427
111  44.32661746 -093.30512935
111  44.32664017 -093.30517496
112  44.32662051 -093.30530556  44.32656979 -093.30535750
111  44.32662051 -093.30530556
111  44.32657188 -093.30535187
111  44.32687837 -093.30591629
111  44.32685069 -093.30594344
113  44.32687026 -093.30597985
110 2 0.00 0.0000 New Taxiway 47
111  44.32947956 -093.30936801
111  44.32926000 -093.30959939
111  44.32905385 -093.30922145
113  44.32927322 -093.30899102
110 2 0.00 0.0000 New Taxiway 46
111  44.32973188 -093.30982868
111  44.32951106 -093.31005887
111  44.32930762 -093.30968565
113  44.32952760 -093.30945521
110 2 0.00 0.0000 New Taxiway 45
111  44.33026295 -093.30928096
111  44.33008011 -093.30946212
111  44.32987723 -093.30908517
113  44.33005284 -093.30890293
110 2 0.00 0.0000 New Taxiway 44
111  44.33073857 -093.30876604
111  44.33056086 -093.30895297
111  44.33042610 -093.30870964
111  44.33044411 -093.30869105
111  44.33037447 -093.30856014
111  44.33052044 -093.30840727
111  44.33059499 -093.30854552
113  44.33061082 -093.30853178
110 2 0.00 0.0000 New Taxiway 43
111  44.33023670 -093.30835785
111  44.32990977 -093.30869741
111  44.32991944 -093.30871449
111  44.32972229 -093.30892297
111  44.32957826 -093.30866321
113  44.33010271 -093.30811387
110 2 0.00 0.0000 New Taxiway 42
111  44.32876058 -093.30722127
111  44.32869180 -093.30729402
111  44.32859262 -093.30739895
111  44.32849319 -093.30750412
111  44.32839524 -093.30760774
111  44.32829839 -093.30771020
111  44.32819600 -093.30781852
111  44.32818829 -093.30782667
111  44.32807122 -093.30761172
111  44.32808032 -093.30760230
111  44.32813332 -093.30754722
111  44.32822920 -093.30744799
111  44.32832806 -093.30734568
111  44.32842704 -093.30724324
111  44.32853041 -093.30713626
113  44.32864773 -093.30701484
110 2 0.00 0.0000 New Taxiway 41
111  44.32871895 -093.30640285
111  44.32861978 -093.30650736
111  44.32852933 -093.30660268
111  44.32843921 -093.30669765
111  44.32834990 -093.30679177
111  44.32826164 -093.30688478
111  44.32821551 -093.30693339
111  44.32812586 -093.30677402
113  44.32862654 -093.30624136
110 2 0.00 0.0000 New Taxiway 40
111  44.32894420 -093.30619661
111  44.32876543 -093.30639124
111  44.32865934 -093.30620345
113  44.32884498 -093.30601594
110 2 0.00 0.0000 New Taxiway 39
111  44.32865453 -093.30581267
111  44.32850116 -093.30597509
111  44.32848292 -093.30594493
111  44.32834772 -093.30570284
111  44.32850643 -093.30553797
113  44.32851351 -093.30555097
110 2 0.00 0.0000 New Taxiway 38
111  44.32845133 -093.30597884
111  44.32831784 -093.30612216
111  44.32818942 -093.30588995
113  44.32832486 -093.30574733
110 2 0.00 0.0000 New Taxiway 37
111  44.32782930 -093.30624686
111  44.32766236 -093.30594976
111  44.32764401 -093.30596945
111  44.32762399 -093.30593188
111  44.32764382 -093.30591297
111  44.32760782 -093.30584827
111  44.32761490 -093.30584077
111  44.32779130 -093.30565683
111  44.32801559 -093.30605420
113  44.32794569 -093.30612335
110 2 0.00 0.0000 New Taxiway 36
111  44.32731546 -093.30531674
111  44.32732774 -093.30530368
111  44.32746462 -093.30516646
111  44.32762249 -093.30544954
111  44.32748415 -093.30559350
111  44.32745202 -093.30558732
111  44.32744076 -093.30556787
111  44.32741428 -093.30552033
113  44.32741683 -093.30550193
110 2 0.00 0.0000 New Taxiway 35
111  44.32727517 -093.30525060
