A
1050 Generated by WorldEditor 1.6.0r1

1    408 0 0 KMLT Millinocket Municipal Airport
100 30.48 1 0 0.25 0 2 0 11  45.64937200 -068.69279194    0   89 2 0 0 0 29  45.64928401 -068.67437014    0    0 2 12 0 1
100 30.48 1 1 0.25 0 0 0 16  45.65022781 -068.69304483    0  302 1 0 0 0 34  45.64191862 -068.68271980    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 53
111  45.64915835 -068.67523361 102
112  45.64902313 -068.67508090  45.64893891 -068.67507926
111  45.64902313 -068.67508090 102
111  45.64883226 -068.67508913 102
112  45.64865575 -068.67499405  45.64858021 -068.67490479
111  45.64865575 -068.67499405
112  45.64865575 -068.67499405  45.64861087 -068.67494102 102
112  45.64857453 -068.67473033  45.64857410 -068.67460213
111  45.64857453 -068.67473033
112  45.64857453 -068.67473033  45.64857411 -068.67460458 102
112  45.64864973 -068.67447019  45.64869210 -068.67441734
111  45.64864973 -068.67447019
112  45.64864973 -068.67447019  45.64872325 -068.67437848 102
111  45.64882420 -068.67437318 102
111  45.64914981 -068.67437318
111  45.64915228 -068.67459702 102
112  45.64904700 -068.67449826  45.64897221 -068.67449167
111  45.64904700 -068.67449826 102
111  45.64881730 -068.67450266 102
112  45.64871925 -068.67457020  45.64867732 -068.67462870
111  45.64871925 -068.67457020
112  45.64871925 -068.67457020  45.64869480 -068.67460431 102
112  45.64867433 -068.67473104  45.64867348 -068.67480682
111  45.64867433 -068.67473104
112  45.64867433 -068.67473104  45.64867344 -068.67481008 102
112  45.64872359 -068.67489594  45.64875142 -068.67492990
111  45.64872359 -068.67489594
112  45.64872359 -068.67489594  45.64876819 -068.67495036 102
111  45.64882693 -068.67495866 102
111  45.64902169 -068.67495902
112  45.64902169 -068.67495902  45.64911536 -068.67495191 102
113  45.64915631 -068.67480665
110 2 0.00 0.0000 New Taxiway 61
111  45.64737453 -068.69184984
111  45.64722200 -068.69209570
111  45.64709576 -068.69194026
113  45.64724014 -068.69168845
110 2 0.00 0.0000 New Taxiway 60
111  45.64705802 -068.69091977
111  45.64697518 -068.69106301
111  45.64682470 -068.69087633
113  45.64690813 -068.69073656
110 2 0.00 0.0000 New Taxiway 59
111  45.64661269 -068.69037544
111  45.64652973 -068.69050869
111  45.64641920 -068.69037059
113  45.64650295 -068.69024130
110 2 0.00 0.0000 New Taxiway 58
111  45.64636148 -068.69006837
111  45.64624773 -068.69025328
111  45.64611827 -068.69009719
113  45.64623548 -068.68991436
110 1 0.00 0.0000 New Taxiway 57
111  45.64887289 -068.69174645 102
111  45.64864644 -068.69211761 102
111  45.64852805 -068.69231166 102
112  45.64826671 -068.69235089  45.64812961 -068.69221561
111  45.64826671 -068.69235089 102
111  45.64801437 -068.69202402
111  45.64782900 -068.69203088
111  45.64750914 -068.69164411
111  45.64737453 -068.69184984
111  45.64724014 -068.69168845
111  45.64718814 -068.69162600
111  45.64724176 -068.69153695
111  45.64732390 -068.69140053
112  45.64729514 -068.69120961  45.64722726 -068.69111580
111  45.64729514 -068.69120961
111  45.64705802 -068.69091977
111  45.64690813 -068.69073656
111  45.64661269 -068.69037544
111  45.64650295 -068.69024130
111  45.64636148 -068.69006837
111  45.64623548 -068.68991436
111  45.64626539 -068.68986334
112  45.64626539 -068.68986334  45.64629530 -068.68981067
111  45.64625964 -068.68973826
111  45.64616414 -068.68962799
111  45.64624583 -068.68948974
111  45.64697575 -068.69038341
112  45.64697575 -068.69038341  45.64709176 -068.69048216
111  45.64719523 -068.69039027 102
111  45.64722236 -068.69034613 102
111  45.64739294 -068.69006852
112  45.64739294 -068.69006852  45.64742841 -068.68999994 102
111  45.64739409 -068.68990613
111  45.64756577 -068.69011098 102
112  45.64747372 -068.69014939  45.64743921 -068.69020425
111  45.64747372 -068.69014939 102
111  45.64729641 -068.69043972 102
111  45.64724841 -068.69051833 102
112  45.64727046 -068.69065411  45.64731265 -068.69071171
111  45.64727046 -068.69065411 102
111  45.64795792 -068.69148525 102
111  45.64790518 -068.69159086
112  45.64790518 -068.69159086  45.64787067 -068.69168001 102
111  45.64792532 -068.69175407 102
111  45.64830229 -068.69221834
112  45.64830229 -068.69221834  45.64839337 -068.69231549 102
111  45.64847759 -068.69220531 102
111  45.64857936 -068.69203539 102
113  45.64880454 -068.69165943
130 Airport Boundary
111  45.64116035 -068.68292560
111  45.64612015 -068.68913339
111  45.64540934 -068.69065057
111  45.64863679 -068.69413717
111  45.65209283 -068.69695550
111  45.65303095 -068.69497684
111  45.65004800 -068.69132900
111  45.64999299 -068.67411301
111  45.64955772 -068.67411763
111  45.64955485 -068.67308105
111  45.64900805 -068.67308168
