I
1050 Generated by WorldEditor 1.7.1r2

1   1075 0 0 KRRT Warroad International Memorial Airport
100 30.48 1 0 0.25 0 3 0 13  48.94598627 -095.35422787    0    0 3 8 0 1 31  48.93488470 -095.33936733    0    0 3 8 0 0
100 45.72 3 0 0.00 0 0 0 4  48.94025307 -095.35565380    0    0 0 0 0 0 22  48.94642024 -095.34735900    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 1
111  48.93363201 -095.34195968
111  48.93356425 -095.34196510
112  48.93356425 -095.34196510  48.93355553 -095.34196820
111  48.93354762 -095.34198207
111  48.93347945 -095.34209969
111  48.93335266 -095.34231844
111  48.93270312 -095.34343908
111  48.93189201 -095.34234871
111  48.93209448 -095.34198758
112  48.93228401 -095.34192920  48.93238126 -095.34203408
111  48.93228401 -095.34192920
111  48.93287052 -095.34271360
112  48.93296529 -095.34273201  48.93301774 -095.34269051
111  48.93296529 -095.34273201
111  48.93345709 -095.34188694
112  48.93345709 -095.34188694  48.93348310 -095.34182047
113  48.93346040 -095.34173026
111  48.93262608 -095.34321320
112  48.93268213 -095.34321640  48.93269933 -095.34320221
111  48.93268213 -095.34321640
111  48.93285784 -095.34292336
112  48.93285784 -095.34292336  48.93287301 -095.34287481
111  48.93285680 -095.34281761
111  48.93280983 -095.34275397
112  48.93280983 -095.34275397  48.93279392 -095.34274120
111  48.93277396 -095.34275200
111  48.93271770 -095.34284729
111  48.93224417 -095.34221103
111  48.93229472 -095.34211534
112  48.93229472 -095.34211534  48.93230354 -095.34209472
111  48.93229942 -095.34206845
111  48.93225634 -095.34200190
112  48.93225634 -095.34200190  48.93220060 -095.34196231
111  48.93216870 -095.34199955
111  48.93211613 -095.34207921
111  48.93205160 -095.34218770
111  48.93200105 -095.34229221
112  48.93200105 -095.34229221  48.93199383 -095.34233660
111  48.93200885 -095.34238829
111  48.93208131 -095.34248399
111  48.93214477 -095.34237883
111  48.93262134 -095.34301782
113  48.93256294 -095.34311867
110 2 0.00 0.0000 New Taxiway 8
111  48.93347945 -095.34209969
111  48.93373310 -095.34244120
111  48.93360582 -095.34266169
113  48.93335266 -095.34231844
110 2 0.00 0.0000 New Taxiway 6
111  48.93193053 -095.33993166
111  48.93199173 -095.33982688
111  48.93208167 -095.33995092
111  48.93208599 -095.33995671
113  48.93202339 -095.34005830
110 2 0.00 0.0000 New Taxiway 5
111  48.93199519 -095.34017014
111  48.93210678 -095.33998458
111  48.93225618 -095.34018489
113  48.93214241 -095.34037434
110 2 0.00 0.0000 New Taxiway 4
111  48.93225093 -095.34047440
111  48.93236006 -095.34028701
111  48.93248742 -095.34045839
113  48.93237682 -095.34064659
110 2 0.00 0.0000 New Taxiway 3
111  48.93175168 -095.33981775
111  48.93185842 -095.33964304
111  48.93197739 -095.33980711
113  48.93187261 -095.33998899
110 2 0.00 0.0000 New Taxiway 2
111  48.93167365 -095.33938814
111  48.93176691 -095.33951684
111  48.93166323 -095.33969457
113  48.93156902 -095.33956291
110 2 0.00 0.0000 New Taxiway 7
111  48.93219629 -095.34033618
111  48.93227116 -095.34020497
111  48.93233955 -095.34029666
113  48.93226379 -095.34042768
110 2 0.00 0.0000 New Taxiway 7
111  48.93214477 -095.34237883
111  48.93224417 -095.34221103
111  48.93271770 -095.34284729
113  48.93262134 -095.34301782
110 2 0.00 0.0000 New Taxiway 13
111  48.93291781 -095.34112546
111  48.93331533 -095.34165112
111  48.93309587 -095.34204677
111  48.93278147 -095.34162548
111  48.93283260 -095.34153945
111  48.93278947 -095.34147565
111  48.93282956 -095.34140352
113  48.93279372 -095.34133694
110 2 0.00 0.0000 New Taxiway 12
111  48.93208167 -095.33995092
111  48.93210629 -095.33990880
111  48.93229877 -095.34016402
111  48.93229636 -095.34016790
111  48.93265993 -095.34065579
111  48.93265210 -095.34067191
111  48.93253033 -095.34050410
111  48.93252607 -095.34051039
111  48.93248742 -095.34045839
111  48.93236006 -095.34028701
111  48.93235187 -095.34027598
111  48.93233955 -095.34029666
111  48.93227116 -095.34020497
111  48.93225618 -095.34018489
111  48.93210678 -095.33998458
113  48.93208599 -095.33995671
110 2 0.00 0.0000 New Taxiway 9
111  48.93167365 -095.33938814
111  48.93174405 -095.33926911
111  48.93183771 -095.33939340
113  48.93176691 -095.33951684
110 2 0.00 0.0000 New Taxiway 8
111  48.93335253 -095.34158614
111  48.93331533 -095.34165112
111  48.93291781 -095.34112546
111  48.93282475 -095.34100240
111  48.93286151 -095.34093985
111  48.93276900 -095.34080354
111  48.93287856 -095.34062120
111  48.93298697 -095.34076680
113  48.93287889 -095.34095309
110 1 0.00 0.0000 New Taxiway 3
111  48.94590583 -095.35436707
111  48.94589525 -095.35438528 102
111  48.94491467 -095.35607297 102
111  48.94263817 -095.35302499
111  48.94220489 -095.35244488 102
111  48.93445119 -095.34206356
111  48.93409928 -095.34267134
111  48.93366155 -095.34209374
111  48.93369086 -095.34203833
111  48.93363201 -095.34195968
111  48.93346040 -095.34173026
111  48.93335253 -095.34158614
111  48.93287889 -095.34095309
111  48.93298697 -095.34076680
111  48.93287856 -095.34062120
111  48.93276900 -095.34080354
111  48.93276358 -095.34081255
111  48.93265210 -095.34067191
111  48.93265993 -095.34065579
111  48.93229636 -095.34016790
111  48.93229877 -095.34016402
111  48.93210629 -095.33990880
111  48.93208167 -095.33995092
111  48.93199173 -095.33982688
111  48.93197739 -095.33980711
111  48.93185842 -095.33964304
111  48.93176691 -095.33951684
111  48.93183771 -095.33939340
111  48.93174405 -095.33926911
111  48.93176392 -095.33923361
111  48.93230555 -095.33996432
112  48.93234791 -095.33995230  48.93237516 -095.33992417
111  48.93234791 -095.33995230
111  48.93255399 -095.33960140
111  48.93337475 -095.34069417
111  48.93347245 -095.34053452 102
111  48.93378035 -095.34094320 102
112  48.93396233 -095.34095340  48.93407899 -095.34085893
111  48.93396233 -095.34095340 102
111  48.93479778 -095.33951791
111  48.93497382 -095.33975598 102
111  48.93495637 -095.33974333 102
