I
1050 Generated by WorldEditor 1.6.0r1

1    338 1 0 MM01 Cuauhtemoc
100 18.29 1 0 0.25 0 0 0 18  22.74928100 -099.01658100    0    0 0 0 0 0 36  22.73145300 -099.01987500    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 19
111  22.74768080 -099.01730346
111  22.74763591 -099.01731445
111  22.74761853 -099.01720452
113  22.74766632 -099.01719352
110 2 0.00 0.0000 New Taxiway 18
111  22.74528455 -099.01699596
111  22.74518751 -099.01701010
111  22.74517593 -099.01691587
113  22.74527297 -099.01690174
110 2 0.00 0.0000 New Taxiway 17
111  22.74568101 -099.01688294
111  22.74555412 -099.01690882
111  22.74554306 -099.01685517
111  22.74549475 -099.01686464
111  22.74548951 -099.01682993
111  22.74554132 -099.01682109
111  22.74554481 -099.01682993
113  22.74566820 -099.01680847
110 2 0.00 0.0000 New Taxiway 16
111  22.74711693 -099.01659871
111  22.74697026 -099.01662053
111  22.74696188 -099.01654146
111  22.74701552 -099.01653328
111  22.74701719 -099.01654782
113  22.74711861 -099.01653055
110 2 0.00 0.0000 New Taxiway 15
111  22.74690930 -099.01667384
111  22.74675119 -099.01670124
111  22.74671599 -099.01670452
111  22.74670995 -099.01669361
111  22.74651426 -099.01672341
111  22.74650987 -099.01670086
111  22.74651001 -099.01666730
111  22.74654421 -099.01661604
111  22.74682784 -099.01656478
111  22.74686907 -099.01658223
111  22.74689623 -099.01655605
111  22.74690930 -099.01661167
113  22.74689824 -099.01662258
110 2 0.00 0.0000 New Taxiway 14
111  22.74735185 -099.01659095
111  22.74717383 -099.01662476
111  22.74715270 -099.01649607
113  22.74733374 -099.01646335
110 2 0.00 0.0000 New Taxiway 13
111  22.74815999 -099.01720135
111  22.74799826 -099.01722752
111  22.74797774 -099.01711628
113  22.74814309 -099.01708356
110 2 0.00 0.0000 New Taxiway 10
111  22.74856021 -099.01633775
111  22.74846067 -099.01635502
111  22.74845053 -099.01628278
113  22.74856021 -099.01626700
110 2 0.00 0.0000 New Taxiway 9
111  22.74799286 -099.01653720
111  22.74782775 -099.01656233
111  22.74779734 -099.01634874
113  22.74796679 -099.01632361
110 1 0.00 0.0000 New Taxiway 8
111  22.73413268 -099.01953108
111  22.73350628 -099.01965408
111  22.73349496 -099.01958782
111  22.73346506 -099.01941277
111  22.73345196 -099.01933610
111  22.73407957 -099.01921832
111  22.73409295 -099.01929710
111  22.73346506 -099.01941277
111  22.73349496 -099.01958782
113  22.73412268 -099.01947221
110 1 0.00 0.0000 New Taxiway 7
111  22.73143932 -099.01978716
111  22.73142713 -099.01970906
111  22.73192332 -099.01962329
113  22.73193673 -099.01969690
110 1 0.00 0.0000 New Taxiway 6
111  22.73981756 -099.01847227
111  22.73980921 -099.01842143
111  22.73978044 -099.01824629
111  22.73977049 -099.01818568
111  22.74023636 -099.01810192
111  22.74024561 -099.01815996
111  22.73978044 -099.01824629
111  22.73980921 -099.01842143
111  22.74027360 -099.01833568
113  22.74028223 -099.01838983
110 1 0.00 0.0000 New Taxiway 5
111  22.74843425 -099.01682676
112  22.74832389 -099.01696914  22.74827011 -099.01698126
112  22.74819608 -099.01693809  22.74817163 -099.01691007
111  22.74816465 -099.01687599
113  22.74816465 -099.01687599
110 2 0.00 0.0000 New Taxiway 11
111  22.74906857 -099.01629056
111  22.74905061 -099.01617802
112  22.74913147 -099.01613614  22.74918820 -099.01612698
111  22.74924010 -099.01615446
111  22.74925820 -099.01625654
113  22.74923802 -099.01626438
110 1 0.00 0.0000 New Taxiway 4
111  22.74795191 -099.01673972
112  22.74818219 -099.01656382  22.74825895 -099.01648216
111  22.74827344 -099.01641306
111  22.74836323 -099.01640835
112  22.74851965 -099.01655283  22.74854138 -099.01655440
112  22.74868766 -099.01652613  22.74874269 -099.01651671
111  22.74873111 -099.01646174
111  22.74859496 -099.01647431
111  22.74858338 -099.01641463
111  22.74856021 -099.01641777
111  22.74856021 -099.01633775
111  22.74856021 -099.01626700
112  22.74874559 -099.01624659  22.74877166 -099.01625444
111  22.74877890 -099.01626857
111  22.74881511 -099.01644604
111  22.74907581 -099.01635966
111  22.74906857 -099.01629056
111  22.74923802 -099.01626438
113  22.74926264 -099.01649629
110 2 0.00 0.0000 New Taxiway 12
111  22.74888115 -099.01694878
111  22.74889151 -099.01705116
111  22.74874768 -099.01707515
113  22.74873028 -099.01697056
110 1 0.00 0.0000 New Taxiway 3
111  22.74892353 -099.01673540
111  22.74895846 -099.01693762
111  22.74888115 -099.01694878
111  22.74873028 -099.01697056
111  22.74871171 -099.01697324
112  22.74863377 -099.01687145  22.74857426 -099.01683418
113  22.74850218 -099.01681328
110 1 0.00 0.0000 New Taxiway 1
111  22.74613465 -099.01707423
112  22.74604714 -099.01698807  22.74600591 -099.01693681
111  22.74594757 -099.01677977
111  22.74623623 -099.01673287
112  22.74616683 -099.01683757  22.74613666 -099.01692373
112  22.74622416 -099.01701097  22.74627747 -099.01702188
111  22.74635190 -099.01699243
111  22.74635290 -099.01672742
111  22.74650987 -099.01670086
111  22.74651426 -099.01672341
111  22.74670995 -099.01669361
111  22.74671599 -099.01670452
