I
1050 Generated by WorldEditor 2.1.0r1

1   3474 0 0 CEM5 Swan Hills
100 30.48 1 0 0.25 0 0 0 11  54.67422258 -115.42365251    0    0 1 0 0 0 29  54.66734535 -115.40603834    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 19
111  54.66775518 -115.40668627
111  54.66745307 -115.40591412
111  54.66756319 -115.40579269
111  54.66778646 -115.40634767
112  54.66778646 -115.40634767  54.66779793 -115.40639188
113  54.66779754 -115.40643982
110 1 0.00 0.0000 New Taxiway 18
111  54.67399413 -115.42390424
111  54.67379626 -115.42341042
112  54.67379626 -115.42341042  54.67377237 -115.42334729
111  54.67377119 -115.42327271
111  54.67381180 -115.42300531
113  54.67411323 -115.42377964
110 3 0.00 0.0000 New Taxiway 21
111  54.67322608 -115.41898632
111  54.67312122 -115.41872161
111  54.67371722 -115.41803049
113  54.67382025 -115.41829472
110 1 0.00 0.0000 New Taxiway 20
111  54.67292848 -115.41991345
111  54.67292223 -115.41992092
111  54.67269366 -115.41933756
111  54.67270072 -115.41932934
111  54.67287194 -115.41939853
111  54.67322608 -115.41898632
111  54.67382025 -115.41829472
111  54.67391656 -115.41854103
111  54.67400684 -115.41877189
111  54.67405179 -115.41888685
111  54.67413871 -115.41910912
111  54.67418604 -115.41923015
111  54.67427256 -115.41945142
111  54.67436183 -115.41967971
111  54.67391422 -115.42020541
111  54.67352798 -115.41921489
111  54.67330362 -115.41917898
113  54.67294053 -115.41961388
130 Airport Boundary
111  54.67490262 -115.42015027
111  54.67413288 -115.42099700
111  54.67423275 -115.42224392
111  54.67493429 -115.42413960
111  54.67409634 -115.42510008
111  54.67340065 -115.42329961
111  54.67321942 -115.42261718
111  54.66890171 -115.41149024
111  54.66829078 -115.41100501
111  54.66700171 -115.40739114
111  54.66642879 -115.40534923
111  54.66705140 -115.40461131
111  54.66745478 -115.40480843
111  54.67040417 -115.41165209
111  54.67049641 -115.41259723
111  54.67201119 -115.41647072
111  54.67399916 -115.41739956
113  54.67470238 -115.41916520
120 HS
111  54.67322608 -115.41898632 4
115  54.67330362 -115.41917898
120 Linear Feature 25
112  54.67286161 -115.41956141  54.67271832 -115.41966473 1
111  54.67263640 -115.41952026 1
115  54.67241434 -115.41895191
120 Linear Feature 24
111  54.67300320 -115.42045318 1
111  54.67281016 -115.41995961
112  54.67281016 -115.41995961  54.67275662 -115.41971648 1
111  54.67286161 -115.41956141 1
115  54.67333847 -115.41899323
120 Linear Feature 23
112  54.67400684 -115.41877189  54.67388023 -115.41911895 1
116  54.67391656 -115.41854103  54.67413449 -115.41849421
120 Linear Feature 23
112  54.67413871 -115.41910912  54.67400558 -115.41946182 1
116  54.67405179 -115.41888685  54.67427461 -115.41885979
120 Linear Feature 23
112  54.67427256 -115.41945142  54.67413943 -115.41980412 1
116  54.67418604 -115.41923015  54.67440559 -115.41922002
120 Linear Feature 22
112  54.67386818 -115.41951914  54.67386727 -115.41938861 1
112  54.67372009 -115.41937537  54.67365518 -115.41944200 1
114  54.67372214 -115.41966906  54.67378796 -115.41973295 1
120 Linear Feature 22
112  54.67400868 -115.41988457  54.67400777 -115.41975405 1
112  54.67386058 -115.41974081  54.67379568 -115.41980744 1
114  54.67386264 -115.42003449  54.67392846 -115.42009839 1
21  54.67316159 -115.41992667 1 124.0300 3.00 VASI-2B-11
21  54.66841710 -115.40977172 1 304.0300 3.00 VASI-2B-29
14  54.67446113 -115.41879472  20.00 0 Tower
1300  54.67395289 -115.41984229  34.14 tie_down helos Helicopter Parking 1
1301 A general_aviation 
1300  54.67381126 -115.41947293  34.14 tie_down helos Helicopter Parking 2
1301 A general_aviation 
1300  54.67412941 -115.41945439 -145.96 tie_down helos Helicopter Parking 3
1301 A general_aviation 
1300  54.67399628 -115.41910659 -145.96 tie_down helos Helicopter Parking 4
1301 A general_aviation 
1300  54.67386183 -115.41876552 -145.96 tie_down helos Helicopter Parking 5
1301 A general_aviation 
1300  54.67328381 -115.41884380 303.68 tie_down turboprops|props Grass Apron 1
1301 A general_aviation 
1300  54.67339258 -115.41871918 303.68 tie_down turboprops|props Grass Apron 2
1301 A general_aviation 
1300  54.67349931 -115.41859691 303.68 tie_down turboprops|props Grass Apron 3
1301 A general_aviation 
1300  54.67360672 -115.41847229 303.68 tie_down turboprops|props Grass Apron 4
1301 A general_aviation 
1300  54.67371549 -115.41834649 303.68 tie_down turboprops|props Grass Apron 5
1301 A general_aviation 
19  54.67298892 -115.41756963 0 WS-UNLIT-1
19  54.66755467 -115.40866068 0 WS-UNLIT-2
51 12320 Swan Hills Traffic
99
