I
1050 Generated by WorldEditor 2.1.0r1

1    420 1 0 GMMI Essaouira/Mogador International Airport
100 42.67 1 0 0.00 0 2 1 16  31.40997077 -009.68790968    0    0 3 0 0 0 34  31.38832767 -009.67803991    0    0 3 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  31.38776105 -009.67759731
111  31.38824873 -009.67779380
111  31.38829720 -009.67769915
111  31.38844968 -009.67777606
111  31.38847801 -009.67777560
111  31.38885337 -009.67795907
111  31.38927318 -009.67818022
111  31.40913931 -009.68718009
112  31.40913931 -009.68718009  31.40917041 -009.68718714
111  31.40920803 -009.68718445
111  31.40961085 -009.68706274
111  31.41028725 -009.68736897
111  31.40998474 -009.68824812
111  31.40604779 -009.68645674
111  31.40586865 -009.68641448
112  31.40586865 -009.68641448  31.40577047 -009.68642763
111  31.40570795 -009.68651074
111  31.40522612 -009.68794083
111  31.40519323 -009.68803616
111  31.40418985 -009.68758634
111  31.40414715 -009.68758905
111  31.40390773 -009.68825812
111  31.40278719 -009.68772940
111  31.40274887 -009.68768517
111  31.40302979 -009.68685327
112  31.40302979 -009.68685327  31.40302960 -009.68682815
111  31.40301873 -009.68681834
111  31.40115577 -009.68597354
112  31.40115577 -009.68597354  31.40091714 -009.68584947
112  31.40075919 -009.68549002  31.40071278 -009.68533019
111  31.40075919 -009.68549002
111  31.40060322 -009.68474665
111  31.40043114 -009.68399297
112  31.40043114 -009.68399297  31.40039945 -009.68390200
111  31.40036318 -009.68388100
111  31.39995096 -009.68367567
111  31.38905535 -009.67875426
112  31.38905535 -009.67875426  31.38902736 -009.67875325
111  31.38900803 -009.67875629
111  31.38871371 -009.67884891
111  31.38858098 -009.67883471
111  31.38855501 -009.67882727
111  31.38796249 -009.67853814
111  31.38808801 -009.67816295
113  31.38764124 -009.67796014
111  31.40086866 -009.68411767
112  31.40080077 -009.68428576  31.40078923 -009.68438267
111  31.40080077 -009.68428576
111  31.40103922 -009.68540643
112  31.40103922 -009.68540643  31.40105557 -009.68545939
112  31.40124178 -009.68564957  31.40139873 -009.68574948
111  31.40124178 -009.68564957
111  31.40189053 -009.68593866
111  31.40226875 -009.68612148
111  31.40420764 -009.68701437
111  31.40434130 -009.68661924
111  31.40497911 -009.68690646
112  31.40535703 -009.68675039  31.40551546 -009.68652794
111  31.40535703 -009.68675039
112  31.40535703 -009.68675039  31.40542072 -009.68659555
111  31.40546310 -009.68635701
112  31.40546310 -009.68635701  31.40545381 -009.68632157
111  31.40540170 -009.68623341
111  31.40531619 -009.68616187
111  31.40523792 -009.68610291
113  31.40143602 -009.68436050
130 Airport Boundary 27
111  31.38633772 -009.67915633
111  31.38700145 -009.67699677
111  31.39144479 -009.67703996
111  31.41093280 -009.68565760
111  31.41312682 -009.68686716
111  31.41308994 -009.68831431
111  31.41321900 -009.69135982
111  31.40627445 -009.68928118
111  31.40603982 -009.69012757
111  31.40446531 -009.68981647
111  31.40344034 -009.69114753
111  31.40152623 -009.69072787
111  31.40153240 -009.68949088
111  31.39996407 -009.68894101
111  31.39905023 -009.68971501
111  31.39817962 -009.68857210
111  31.39850687 -009.68808021
111  31.40021105 -009.68724110
111  31.40045186 -009.68656114
113  31.40018018 -009.68582331
120 Linear Feature 14
111  31.40410245 -009.68744497 51
111  31.40394842 -009.68751214 51
115  31.40379019 -009.68758114
120 Linear Feature 13
