A
1000 Generated by WorldEditor

1     27 1 0 PAUN Unalakleet
100 45.72 1 0 0.00 0 3 1 15  63.89791116 -160.80599251    0    0 3 8 0 0 33  63.88234184 -160.79595727    0   38 2 0 0 2
100 22.86 1 0 0.00 0 2 0 8  63.88343464 -160.79874334    0   58 1 0 0 0 26  63.88267136 -160.78703182    0    0 1 0 0 0
110 2 0.00 12.0000 New Taxiway 30
111  63.88200217 -160.80001358
111  63.88175612 -160.79986990
111  63.88181005 -160.79939341
113  63.88205609 -160.79953709
110 2 0.00 12.0000 New Taxiway 30
111  63.88043921 -160.79921719
111  63.88016942 -160.79906327
111  63.88023795 -160.79844345
113  63.88050775 -160.79859737
110 2 0.00 12.0000 New Taxiway 30
111  63.88087561 -160.79938914
111  63.88064975 -160.79936409
111  63.88066427 -160.79872716
113  63.88089013 -160.79875221
110 2 0.00 12.0000 New Taxiway 30
111  63.87938200 -160.79750721
111  63.87914776 -160.79737404
111  63.87920946 -160.79681415
113  63.87944369 -160.79694732
110 2 0.00 12.0000 New Taxiway 30
111  63.87924200 -160.79801347
111  63.87908255 -160.79792127
111  63.87912035 -160.79758400
113  63.87927980 -160.79767620
110 2 0.00 12.0000 New Taxiway 30
111  63.88164069 -160.79983411
111  63.88152704 -160.79976951
111  63.88155464 -160.79951900
113  63.88166829 -160.79958360
110 1 0.00 12.0000 New Taxiway 31
111  63.88278179 -160.79031253 102
112  63.88270282 -160.79019639  63.88265094 -160.79021360
111  63.88270282 -160.79019639 102
111  63.88247051 -160.79027362
112  63.88247051 -160.79027362  63.88243973 -160.79028302 102
111  63.88243745 -160.79039447
111  63.88238821 -160.78963005 102
112  63.88243385 -160.78970766  63.88246288 -160.78969810
111  63.88243385 -160.78970766 102
111  63.88266877 -160.78962952
112  63.88266877 -160.78962952  63.88270740 -160.78961404 102
113  63.88272931 -160.78950108
110 1 0.00 12.0000 New Taxiway 30
111  63.88250495 -160.79144228
111  63.88197415 -160.79161871
111  63.88181495 -160.78914728
111  63.88234575 -160.78897084
111  63.88238821 -160.78963005
113  63.88243745 -160.79039447
110 2 0.00 12.0000 New Taxiway 30
111  63.88199155 -160.78888040
111  63.88179296 -160.78894753
111  63.88172882 -160.78796855
113  63.88192741 -160.78790142
110 1 0.00 12.0000 New Taxiway 30
111  63.88496525 -160.79172205
111  63.88467919 -160.79179975
111  63.88463821 -160.79101031
113  63.88492428 -160.79093261
110 1 0.00 12.0000 New Taxiway 27
111  63.89785304 -160.80643628
111  63.89776375 -160.80681172
111  63.89699242 -160.80631773
113  63.89694201 -160.80584352
110 1 0.00 12.0000 New Taxiway 26
111  63.88209561 -160.79773721 102
112  63.88223704 -160.79759092  63.88228607 -160.79742563
111  63.88223704 -160.79759092 102
111  63.88245745 -160.79687237
112  63.88245745 -160.79687237  63.88251589 -160.79668245 102
111  63.88244905 -160.79650911
111  63.88299135 -160.79685613 102
112  63.88280752 -160.79709398  63.88275639 -160.79726546
111  63.88280752 -160.79709398 102
111  63.88260153 -160.79779567
112  63.88260153 -160.79779567  63.88255242 -160.79795792 102
113  63.88263137 -160.79804576
110 1 0.00 12.0000 New Taxiway 25
112  63.88300753 -160.79547363  63.88300271 -160.79538448
111  63.88302067 -160.79564858
114  63.88292541 -160.79558356  63.88298634 -160.79562032
110 1 0.00 12.0000 New Taxiway 24
111  63.88346108 -160.79593671
112  63.88343490 -160.79547770  63.88344951 -160.79570635
114  63.88370591 -160.79608813  63.88386257 -160.79620429
110 1 0.00 12.0000 New Taxiway 23
111  63.88356184 -160.79747880
112  63.88392066 -160.79771928  63.88378483 -160.79763368
114  63.88360344 -160.79809929  63.88363531 -160.79859551
110 1 0.00 12.0000 New Taxiway 19
111  63.88270820 -160.79936821 5
111  63.88284225 -160.79816721 102
111  63.88315391 -160.79834650
112  63.88315391 -160.79834650  63.88325730 -160.79840050 102
111  63.88328843 -160.79807934
111  63.88341005 -160.79995903 102
112  63.88317525 -160.79963430  63.88309078 -160.79958745
113  63.88317525 -160.79963430 102
110 1 0.00 12.0000 New Taxiway 19
111  63.87899136 -160.79851277
111  63.87926019 -160.79610427
111  63.88209561 -160.79773721
111  63.88263137 -160.79804576 102
111  63.88284225 -160.79816721
111  63.88270820 -160.79936821
113  63.88257342 -160.80057571
110 1 0.00 12.0000 New Taxiway 21
111  63.88203731 -160.79501098
111  63.89938961 -160.80619517
111  63.89921644 -160.80758275
113  63.88186486 -160.79639846
110 1 0.00 12.0000 New Taxiway 20
111  63.88377890 -160.80074372
111  63.88336015 -160.80088456
111  63.88239381 -160.78605742
113  63.88281260 -160.78591730
130 Airport Boundary 2
111  63.89926759 -160.80832265
111  63.88277087 -160.80098637
111  63.87863945 -160.79856811
111  63.87897506 -160.79478323
111  63.87943218 -160.79361360
111  63.87998766 -160.79269340
111  63.88091925 -160.79253568
111  63.88171776 -160.79243051
111  63.88180456 -160.79144473
111  63.88170040 -160.78943375
111  63.88126064 -160.78860570
111  63.88218067 -160.78580609
111  63.88264936 -160.78529349
111  63.88309345 -160.78590593
111  63.88402370 -160.79579464
113  63.89955281 -160.80596771
120 Linear Feature 32
111  63.88247051 -160.79027362 5
115  63.88243385 -160.78970766
120 Linear Feature 28
111  63.88260153 -160.79779567 4
115  63.88223704 -160.79759092
21  63.88310456 -160.78835667 1 278.4200 3.0 New Light Fixture 4
21  63.88300264 -160.79723562 1 98.4000 3.0 New Light Fixture 3
21  63.89592066 -160.80369569 1 164.1500 3.0 ASI VASI
21  63.89553359 -160.80344626 1 164.1500 3.0 ASI VASI
21  63.88434288 -160.79823924 1 344.1600 3.0 ASI VASI
21  63.88392884 -160.79797243 1 344.1600 3.0 ASI VASI
14  63.87985187 -160.79869696   0.00 0 Viewpoint 
1300  63.88202731 -160.79027926  97.11 misc turboprops GA East 2
1300  63.88198122 -160.78962594  89.51 misc turboprops GA East 1
1300  63.88209641 -160.79108809 123.54 misc turboprops GA East 3
1300  63.88123772 -160.79753172  74.48 misc props GA 4
1300  63.88097128 -160.79738743  74.48 misc props GA 3
1300  63.88067628 -160.79720232  74.48 misc props GA 2
1300  63.88040157 -160.79702774  74.48 misc props GA 1
1300  63.88236402 -160.80003884 255.90 misc turboprops Maintenance
1300  63.88169153 -160.79914125 -12.99 misc turboprops Hangar 
1300  63.87959443 -160.79811335 -54.78 misc turboprops Gate 2
1300  63.87959426 -160.79732777 -103.07 misc turboprops Gate 1
18  63.88480430 -160.79143181 1 New Airport Beacon 18
19  63.88290328 -160.79776471 0 New Windsock 26
19  63.88252703 -160.78938963 0 New Windsock 27
19  63.89758765 -160.80488880 0 New Windsock 28
50 13225 AWOS 3
51 12300 UNK CTAF
54 13569 Anchorage ARTCC
99
