I
1050 Generated by WorldEditor 2.1.0r1

1   1072 0 0 D42 Springfield Municipal
100 22.86 1 0 0.25 0 2 0 13  44.23418438 -095.00376995    0    0 2 0 0 1 31  44.22794753 -094.99411455    0    0 2 0 0 1
110 2 0.00 0.0000 New Taxiway 9
111  44.22905641 -094.99386616
111  44.22906591 -094.99385399
111  44.22907468 -094.99386745
111  44.22906522 -094.99387976
113  44.22906100 -094.99387325
110 2 0.00 0.0000 New Taxiway 9
111  44.22894825 -094.99387552
111  44.22895776 -094.99386336
111  44.22896653 -094.99387681
111  44.22896169 -094.99388311
113  44.22895707 -094.99388912
110 2 0.00 0.0000 New Taxiway 9
111  44.22903792 -094.99401502
111  44.22904274 -094.99400885
111  44.22904742 -094.99400285
111  44.22905619 -094.99401631
113  44.22904673 -094.99402862
110 2 0.00 0.0000 New Taxiway 9
111  44.22892858 -094.99366618
111  44.22893808 -094.99365401
111  44.22894686 -094.99366747
111  44.22893739 -094.99367978
113  44.22893318 -094.99367327
110 2 0.00 0.0000 New Taxiway 9
111  44.22882043 -094.99367554
111  44.22882993 -094.99366338
111  44.22883870 -094.99367683
111  44.22883386 -094.99368313
113  44.22882924 -094.99368914
110 2 0.00 0.0000 New Taxiway 9
111  44.22891010 -094.99381504
111  44.22891491 -094.99380887
111  44.22891960 -094.99380287
111  44.22892837 -094.99381633
113  44.22891891 -094.99382864
110 2 0.00 0.0000 New Taxiway 10
111  44.22914499 -094.99407483
111  44.22914081 -094.99406812
111  44.22913667 -094.99406149
111  44.22914534 -094.99405051
113  44.22915354 -094.99406372
110 2 0.00 0.0000 New Taxiway 10
111  44.22922684 -094.99420268
111  44.22922266 -094.99419597
111  44.22921853 -094.99418935
111  44.22922719 -094.99417836
113  44.22923540 -094.99419157
110 2 0.00 0.0000 New Taxiway 10
111  44.22930848 -094.99432992
111  44.22930429 -094.99432321
111  44.22930016 -094.99431658
111  44.22930883 -094.99430560
113  44.22931703 -094.99431880
110 2 0.00 0.0000 New Taxiway 10
111  44.22939166 -094.99445653
111  44.22938748 -094.99444982
111  44.22938334 -094.99444320
111  44.22939201 -094.99443221
113  44.22940021 -094.99444542
110 2 0.00 0.0000 New Taxiway 10
111  44.22947432 -094.99458413
111  44.22947014 -094.99457742
111  44.22946601 -094.99457079
111  44.22947467 -094.99455981
113  44.22948288 -094.99457301
110 2 0.00 0.0000 New Taxiway 10
111  44.22908599 -094.99408623
111  44.22907768 -094.99407310
111  44.22908634 -094.99406212
111  44.22909454 -094.99407532
113  44.22909029 -094.99408075
110 2 0.00 0.0000 New Taxiway 10
111  44.22916785 -094.99421408
111  44.22915953 -094.99420096
111  44.22916819 -094.99418997
111  44.22917640 -094.99420318
113  44.22917215 -094.99420860
110 2 0.00 0.0000 New Taxiway 10
