A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      212 0 0 VTPS Surat Sena
100   27.13   1   0 0.00 0 0 0 2    16.82702004  100.53797675    0.00    0.00 2  0 0 0 20   16.83384976  100.54087100    0.00    0.00 2  0 0 0
110   1 0.00 112.10 ramp
111  16.82760388  100.53835287 
111  16.82748380  100.53866551 
111  16.82820354  100.53891731 
113  16.82829401  100.53864525 
130 Surat Sena Boundary
111  16.82694030  100.53767278 
111  16.82669998  100.53845497 
111  16.82957462  100.53958481 
111  16.82964857  100.53934339 
111  16.83392819  100.54112987 
113  16.83422397  100.54074361 
14   16.82750078  100.53850126    6 0 Surat Sena Viewpoint
15   16.82783304  100.53865577 196.99 Surat Sena Start
19   16.82842002  100.53832583 0 Surat Sena Windsock

99
