I
1050 Generated by WorldEditor 2.1.0r1

1   3799 0 0 OYBN Beihan
1302 city Beihan
1302 country Yemen
1302 datum_lat 14.782
1302 datum_lon 45.7201
1302 iata_code BHN
1302 icao_code OYBN
1302 state Abyan
100 22.86 1 0 0.00 0 1 0 17  14.78950000  045.71910000    0    0 0 0 0 0 35  14.77450000  045.72100000    0    0 0 0 0 0
110 1 0.00 172.0000 Asph
111  14.78951240  045.71920755
111  14.78944427  045.71865006
111  14.78921015  045.71867967
111  14.78922623  045.71881998
111  14.78923626  045.71896290
112  14.78923626  045.71896290  14.78923485  045.71901237
111  14.78916591  045.71903357
111  14.78891570  045.71906267
111  14.78883129  045.71905435
112  14.78883129  045.71905435  14.78875874  045.71904750
112  14.78877803  045.71887559  14.78884938  045.71886832
111  14.78877803  045.71887559
111  14.78881523  045.71887194
111  14.78880217  045.71873060
111  14.78875492  045.71873550
112  14.78875492  045.71873550  14.78867252  045.71874277
111  14.78862127  045.71887767
111  14.78858911  045.71904084
112  14.78858911  045.71904084  14.78857725  045.71910486
111  14.78854892  045.71911360
111  14.78341762  045.71976222
111  14.78232538  045.71990029
111  14.77555845  045.72075567
112  14.77542243  045.72066588  14.77538770  045.72056860
112  14.77518511  045.72043093  14.77507803  045.72042943
111  14.77518511  045.72043093
111  14.77507381  045.72043192
111  14.77508989  045.72057222
112  14.77508989  045.72057222  14.77519842  045.72057671
112  14.77517498  045.72080655  14.77511421  045.72081553
111  14.77517498  045.72080655
111  14.77487256  045.72084246
112  14.77487256  045.72084246  14.77471917  045.72086342
112  14.77469140  045.72059401  14.77480137  045.72048626
111  14.77469140  045.72059401
111  14.77467834  045.72045267
112  14.77467834  045.72045267  14.77446273  045.72047063
111  14.77449633  045.72070329
111  14.77447137  045.72069456
111  14.77448765  045.72089185
113  14.77451369  045.72110735
110 4 0.00 172.0000 Dirt Ramp
112  14.78238714  045.71806340  14.78235214  045.71807116
112  14.78230713  045.71822374  14.78231963  045.71828063
112  14.78233464  045.71872801  14.78235714  045.71875387
112  14.78249717  045.71884180  14.78259718  045.71882628
112  14.78258968  045.71896076  14.78257968  045.71900989
112  14.78248966  045.71977019  14.78247716  045.71981932
112  14.78235214  045.71982967  14.78230963  045.71982708
111  14.78232538  045.71990029
111  14.78341762  045.71976222
112  14.78335232  045.71969778  14.78328585  045.71968643
112  14.78319229  045.71959692  14.78319229  045.71953744
112  14.78311478  045.71887800  14.78311478  045.71881594
112  14.78322980  045.71879266  14.78331732  045.71877198
112  14.78389742  045.71879783  14.78392243  045.71879266
112  14.78398994  045.71871249  14.78397994  045.71866595
112  14.78397744  045.71806340  14.78397994  045.71801685
114  14.78385241  045.71799616  14.78385241  045.71800650
110 4 0.00 172.0000 Dirt
111  14.77507381  045.72043192
111  14.77467834  045.72045267
111  14.77469140  045.72059401
113  14.77508989  045.72057222
110 4 0.00 172.0000 Dirt
111  14.78921015  045.71867967
111  14.78880217  045.71873060
111  14.78881523  045.71887194
113  14.78922623  045.71881998
130 Airport Boundary by Major Tom
111  14.77670277  045.71994354
111  14.77580836  045.72012675
111  14.77506951  045.72020719
111  14.77415350  045.72026081
111  14.77391586  045.72030996
111  14.77371278  045.72040380
111  14.77369117  045.72045742
111  14.77368685  045.72051104
111  14.77417078  045.72117237
111  14.77425288  045.72122599
111  14.77435226  045.72126174
111  14.77525962  045.72120813
111  14.77961066  045.72065405
111  14.77960202  045.72060936
111  14.78158958  045.72038593
111  14.78224202  045.72031891
111  14.78748746  045.71967989
111  14.78876210  045.71983630
111  14.78875778  045.71995696
111  14.78918554  045.71991227
111  14.79112989  045.71917492
111  14.79117742  045.71856716
111  14.78968243  045.71842416
111  14.78883987  045.71844204
111  14.78885716  045.71846438
111  14.78681774  045.71874145
111  14.78681774  045.71879955
111  14.78555607  045.71895596
111  14.78554743  045.71888446
111  14.78543509  045.71879062
111  14.78549558  045.71787454
111  14.78220485  045.71791121
111  14.78218430  045.71929722
111  14.78007731  045.71952796
111  14.77993904  045.71951008
111  14.77926500  045.71959945
111  14.77913969  045.71976926
113  14.77816752  045.71994353
14  14.78412488  045.71883296   6.56 0 Viewpoint
1300  14.78281187  045.71824285 137.46 tie_down jets|turboprops|props|fighters Dirt Ramp 1
1301 B military 
1300  14.78308442  045.71821699 137.46 tie_down jets|turboprops|props|fighters Dirt Ramp 2
1301 B military 
1300  14.78333946  045.71821699 137.46 tie_down jets|turboprops|props|fighters Dirt Ramp 3
1301 B military 
1300  14.78358951  045.71822475 137.46 tie_down jets|turboprops|props|fighters Dirt Ramp 4
1301 B military 
1300  14.78260933  045.71874196  52.50 tie_down jets|turboprops|props|fighters Dirt Ramp 
1301 D military 
99
