I
1050 Generated by WorldEditor 1.6.0r1

1    916 0 0 CYNR Fort Mackay/Horizon Airport
100 45.72 1 0 0.00 1 2 1 17  57.38971919 -111.69916778    0    0 3 9 0 0 35  57.37339511 -111.70309282    0    0 3 9 0 0
110 2 0.00 0.0000 New Taxiway 18
111  57.37729503 -111.69796537
111  57.37705012 -111.69802770
111  57.37702353 -111.69770021
113  57.37726870 -111.69763618
110 2 0.00 0.0000 New Taxiway 17
111  57.37781882 -111.69749251
111  57.37777821 -111.69689871
111  57.37804585 -111.69684277
111  57.37806872 -111.69717325
111  57.37802282 -111.69718348
113  57.37804000 -111.69743474
110 2 0.00 0.0000 New Taxiway 16
111  57.37870416 -111.69689508
111  57.37867712 -111.69655337
111  57.37900329 -111.69648127
113  57.37902188 -111.69681984
110 1 0.00 0.0000 New Taxiway 15
111  57.37829447 -111.70155643
111  57.37842709 -111.70122335
111  57.37838396 -111.70061003
111  57.37827569 -111.69907029
111  57.37811021 -111.69886783
111  57.37684036 -111.69918567
111  57.37673708 -111.69777502
111  57.37702353 -111.69770021
111  57.37705012 -111.69802770
111  57.37729503 -111.69796537
111  57.37726870 -111.69763618
111  57.37781882 -111.69749251
111  57.37804000 -111.69743474
111  57.37868763 -111.69726560
111  57.37877800 -111.69870680
111  57.37855032 -111.69875905
111  57.37842474 -111.69907036
111  57.37852258 -111.70057341
111  57.37856206 -111.70117990
113  57.37876274 -111.70144332
130 Airport Boundary 14
111  57.37133298 -111.70674712
111  57.37088825 -111.70087683
111  57.37544884 -111.69976083
111  57.37518724 -111.69531321
111  57.37962575 -111.69545872
111  57.37976527 -111.69867722
111  57.39060430 -111.69608869
113  57.39101415 -111.70196200
120 Linear Feature 22
111  57.37838396 -111.70061003 4
115  57.37852258 -111.70057341
120 Linear Feature 20
111  57.37777342 -111.70203422 1
111  57.37830071 -111.70190256
112  57.37830071 -111.70190256  57.37851534 -111.70178030 1
115  57.37850857 -111.70139784
120 Linear Feature 19
111  57.37935189 -111.70164864 1
111  57.37879926 -111.70178344
112  57.37879926 -111.70178344  57.37855252 -111.70178658 1
111  57.37850857 -111.70139784 1
115  57.37833450 -111.69880842
120 Linear Feature 25
111  57.37806375 -111.69817689 1
115  57.37784123 -111.69787124
120 Linear Feature 24
111  57.37861722 -111.69785295 1
115  57.37840316 -111.69756297
120 Linear Feature 23
111  57.37869327 -111.69861839 1
115  57.37846230 -111.69828922
21  57.37628735 -111.70325085 2 7.8300 3.00 35 PAPI-4L
21  57.38681722 -111.69900581 2 187.9400 3.00 17 PAPI-4L
14  57.37798747 -111.69735367  82.02 0 Tower Viewpoint
1300  57.37755897 -111.69797160 277.17 tie_down jets|turboprops|props General Aviation Ramp 1
1301 B general_aviation 
1300  57.37705238 -111.69892107   9.49 tie_down jets|turboprops|props General Aviation Ramp 2
1301 B general_aviation 
1300  57.37700168 -111.69838340   8.65 tie_down jets|turboprops|props General Aviation Ramp 3
1301 B general_aviation 
1300  57.37784123 -111.69787124 142.86 gate jets|turboprops|props Gate 3
1301 C airline 
1300  57.37846230 -111.69828922 142.36 gate jets|turboprops|props Gate 2
1301 C general_aviation 
1300  57.37840316 -111.69756297 143.88 gate jets|turboprops|props Gate 1
1301 C airline 
18  57.37797287 -111.69734284 1 BCN
19  57.38846989 -111.70094870 0 WS
19  57.37468080 -111.70134617 0 WS
50 12255 ATIS
51 12270 MF
99
