I
1130 Generated by WorldEditor 2.2.0r2

1      7 0 0 0B8 Elizabeth
1302 gui_label 2D
100 30.48 1 0 0.00 0 2 0 12  41.25262908 -072.03575654    0   70 1 0 0 0 30  41.25142478 -072.02741126    0   37 1 0 0 0
100 22.86 1 0 0.00 0 2 0 07  41.25111948 -072.03457628    0   37 1 0 0 0 25  41.25349219 -072.02884745    0   32 1 0 0 0
110 2 0.00 0.0000 New Taxiway 14
111  41.25117685 -072.02714146
111  41.25109572 -072.02658430
111  41.25149901 -072.02648703
113  41.25157729 -072.02703529
110 2 0.00 0.0000 New Taxiway 13
111  41.25286895 -072.03601110
111  41.25294801 -072.03653696
111  41.25255419 -072.03664002
113  41.25247806 -072.03610681
110 2 0.00 0.0000 New Taxiway 12
111  41.25332483 -072.02869033
111  41.25350360 -072.02825890
111  41.25385725 -072.02852449
113  41.25368974 -072.02895186
110 1 0.00 0.0000 New Taxiway 11
111  41.25113441 -072.03510549
111  41.25077514 -072.03483948
111  41.25182697 -072.03229681
112  41.25186124 -072.03184490  41.25182990 -072.03160310
111  41.25186124 -072.03184490
111  41.25117685 -072.02714146
111  41.25157729 -072.02703529
111  41.25214154 -072.03088498
111  41.25240197 -072.03092365
111  41.25332483 -072.02869033
111  41.25368974 -072.02895186
111  41.25366828 -072.02900949
111  41.25382025 -072.02909439
111  41.25392081 -072.02885435
111  41.25403609 -072.02933966
111  41.25400008 -072.02945530
111  41.25394691 -072.02942721
111  41.25387268 -072.02966332
111  41.25369384 -072.02964630
111  41.25346516 -072.02983441
111  41.25334526 -072.02975995
111  41.25317315 -072.03018336
111  41.25328925 -072.03026837
111  41.25379360 -072.03063762
111  41.25388261 -072.03070279
111  41.25384566 -072.03079388
111  41.25376350 -072.03099645
111  41.25368802 -072.03118253
111  41.25360821 -072.03137931
111  41.25357045 -072.03147240
111  41.25347628 -072.03140233
111  41.25338258 -072.03133262
111  41.25328863 -072.03126271
111  41.25319641 -072.03119410
111  41.25323420 -072.03110212
111  41.25331526 -072.03090479
111  41.25339537 -072.03070980
111  41.25343432 -072.03061498
111  41.25347099 -072.03052571
111  41.25325181 -072.03036393
111  41.25313683 -072.03027907
111  41.25241682 -072.03199670
112  41.25236407 -072.03245349  41.25238914 -072.03267028
111  41.25236407 -072.03245349
111  41.25286895 -072.03601110
111  41.25247806 -072.03610681
111  41.25210237 -072.03351014
113  41.25183484 -072.03342437
130 Airport Boundary 6
111  41.25064627 -072.03583350
111  41.25060119 -072.03474065
111  41.25084471 -072.03173467
111  41.25131164 -072.02996472
111  41.25093810 -072.02825687
111  41.25111319 -072.02776004
111  41.25097619 -072.02641828
111  41.25160347 -072.02625403
111  41.25396145 -072.02816372
111  41.25435834 -072.02959210
111  41.25341281 -072.03283701
111  41.25379803 -072.03643901
111  41.25253732 -072.03690479
111  41.25207316 -072.03680037
113  41.25155553 -072.03726677
120 Linear Feature 28
111  41.25328925 -072.03026837 4
115  41.25325181 -072.03036393
120 Linear Feature 24
111  41.25178899 -072.03324331 4
115  41.25160763 -072.03311407
120 Linear Feature 24
111  41.25244394 -072.03109486 4
115  41.25262530 -072.03122410
120 Linear Feature 24
111  41.25181321 -072.03107063 4
115  41.25208223 -072.03099940
120 Linear Feature 24
111  41.25240918 -072.03326504 4
115  41.25214016 -072.03333626
120 Linear Feature 20
112  41.25313525 -072.03021320  41.25302621 -072.03010837 51
111  41.25306494 -072.02989525 51
115  41.25322508 -072.02950967
120 Linear Feature 19
111  41.25351900 -072.03137682 51
111  41.25353928 -072.03132821 51
115  41.25355878 -072.03128184
120 Linear Feature 19
111  41.25359881 -072.03118002 51
111  41.25361909 -072.03113143 51
115  41.25363859 -072.03108504
120 Linear Feature 19
111  41.25367432 -072.03099397 51
111  41.25369460 -072.03094538 51
115  41.25371410 -072.03089899
120 Linear Feature 19
111  41.25375649 -072.03079139 51
111  41.25377673 -072.03074279 51
115  41.25379626 -072.03069641
120 Linear Feature 19
111  41.25344406 -072.03080950 51
111  41.25346430 -072.03076090 51
115  41.25348384 -072.03071452
120 Linear Feature 19
111  41.25336396 -072.03100449 51
111  41.25338419 -072.03095589 51
115  41.25340374 -072.03090951
120 Linear Feature 19
111  41.25328290 -072.03120182 51
111  41.25330313 -072.03115322 51
115  41.25332267 -072.03110684
120 Linear Feature 17
111  41.25347628 -072.03140233 51
115  41.25379360 -072.03063762
120 Linear Feature 16
111  41.25328863 -072.03126271 51
111  41.25350262 -072.03073998
112  41.25350262 -072.03073998  41.25351802 -072.03069064 51
111  41.25349230 -072.03065692 51
115  41.25343432 -072.03061498
120 Linear Feature 18
111  41.25353928 -072.03132821 51
115  41.25360821 -072.03137931
120 Linear Feature 18
111  41.25361909 -072.03113143 51
115  41.25368802 -072.03118253
120 Linear Feature 18
111  41.25369457 -072.03094535 51
115  41.25376350 -072.03099645
120 Linear Feature 18
111  41.25377673 -072.03074279 51
115  41.25384566 -072.03079388
120 Linear Feature 18
111  41.25339537 -072.03070980 51
115  41.25346430 -072.03076090
120 Linear Feature 18
111  41.25331526 -072.03090479 51
115  41.25338419 -072.03095589
120 Linear Feature 18
111  41.25323420 -072.03110212 51
115  41.25330313 -072.03115322
120 Linear Feature 15
111  41.25272444 -072.03073938 51
111  41.25290205 -072.03030859 51
112  41.25313525 -072.03021320  41.25327794 -072.03028075
111  41.25313525 -072.03021320 51
111  41.25359817 -072.03055646
112  41.25359817 -072.03055646  41.25365158 -072.03062750 51
111  41.25362429 -072.03075140 51
115  41.25338258 -072.03133262
21  41.25189167 -072.02847373 3 280.9900 3.00 New Light Fixture 19
21  41.25271653 -072.03452381 2 100.3300 3.00 New Light Fixture 18
21  41.25278340 -072.02979368 2 240.8200 3.00 New Light Fixture 17
21  41.25180210 -072.03367638 2 62.4400 3.75 New Light Fixture 16
14  41.25393684 -072.02956953  26.25 0 New Tower Viewpoint 13
1300  41.25386627 -072.02914580 -162.31 tie_down props GA Tie Down 11
1301 A general_aviation 
1300  41.25390763 -072.02931432 -161.75 tie_down props GA Tie Down 10
1301 A general_aviation 
1300  41.25357315 -072.02956411 120.57 tie_down props GA Tie Down 9
1301 A general_aviation 
1300  41.25345236 -072.02966151 120.87 tie_down props GA Tie Down 8
1301 A general_aviation 
1300  41.25346430 -072.03076090 -28.83 tie_down props GA Tie Down 7
1301 A general_aviation 
1300  41.25338419 -072.03095589 -28.84 tie_down props GA Tie Down 6
1301 A general_aviation 
1300  41.25330313 -072.03115322 -29.74 tie_down props GA Tie Down 5
1301 A general_aviation 
1300  41.25377673 -072.03074279 150.99 tie_down props GA Tie Down 4
1301 A general_aviation 
1300  41.25369457 -072.03094535 150.62 tie_down props GA Tie Down 3
1301 A general_aviation 
1300  41.25361909 -072.03113143 150.71 tie_down props GA Tie Down 2
1301 A general_aviation 
1300  41.25353928 -072.03132821 151.13 tie_down props GA Tie Down 1
1301 A general_aviation 
19  41.25135903 -072.03494409 0 New Windsock 11
19  41.25174198 -072.02766657 0 New Windsock 10
19  41.25151788 -072.03090678 0 New Windsock 8
19  41.25136170 -072.03205420 0 New Windsock 7
19  41.25242830 -072.02953539 0 New Windsock 6
99
