I
1050 Generated by WorldEditor 2.1.0r1

1   1119 0 0 68Y Wells Muni
100 50.29 3 0 0.25 0 1 0 17  43.74520215 -093.77718007    0    0 0 0 0 1 35  43.73725577 -093.77714716    0    0 0 0 0 1
110 1 0.00 0.0000 New Taxiway 8
111  43.74577078 -093.77553352
111  43.74577105 -093.77548191
111  43.74588505 -093.77548247
113  43.74588535 -093.77553314
110 1 0.00 0.0000 New Taxiway 8
111  43.74576953 -093.77578879
111  43.74576938 -093.77573626
111  43.74589936 -093.77573867
113  43.74589966 -093.77578934
110 2 0.00 0.0000 New Taxiway 7
111  43.74557632 -093.77558731
111  43.74557623 -093.77543414
111  43.74577110 -093.77543143
111  43.74577105 -093.77548191
111  43.74577078 -093.77553352
113  43.74577062 -093.77558524
110 2 0.00 0.0000 New Taxiway 7
111  43.74556164 -093.77584475
111  43.74556206 -093.77578786
111  43.74556245 -093.77573587
111  43.74556290 -093.77567501
111  43.74576922 -093.77567435
111  43.74576938 -093.77573626
111  43.74576953 -093.77578879
113  43.74576968 -093.77584488
110 2 0.00 0.0000 New Taxiway 6
111  43.74521055 -093.77566011
111  43.74521063 -093.77562737
111  43.74521107 -093.77545178
111  43.74536029 -093.77545137
113  43.74536013 -093.77565839
110 1 0.00 0.0000 New Taxiway 5
111  43.74508019 -093.77600571
111  43.74504957 -093.77600603
111  43.74505662 -093.77562657
111  43.74521063 -093.77562737
111  43.74521055 -093.77566011
111  43.74536013 -093.77565839
111  43.74543531 -093.77565753
112  43.74544609 -093.77564647  43.74544826 -093.77563694
111  43.74544609 -093.77564647
111  43.74544530 -093.77543193
111  43.74557623 -093.77543414
111  43.74557632 -093.77558731
111  43.74550601 -093.77558986
111  43.74550601 -093.77573418
111  43.74556245 -093.77573587
111  43.74556206 -093.77578786
111  43.74550601 -093.77578858
111  43.74550681 -093.77599572
111  43.74521893 -093.77600092
111  43.74521120 -093.77622750
111  43.74518549 -093.77622833
111  43.74519817 -093.77566019
113  43.74508752 -093.77566074
110 2 0.00 0.0000 New Taxiway 4
111  43.74506308 -093.77679776
111  43.74508019 -093.77600571
111  43.74508752 -093.77566074
111  43.74519817 -093.77566019
111  43.74518549 -093.77622833
113  43.74517285 -093.77679455
110 1 0.00 0.0000 New Taxiway 3
111  43.74517285 -093.77679455
111  43.74517428 -093.77687285
111  43.74506265 -093.77687473
113  43.74506308 -093.77679776
110 3 0.00 0.0000 New Taxiway 10
111  43.73632830 -093.77760088
111  43.73632174 -093.77671208
111  43.74456445 -093.77672815
112  43.74456445 -093.77672815  43.74472349 -093.77668458
111  43.74478504 -093.77635572
111  43.74483143 -093.77600830
111  43.74504957 -093.77600603
111  43.74508019 -093.77600571
111  43.74506308 -093.77679776
111  43.74506265 -093.77687473
111  43.74517428 -093.77687285
111  43.74517285 -093.77679455
111  43.74518549 -093.77622833
111  43.74521120 -093.77622750
111  43.74521893 -093.77600092
111  43.74550681 -093.77599572
111  43.74550601 -093.77578858
111  43.74556206 -093.77578786
111  43.74556164 -093.77584475
111  43.74576968 -093.77584488
111  43.74576953 -093.77578879
111  43.74589966 -093.77578934
111  43.74589936 -093.77573867
111  43.74576938 -093.77573626
111  43.74576922 -093.77567435
111  43.74556290 -093.77567501
111  43.74556245 -093.77573587
111  43.74550601 -093.77573418
111  43.74550601 -093.77558986
111  43.74557632 -093.77558731
111  43.74577062 -093.77558524
111  43.74577078 -093.77553352
111  43.74588535 -093.77553314
111  43.74588505 -093.77548247
111  43.74577105 -093.77548191
111  43.74577110 -093.77543143
111  43.74557623 -093.77543414
111  43.74544530 -093.77543193
111  43.74544355 -093.77520684
111  43.74636504 -093.77522902
113  43.74636490 -093.77759955
130 Airport Boundary 9
111  43.73630493 -093.77765222
111  43.73629291 -093.77664318
111  43.74455148 -093.77660967
111  43.74502983 -093.77501951
111  43.74639374 -093.77510033
113  43.74640487 -093.77768719
14  43.74509058 -093.77559523  82.02 0 New Tower Viewpoint 5
1300  43.74558982 -093.77551088 180.21 hangar props Hangar 3
1301 A none 
1300  43.74557602 -093.77576504 180.21 hangar props Hangar 2
1301 A none 
1300  43.74528265 -093.77564102 269.64 hangar props Hangar 1
1301 A none 
1300  43.74529162 -093.77672393 270.15 tie_down props General Aviation 23
1301 A general_aviation 
1300  43.74543762 -093.77672631 270.15 tie_down props General Aviation 22
1301 A general_aviation 
1300  43.74558705 -093.77672869 270.15 tie_down props General Aviation 21
1301 A general_aviation 
1300  43.74573476 -093.77672869 270.15 tie_down props General Aviation 20
1301 A general_aviation 
1300  43.74588591 -093.77672631 270.15 tie_down props General Aviation 19
1301 A general_aviation 
1300  43.74628267 -093.77646478 180.16 tie_down props General Aviation 18
1301 A general_aviation 
1300  43.74628029 -093.77625509 180.16 tie_down props General Aviation 17
1301 A general_aviation 
1300  43.74628029 -093.77606191 180.16 tie_down props General Aviation 16
1301 A general_aviation 
1300  43.74628029 -093.77585552 180.16 tie_down props General Aviation 15
1301 A general_aviation 
1300  43.74628148 -093.77565574 180.16 tie_down props General Aviation 14
1301 A general_aviation 
1300  43.74628029 -093.77545431 180.16 tie_down props General Aviation 13
1301 A general_aviation 
1300  43.74604349 -093.77538965 359.79 tie_down props General Aviation 12
1301 A general_aviation 
1300  43.74604687 -093.77559603 359.79 tie_down props General Aviation 11
1301 A general_aviation 
1300  43.74604687 -093.77580077 359.79 tie_down props General Aviation 10
1301 A general_aviation 
1300  43.74605026 -093.77600385 359.79 tie_down props General Aviation 9
1301 A general_aviation 
1300  43.74588688 -093.77627706 269.53 tie_down props General Aviation 8
1301 A general_aviation 
1300  43.74573778 -093.77627568 269.53 tie_down props General Aviation 7
1301 A general_aviation 
1300  43.74558534 -093.77627631 269.53 tie_down props General Aviation 6
1301 A general_aviation 
1300  43.74543823 -093.77627493 269.53 tie_down props General Aviation 5
1301 A general_aviation 
1300  43.74528814 -093.77627356 269.53 tie_down props General Aviation 4
1301 A general_aviation 
1300  43.74528058 -093.77590569  90.90 tie_down props General Aviation 3
1301 A general_aviation 
1300  43.74537791 -093.77590377  90.90 tie_down props General Aviation 2
1301 A general_aviation 
1300  43.74547386 -093.77590186  90.90 tie_down props General Aviation 1
1301 A general_aviation 
18  43.74539153 -093.77532101 1 New Airport Beacon 4
19  43.74499400 -093.77598514 0 New Windsock 6
99
