I
1050 Generated by WorldEditor 2.1.0r1

1   2025 0 0 LFCB Bagneres de Luchon
1302 city Biarritz
1302 country France
1302 datum_lat 42.800555556
1302 datum_lon 0.601111111
1302 icao_code LFCB
1302 region_code LF
1302 state Midi-Pyrénées
100 50.00 3 0 0.25 0 0 0 01  42.79705363  000.60039910  163    0 0 0 0 0 19  42.80374193  000.60158802    0    0 0 0 0 0
110 2 0.00 153.0000 New Taxiway 3
111  42.80104674  000.59937164
111  42.80103059  000.59956281
111  42.80119703  000.59958911
113  42.80121318  000.59939794
110 2 0.00 153.0000 New Taxiway 3
111  42.80133397  000.59941143
111  42.80131782  000.59961071
111  42.80148524  000.59963711
113  42.80150139  000.59943783
110 2 0.00 153.0000 New Taxiway 3
111  42.80161360  000.59963199
111  42.80155495  000.59979768
111  42.80175620  000.59992559
113  42.80181486  000.59975991
110 2 0.00 153.0000 New Taxiway 3
111  42.80172729  000.60006914
111  42.80171794  000.60025915
111  42.80188624  000.60027892
113  42.80189560  000.60008891
110 1 0.00 153.0000 aph
111  42.80188624  000.60027892
111  42.80171794  000.60025915
111  42.80171450  000.60035216
113  42.80187600  000.60037433
110 3 0.00 153.0000 grass
111  42.80371283  000.60189207
112  42.80375997  000.60189260  42.80378654  000.60189742
112  42.80396482  000.60192478  42.80397663  000.60192478
112  42.80400909  000.60186685  42.80401205  000.60183708
112  42.80404629  000.60138729  42.80404570  000.60135994
112  42.80399139  000.60125292  42.80397013  000.60123522
112  42.80391110  000.60118775  42.80389457  000.60116763
112  42.80377886  000.60104372  42.80374521  000.60102602
112  42.80190190  000.60071704  42.80188660  000.60071148
112  42.80189578  000.60065726  42.80189884  000.60063362
112  42.80195393  000.60034721  42.80196315  000.60030432
111  42.80189476  000.60027992
111  42.80188624  000.60027892
111  42.80171794  000.60025915
111  42.80171012  000.60025823
111  42.80171930  000.60006359
111  42.80176113  000.59992872
111  42.80175620  000.59992559
111  42.80155495  000.59979768
111  42.80154895  000.59979386
112  42.80148468  000.59972295  42.80148793  000.59968403
111  42.80149182  000.59963815
111  42.80148524  000.59963711
111  42.80131782  000.59961071
111  42.80131159  000.59960973
111  42.80130808  000.59965664
112  42.80130808  000.59965664  42.80130751  000.59966324
111  42.80130146  000.59966463
111  42.80120998  000.59964998
111  42.80120467  000.59963595
111  42.80120823  000.59959088
111  42.80119703  000.59958911
111  42.80103059  000.59956281
111  42.80102347  000.59956168
111  42.80102546  000.59954222
111  42.80096715  000.59953261
111  42.80096340  000.59956585
111  42.80061213  000.59950561
111  42.80061963  000.59944768
111  42.80045233  000.59940597
112  42.80042377  000.59936009  42.80042887  000.59931977
112  42.80042479  000.59928918  42.80041153  000.59927250
112  42.80017474  000.59916678  42.80014242  000.59915878
112  42.79995145  000.59910272  42.79989710  000.59904266
112  42.79969879  000.59900863  42.79968998  000.59902264
112  42.79965032  000.59945507  42.79965620  000.59952514
112  42.79962094  000.59976338  42.79965913  000.59979341
112  42.79998230  000.59982144  42.80001903  000.59981744
112  42.80014976  000.59968731  42.80019530  000.59969131
112  42.80037158  000.59975738  42.80037158  000.59980342
