I
1100 Generated by WorldEditor 1.6.1r1

1    433 1 0 EGBP Kemble
1302 city Kemble
1302 country United Kingdom
1302 datum_lat 51.668055556
1302 datum_lon -2.056944444
1302 faa_code 
1302 iata_code GBA
1302 icao_code EGBP
1302 region_code EG
1302 state England
1302 transition_alt 3000
1302 transition_level 
100 45.11 1 0 0.00 0 1 0 08  51.66656099 -002.07108148  170    0 4 0 0 0 26  51.66957301 -002.04242862  264    0 4 0 0 0
100 18.90 3 0 0.00 0 0 0 08L  51.66857707 -002.05946686    0    0 0 0 0 0 26R  51.66942537 -002.05148311    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 52
111  51.67206835 -002.05469066
111  51.67198914 -002.05466794
111  51.67167735 -002.05509116
111  51.67168439 -002.05528147
111  51.67177952 -002.05516217
111  51.67222725 -002.05603560
111  51.67187112 -002.05651705
111  51.67143425 -002.05563936
111  51.67153818 -002.05548597
111  51.67154171 -002.05542348
111  51.67151352 -002.05536952
111  51.67147653 -002.05536384
111  51.67119468 -002.05572741
111  51.67118235 -002.05586943
111  51.67120701 -002.05591772
111  51.67129861 -002.05580126
111  51.67175603 -002.05669126
111  51.67139667 -002.05716844
111  51.67094454 -002.05628980
111  51.67104495 -002.05612790
111  51.67089697 -002.05583250
111  51.67193806 -002.05444355
113  51.67195741 -002.05435772
110 1 0.00 300.0000 New Taxiway 28
111  51.66778137 -002.06140837
112  51.66789960 -002.06166794  51.66799622 -002.06173209
111  51.66809377 -002.06161355
111  51.66843505 -002.06113815
111  51.66824363 -002.06065521
112  51.66796462 -002.06053944  51.66783236 -002.06073573
111  51.66796462 -002.06053944
111  51.66790723 -002.06062221
111  51.66787420 -002.06054096
111  51.66797980 -002.05952868
111  51.66847535 -002.06081237
112  51.66856463 -002.06090123  51.66861394 -002.06092016
111  51.66865481 -002.06085517
111  51.67204761 -002.05632635
111  51.67212768 -002.05650779
112  51.67108494 -002.05789996  51.67100123 -002.05802676
111  51.67109501 -002.05818841
112  51.67134266 -002.05875421  51.67140861 -002.05889736
111  51.67139929 -002.05912382
111  51.67143442 -002.05915404
111  51.67139188 -002.05949241
111  51.67118327 -002.05940596
111  51.67123419 -002.05907694
111  51.67129676 -002.05906633
112  51.67128170 -002.05886031  51.67124618 -002.05877033
112  51.67101426 -002.05829647  51.67093816 -002.05815332
111  51.67081273 -002.05826339
111  51.66998160 -002.05937306
111  51.66960369 -002.05987761
111  51.66909335 -002.06055897
112  51.66908253 -002.06077764  51.66911355 -002.06084696
111  51.66908253 -002.06077764
112  51.66915486 -002.06079001  51.66919009 -002.06073545
111  51.66915486 -002.06079001
111  51.66930186 -002.06058823
111  51.66933175 -002.06064434
111  51.66918097 -002.06084667
112  51.66918097 -002.06084667  51.66916530 -002.06087344
111  51.66919466 -002.06095535
111  51.66951746 -002.06155649
111  51.66959012 -002.06156491
111  51.66977218 -002.06153391
111  51.66977730 -002.06188608
