I
1050 Generated by WorldEditor 2.3.0r2

1   1640 0 0 CFS4 Ogilvie
100 15.24 5 0 0.00 0 0 0 02  65.67141784 -138.12179334    0    0 0 0 0 0 20  65.67904529 -138.10636265    0    0 0 0 0 0
110 5 0.00 0.0000 New Taxiway 18
111  65.67146179 -138.12192106
112  65.67136965 -138.12189264  65.67133124 -138.12178871
113  65.67137413 -138.12166544
110 5 0.00 0.0000 New Taxiway 16
111  65.67835862 -138.10790624
111  65.67879437 -138.10885477
112  65.67879437 -138.10885477  65.67885867 -138.10900761
111  65.67885926 -138.10925185
111  65.67869523 -138.11209239
111  65.67864747 -138.11208293
111  65.67879757 -138.10937560
112  65.67875566 -138.10899933  65.67870489 -138.10884639
111  65.67875566 -138.10899933
111  65.67858899 -138.10858992
112  65.67810846 -138.10857336  65.67788104 -138.10898356
111  65.67810846 -138.10857336
111  65.67777317 -138.10922651
112  65.67779461 -138.10954125  65.67785959 -138.10968719
111  65.67779461 -138.10954125
111  65.67808215 -138.10994592
112  65.67808215 -138.10994592  65.67830251 -138.11042981
112  65.67775487 -138.11082853  65.67752048 -138.11029012
111  65.67775487 -138.11082853
113  65.67745026 -138.10977438
110 5 0.00 0.0000 New Taxiway 15
111  65.67870664 -138.10683310
111  65.67872017 -138.10652742
111  65.67891579 -138.10612806
112  65.67911005 -138.10642224  65.67915960 -138.10674567
111  65.67911005 -138.10642224
112  65.67911005 -138.10642224  65.67914268 -138.10668486
111  65.67910734 -138.10694157
111  65.67905387 -138.10711413
113  65.67893813 -138.10677558
130 Airport Boundary 17
111  65.67898367 -138.10554179
111  65.67937900 -138.10656643
111  65.68030548 -138.10796210
111  65.68062562 -138.10875710
111  65.68195956 -138.11008804
111  65.68161031 -138.11113041
111  65.68121498 -138.11166631
111  65.68023514 -138.11225517
111  65.67871547 -138.11236894
111  65.67854031 -138.11236485
111  65.67775719 -138.11358849
111  65.67719937 -138.11510768
111  65.67693622 -138.11493542
111  65.67622586 -138.11265755
111  65.67045599 -138.12447320
113  65.67019890 -138.12351954
1300  65.67801299 -138.11007384 174.66 tie_down props Apron 2
1301 A general_aviation 
1300  65.67804710 -138.11040041 174.66 tie_down props Apron 1
1301 A general_aviation 
19  65.67601103 -138.11304898 1 New Windsock 8
54 12880 Ogilvie Traffic
99
