A
1100 Generated by WorldEditor 1.6.0r1

1    665 0 0 KOGM Ontonagon County - Schuster Field
100 22.86 1 0 0.00 0 2 0 17  46.85009930 -089.36914902    0    0 2 0 0 1 35  46.84091097 -089.36511882    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 1
111  46.84094109 -089.36497688
111  46.84100217 -089.36464714
111  46.84102961 -089.36449900
111  46.84116167 -089.36455788
112  46.84116167 -089.36455788  46.84115973 -089.36461371
112  46.84116315 -089.36471742  46.84116577 -089.36476763
111  46.84116315 -089.36471742
112  46.84116315 -089.36471742  46.84117510 -089.36494649
113  46.84122490 -089.36510697
110 2 0.00 0.0000 New Taxiway 4
111  46.85063909 -089.36730954
111  46.85052444 -089.36725432
111  46.85056288 -089.36708570
113  46.85067753 -089.36714191
110 2 0.00 0.0000 New Taxiway 8
111  46.84957990 -089.36663435
111  46.84962116 -089.36645322
111  46.84974929 -089.36651238
113  46.84971103 -089.36669102
110 1 0.00 0.0000 New Taxiway 3
111  46.84977495 -089.36885231 3
112  46.85008819 -089.36862126  46.85018375 -089.36834012
111  46.85008819 -089.36862126 3
111  46.85014086 -089.36837760
112  46.85014086 -089.36837760  46.85017815 -089.36814247 3
111  46.85003925 -089.36795470
111  46.84964350 -089.36779930
111  46.84970503 -089.36750692
111  46.84924636 -089.36729632
111  46.84928469 -089.36712311
111  46.84932795 -089.36714148
111  46.84944500 -089.36718994
111  46.84947291 -089.36720158
111  46.84958831 -089.36724969
111  46.84973777 -089.36731200
111  46.84974479 -089.36727909
111  46.84976953 -089.36716309
111  46.84965349 -089.36711355
111  46.84962147 -089.36709988
111  46.84950581 -089.36705051
111  46.84947784 -089.36703857
111  46.84936338 -089.36698971
111  46.84931845 -089.36697053
111  46.84938480 -089.36667065
111  46.84934565 -089.36665020
111  46.84938372 -089.36647695
111  46.84939218 -089.36643846
111  46.84942852 -089.36627313
111  46.84952234 -089.36584624
111  46.84954561 -089.36574034
111  46.84974489 -089.36583340
111  46.84969709 -089.36603739
111  46.84962700 -089.36600633
111  46.84951760 -089.36650912
112  46.84951760 -089.36650912  46.84950681 -089.36658012
111  46.84954562 -089.36661954
111  46.84957990 -089.36663435
111  46.84971103 -089.36669102
111  46.84974142 -089.36670415
111  46.84985242 -089.36675212
111  46.84989102 -089.36676880
111  46.84993297 -089.36657046
111  46.85000642 -089.36660431
111  46.85012799 -089.36666034
111  46.85024583 -089.36671464
111  46.85036559 -089.36676983
111  46.85048529 -089.36682500
111  46.85056974 -089.36686391
111  46.85032057 -089.36807391 3
111  46.85019718 -089.36867312 3
113  46.85012882 -089.36900507
110 2 0.00 0.0000 New Taxiway 13
111  46.84974489 -089.36583340
111  46.84991623 -089.36591309
111  46.84986363 -089.36615330
111  46.84969045 -089.36606573
113  46.84969709 -089.36603739
110 2 0.00 0.0000 New Taxiway 12
111  46.84952234 -089.36584624
111  46.84943554 -089.36580644
111  46.84946994 -089.36564571
111  46.84955798 -089.36568401
113  46.84954561 -089.36574034
110 2 0.00 0.0000 New Taxiway 11
111  46.84939218 -089.36643846
111  46.84930698 -089.36639717
111  46.84934520 -089.36623201
113  46.84942852 -089.36627313
110 2 0.00 0.0000 New Taxiway 10
111  46.84934565 -089.36665020
111  46.84928057 -089.36661821
111  46.84932047 -089.36644647
113  46.84938372 -089.36647695
110 2 0.00 0.0000 New Taxiway 9
111  46.84974142 -089.36670415
111  46.84977289 -089.36656760
111  46.84988147 -089.36661789
113  46.84985242 -089.36675212
110 2 0.00 0.0000 New Taxiway 7
111  46.84932795 -089.36714148
111  46.84936338 -089.36698971
111  46.84947784 -089.36703857
113  46.84944500 -089.36718994
110 2 0.00 0.0000 New Taxiway 6
111  46.84947291 -089.36720158
111  46.84950581 -089.36705051
111  46.84962147 -089.36709988
113  46.84958831 -089.36724969
110 2 0.00 0.0000 New Taxiway 5
111  46.84974479 -089.36727909
111  46.84962739 -089.36722804
111  46.84965349 -089.36711355
113  46.84976953 -089.36716309
130 Airport Boundary
111  46.84087634 -089.36430502
111  46.84065642 -089.36556328
111  46.84869525 -089.36897523
111  46.84845115 -089.37008037
