I
1050 Generated by WorldEditor 2.2.0r2

1   2064 0 0 00ID Delta Shores
1302 gui_label 2D
100 12.19 3 0 0.00 0 0 0 12  48.14831555 -116.22037932    0    0 0 0 0 0 30  48.14391113 -116.21174516    0    0 0 0 0 0
100 12.19 3 0 0.00 0 0 0 08  48.14424269 -116.22354275    0    0 0 0 0 0 26  48.14387941 -116.21074316    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 4
111  48.14384792 -116.21096342
112  48.14381149 -116.21077934  48.14380524 -116.21072006
112  48.14380732 -116.21036907  48.14382190 -116.21033007
112  48.14392391 -116.21030511  48.14395409 -116.21031759
112  48.14401447 -116.21040963  48.14401447 -116.21047359
112  48.14397803 -116.21055470  48.14397179 -116.21061866
112  48.14400718 -116.21074502  48.14403424 -116.21079182
111  48.14407900 -116.21085734
112  48.14412897 -116.21106326  48.14411856 -116.21119274
111  48.14402696 -116.21129258
113  48.14394889 -116.21154373
110 3 0.00 0.0000 New Taxiway 3
111  48.14586221 -116.21505746
112  48.14576651 -116.21515857  48.14576551 -116.21516233
111  48.14576651 -116.21515857
112  48.14576651 -116.21515857  48.14575246 -116.21517587
111  48.14575225 -116.21524614
111  48.14563720 -116.21502947
112  48.14569061 -116.21502179  48.14570216 -116.21500675
111  48.14569061 -116.21502179
112  48.14569061 -116.21502179  48.14569161 -116.21502179
113  48.14579228 -116.21492292
110 3 0.00 0.0000 New Taxiway 3
111  48.14552627 -116.21422952
112  48.14537720 -116.21439571  48.14537620 -116.21439947
111  48.14537720 -116.21439571
112  48.14537720 -116.21439571  48.14536315 -116.21441302
111  48.14536295 -116.21448328
111  48.14524789 -116.21426661
112  48.14530130 -116.21425894  48.14531285 -116.21424389
111  48.14530130 -116.21425894
112  48.14530130 -116.21425894  48.14530231 -116.21425894
113  48.14545634 -116.21409498
110 2 0.00 0.0000 New Taxiway 2
111  48.14587539 -116.21508282
111  48.14586221 -116.21505746
111  48.14579228 -116.21492292
111  48.14578623 -116.21491128
111  48.14591755 -116.21475961
113  48.14600550 -116.21493656
110 2 0.00 0.0000 New Taxiway 2
111  48.14553945 -116.21425487
111  48.14552627 -116.21422952
111  48.14545634 -116.21409498
111  48.14545029 -116.21408334
111  48.14558161 -116.21393167
113  48.14566956 -116.21410862
130 Airport Boundary 1
111  48.14413902 -116.22315877
111  48.14413643 -116.22277449
111  48.14399200 -116.21770682
111  48.14381148 -116.21143957
111  48.14376906 -116.21035367
111  48.14388406 -116.21025585
111  48.14415758 -116.21046081
111  48.14439070 -116.21090332
111  48.14475746 -116.21135979
111  48.14502788 -116.21180231
111  48.14530140 -116.21289230
111  48.14556870 -116.21367952
111  48.14587330 -116.21420588
111  48.14606290 -116.21476952
111  48.14621831 -116.21558004
111  48.14635495 -116.21598958
111  48.14658321 -116.21637860
111  48.14711136 -116.21729758
111  48.14750075 -116.21828362
111  48.14792595 -116.21930321
111  48.14847797 -116.22024786
111  48.14845621 -116.22061121
111  48.14818580 -116.22079755
111  48.14788430 -116.22046680
111  48.14725645 -116.22003825
111  48.14690211 -116.21962367
111  48.14647940 -116.21886439
111  48.14633021 -116.21864080
111  48.14639859 -116.21894358
111  48.14653535 -116.21950722
111  48.14647008 -116.21981001
111  48.14620899 -116.21987988
111  48.14578627 -116.21992180
111  48.14534180 -116.22030379
111  48.14497193 -116.22043887
111  48.14482584 -116.22078357
111  48.14493774 -116.22131459
111  48.14487247 -116.22211113
111  48.14459584 -116.22231608
111  48.14458030 -116.22276326
111  48.14445286 -116.22307069
111  48.14453678 -116.22349458
111  48.14450259 -116.22378338
111  48.14434407 -116.22380667
111  48.14421042 -116.22373680
113  48.14401771 -116.22340142
1300  48.14550950 -116.21414272 215.54 hangar props Hangar 01
1301 A none 
1300  48.14585300 -116.21497016 215.54 hangar props Hangar 02
1301 A none 
99
