I
1050 Generated by WorldEditor

1   2882 0 0 KSGU St George Rgnl
100 46.00 1 0 0.00 0 3 1 01  37.02463106 -113.51654297    0    0 3 0 0 1 19  37.04813343 -113.50410679    0    0 3 8 0 0
110 1 0.00 0.0000 New Taxiway 96
111  37.03965932 -113.50117367
111  37.03953066 -113.50124117
111  37.03947792 -113.50107938
113  37.03960487 -113.50101730
110 1 0.00 0.0000 New Taxiway 95
111  37.03929694 -113.50097901
111  37.03929189 -113.50096441
111  37.03954229 -113.50083436
111  37.03954376 -113.50083867
111  37.03959945 -113.50099501
113  37.03934773 -113.50112639
110 1 0.00 0.0000 New Taxiway 94
111  37.03985917 -113.50219486
111  37.03963866 -113.50153567
111  37.03976428 -113.50147193
113  37.03998477 -113.50212607
110 1 0.00 0.0000 New Taxiway 93
111  37.03938517 -113.50131908
111  37.03934367 -113.50133784
111  37.03928627 -113.50118306
111  37.03934960 -113.50114905
111  37.03941700 -113.50111707
111  37.03947227 -113.50127633
111  37.03966471 -113.50117678
111  37.03975741 -113.50144700
113  37.03947939 -113.50159345
110 1 0.00 0.0000 New Taxiway 92
111  37.03944382 -113.50164466
111  37.03947845 -113.50162550
111  37.03957678 -113.50157344
111  37.03964109 -113.50176543
113  37.03951090 -113.50183422
110 1 0.00 0.0000 New Taxiway 91
111  37.03951963 -113.50185337
111  37.03966923 -113.50176858
111  37.03973556 -113.50196434
113  37.03958203 -113.50204567
110 1 0.00 0.0000 New Taxiway 90
111  37.03965784 -113.50230698
111  37.03958559 -113.50209213
111  37.03959680 -113.50208536
111  37.03976383 -113.50200018
113  37.03983599 -113.50221074
110 2 0.00 0.0000 New Taxiway 89
111  37.04003917 -113.50217772
111  37.03963713 -113.50239474
111  37.03917796 -113.50104304
111  37.03929694 -113.50097901
111  37.03934773 -113.50112639
111  37.03934960 -113.50114905
111  37.03928627 -113.50118306
111  37.03934367 -113.50133784
111  37.03938517 -113.50131908
111  37.03947939 -113.50159345
111  37.03947845 -113.50162550
111  37.03944382 -113.50164466
111  37.03951090 -113.50183422
111  37.03951963 -113.50185337
111  37.03958203 -113.50204567
111  37.03959680 -113.50208536
111  37.03958559 -113.50209213
111  37.03965784 -113.50230698
111  37.03983599 -113.50221074
111  37.03985917 -113.50219486
111  37.03998477 -113.50212607
111  37.03976428 -113.50147193
111  37.03975741 -113.50144700
111  37.03966471 -113.50117678
111  37.03965932 -113.50117367
111  37.03960487 -113.50101730
111  37.03959945 -113.50099501
111  37.03954376 -113.50083867
113  37.03957966 -113.50082258
110 1 0.00 0.0000 New Taxiway 88
111  37.03866243 -113.50152714
111  37.03871861 -113.50149720
111  37.03878824 -113.50146045
111  37.03884259 -113.50161896
113  37.03871546 -113.50168715
110 1 0.00 0.0000 New Taxiway 87
111  37.03872095 -113.50169876
111  37.03887289 -113.50161989
111  37.03894926 -113.50184272
111  37.03881155 -113.50191544
113  37.03879680 -113.50192404
110 1 0.00 0.0000 New Taxiway 86
111  37.03887435 -113.50214804
111  37.03880846 -113.50195887
111  37.03882459 -113.50195027
111  37.03895881 -113.50187608
113  37.03902467 -113.50206764
110 2 0.00 0.0000 New Taxiway 85
111  37.03855606 -113.50136188
111  37.03865358 -113.50130767
111  37.03871556 -113.50148767
111  37.03871861 -113.50149720
111  37.03866243 -113.50152714
111  37.03871546 -113.50168715
111  37.03872095 -113.50169876
111  37.03879680 -113.50192404
111  37.03881155 -113.50191544
111  37.03882459 -113.50195027
111  37.03880846 -113.50195887
111  37.03887435 -113.50214804
111  37.03902467 -113.50206764
111  37.03903600 -113.50210977
113  37.03884550 -113.50221085
110 1 0.00 0.0000 New Taxiway 84
111  37.03871556 -113.50148767
111  37.03865358 -113.50130767
111  37.03864978 -113.50129663
111  37.03891592 -113.50115144
111  37.03891956 -113.50116234
111  37.03898270 -113.50134033
113  37.03897378 -113.50134549
110 1 0.00 0.0000 New Taxiway 83
111  37.03892497 -113.50159954
111  37.03889862 -113.50161504
111  37.03884701 -113.50145201
111  37.03898236 -113.50137687
111  37.03899677 -113.50136742
113  37.03905195 -113.50152946
110 1 0.00 0.0000 New Taxiway 82
111  37.03917381 -113.50189706
111  37.03916642 -113.50190111
111  37.03904653 -113.50196595
111  37.03893938 -113.50164511
113  37.03906643 -113.50157765
110 1 0.00 0.0000 New Taxiway 81
111  37.03929101 -113.50223910
111  37.03928395 -113.50224223
111  37.03916235 -113.50230673
111  37.03905501 -113.50198685
111  37.03917352 -113.50192456
113  37.03918202 -113.50191958
110 1 0.00 0.0000 New Taxiway 80
111  37.03897288 -113.50244583
111  37.03896977 -113.50243688
111  37.03929018 -113.50226512
111  37.03929932 -113.50225991
