I
1130 Generated by WorldEditor 2.2.0r2

1    412 0 0 F53 Franklin Co
1302 gui_label 2D
100 18.29 1 0 0.25 0 2 0 13  33.21921803 -095.24162479    0    0 1 0 0 0 31  33.21144200 -095.23284200    0    0 1 0 0 0
110 3 0.00 0.0000 Taxiway 34
111  33.21406829 -095.23251430
111  33.21398936 -095.23242737
111  33.21406876 -095.23232349
113  33.21414948 -095.23241385
110 2 0.00 0.0000 Taxiway 21
111  33.21392050 -095.23189074
111  33.21384234 -095.23198737
111  33.21374423 -095.23187585
111  33.21376697 -095.23184742
111  33.21368091 -095.23174954
111  33.21371935 -095.23170078
111  33.21380525 -095.23179959
113  33.21382257 -095.23177795
110 2 0.00 0.0000 Taxiway 20
111  33.21369384 -095.23217401
111  33.21361603 -095.23227127
111  33.21350943 -095.23214930
111  33.21353399 -095.23211802
111  33.21346483 -095.23204040
111  33.21346241 -095.23204023
111  33.21349547 -095.23199507
111  33.21349642 -095.23200271
111  33.21356511 -095.23207840
113  33.21358632 -095.23205140
110 2 0.00 0.0000 Taxiway 19
111  33.21360694 -095.23260687
111  33.21362194 -095.23258702
111  33.21370360 -095.23267766
111  33.21362162 -095.23278467
111  33.21353842 -095.23269395
111  33.21352521 -095.23271073
111  33.21342675 -095.23260261
113  33.21350955 -095.23249897
110 2 0.00 0.0000 Taxiway 18
111  33.21382986 -095.23232659
111  33.21381383 -095.23234812
111  33.21388066 -095.23242046
111  33.21389655 -095.23242579
111  33.21382764 -095.23251575
111  33.21382051 -095.23249627
111  33.21375512 -095.23242698
111  33.21373638 -095.23245215
111  33.21364362 -095.23235488
113  33.21373816 -095.23222976
110 2 0.00 0.0000 Taxiway 17
111  33.21394044 -095.23218080
111  33.21391815 -095.23221041
111  33.21398699 -095.23228360
111  33.21400226 -095.23228770
111  33.21396338 -095.23233845
111  33.21395697 -095.23232257
111  33.21388844 -095.23224988
111  33.21386370 -095.23228275
111  33.21377182 -095.23218592
113  33.21384838 -095.23208270
110 2 0.00 0.0000 Taxiway 16
111  33.21406099 -095.23204418
111  33.21404072 -095.23206966
111  33.21410096 -095.23213665
111  33.21411325 -095.23214293
111  33.21406914 -095.23220051
111  33.21405569 -095.23217704
111  33.21400300 -095.23211707
111  33.21398157 -095.23214400
111  33.21391766 -095.23207717
113  33.21399778 -095.23197671
110 2 0.00 0.0000 Taxiway 15
111  33.21435211 -095.23237278
111  33.21427358 -095.23247258
111  33.21418349 -095.23237128
111  33.21421004 -095.23233775
111  33.21413935 -095.23225892
111  33.21412193 -095.23225392
111  33.21416276 -095.23220050
111  33.21416684 -095.23222190
111  33.21423832 -095.23230204
113  33.21426202 -095.23227211
110 2 0.00 0.0000 Taxiway 14
111  33.21424652 -095.23252303
111  33.21416675 -095.23262391
111  33.21406829 -095.23251430
113  33.21414948 -095.23241385
110 2 0.00 0.0000 Taxiway 13
111  33.21413150 -095.23266754
111  33.21405582 -095.23276331
111  33.21395238 -095.23265029
111  33.21397089 -095.23262730
111  33.21396850 -095.23260632
111  33.21391630 -095.23254656
111  33.21390082 -095.23254322
111  33.21394004 -095.23249191
111  33.21394273 -095.23251348
111  33.21399555 -095.23256979
111  33.21401572 -095.23257163
113  33.21403018 -095.23255368
110 2 0.00 0.0000 Taxiway 12
111  33.21401861 -095.23280843
111  33.21393938 -095.23290866
111  33.21384092 -095.23279885
111  33.21386471 -095.23276921
111  33.21380235 -095.23269878
111  33.21378423 -095.23269578
111  33.21383633 -095.23262761
111  33.21383870 -095.23265264
111  33.21390171 -095.23272313
113  33.21392158 -095.23269840
110 2 0.00 0.0000 Taxiway 11
111  33.21390555 -095.23295016
111  33.21382595 -095.23304998
111  33.21372855 -095.23294101
111  33.21375357 -095.23290922
111  33.21369209 -095.23284150
111  33.21367396 -095.23284057
111  33.21372251 -095.23277654
111  33.21372518 -095.23279855
111  33.21378537 -095.23286880
113  33.21380751 -095.23284066
110 2 0.00 0.0000 Taxiway 10
111  33.21404000 -095.23310193
111  33.21401580 -095.23313282
111  33.21414028 -095.23326856
111  33.21411390 -095.23330134
111  33.21398964 -095.23316622
111  33.21396165 -095.23320195
111  33.21386434 -095.23309333
113  33.21394296 -095.23299339
110 2 0.00 0.0000 Taxiway 9
111  33.21415724 -095.23296253
111  33.21413347 -095.23299217
111  33.21419412 -095.23306026
111  33.21423224 -095.23315348
111  33.21423049 -095.23315585
111  33.21420063 -095.23319321
111  33.21415778 -095.23309094
111  33.21410287 -095.23303034
111  33.21407533 -095.23306469
111  33.21397562 -095.23295402
113  33.21405753 -095.23284867
110 2 0.00 0.0000 Taxiway 8
111  33.21456664 -095.23311682
111  33.21445118 -095.23326089
111  33.21441344 -095.23321849
111  33.21435410 -095.23329462
111  33.21432164 -095.23325829
111  33.21438223 -095.23318343
111  33.21434852 -095.23314555
113  33.21446426 -095.23300083
110 2 0.00 0.0000 Taxiway 7
111  33.21474531 -095.23332039
111  33.21463047 -095.23346298
111  33.21459339 -095.23342172
111  33.21453411 -095.23349656
111  33.21450105 -095.23345956
111  33.21456061 -095.23338524
111  33.21452720 -095.23334806
113  33.21464204 -095.23320227
110 2 0.00 0.0000 Taxiway 6
111  33.21564387 -095.23423318
111  33.21547819 -095.23443894
111  33.21536993 -095.23457550
112  33.21536993 -095.23457550  33.21535835 -095.23459142
112  33.21534945 -095.23461061  33.21534737 -095.23461807
111  33.21534945 -095.23461061
111  33.21533429 -095.23467453
111  33.21508437 -095.23439335
112  33.21508437 -095.23439335  33.21510017 -095.23439299
112  33.21517084 -095.23434646  33.21519797 -095.23431616
111  33.21517084 -095.23434646
111  33.21527784 -095.23421067
111  33.21525502 -095.23418467
113  33.21542168 -095.23397947
110 2 0.00 0.0000 Taxiway 5
111  33.21636160 -095.23514953
111  33.21621140 -095.23534411
111  33.21612811 -095.23534220
111  33.21603417 -095.23546121
111  33.21597141 -095.23539067
111  33.21606624 -095.23527168
111  33.21606001 -095.23517396
113  33.21621250 -095.23498070
110 1 0.00 0.0000 Taxiway 4
111  33.21325847 -095.23475933
111  33.21299118 -095.23445815
111  33.21299258 -095.23445628
111  33.21304969 -095.23449239
111  33.21314762 -095.23450619
111  33.21326811 -095.23435543
111  33.21385648 -095.23361922
112  33.21385648 -095.23361922  33.21386549 -095.23360075
112  33.21385158 -095.23354717  33.21384085 -095.23353229
111  33.21385158 -095.23354717
111  33.21303387 -095.23265892
112  33.21303387 -095.23265892  33.21298139 -095.23259620
112  33.21303713 -095.23242669  33.21309079 -095.23235720
111  33.21303713 -095.23242669
111  33.21368996 -095.23161994
111  33.21373820 -095.23167686
111  33.21371935 -095.23170078
111  33.21368091 -095.23174954
111  33.21351608 -095.23195863
111  33.21349547 -095.23199507
111  33.21348302 -095.23199404
111  33.21345812 -095.23202535
111  33.21346241 -095.23204023
111  33.21343450 -095.23206127
111  33.21322541 -095.23232658
112  33.21322541 -095.23232658  33.21316359 -095.23241176
112  33.21311250 -095.23254262  33.21310305 -095.23258111
111  33.21311250 -095.23254262
112  33.21311250 -095.23254262  33.21314298 -095.23262626
112  33.21326663 -095.23278996  33.21333318 -095.23286848
111  33.21326663 -095.23278996
111  33.21349676 -095.23304655
111  33.21351178 -095.23304603
112  33.21351178 -095.23304603  33.21351221 -095.23297573
112  33.21357275 -095.23284846  33.21361182 -095.23279304
111  33.21357275 -095.23284846
111  33.21362162 -095.23278467
111  33.21370360 -095.23267766
111  33.21382764 -095.23251575
111  33.21389655 -095.23242579
111  33.21396338 -095.23233845
111  33.21400226 -095.23228770
111  33.21406914 -095.23220051
111  33.21411325 -095.23214293
111  33.21414935 -095.23209581
111  33.21420001 -095.23215176
111  33.21416276 -095.23220050
111  33.21412193 -095.23225392
111  33.21406876 -095.23232349
111  33.21398936 -095.23242737
111  33.21394004 -095.23249191
111  33.21390082 -095.23254322
111  33.21383633 -095.23262761
111  33.21378423 -095.23269578
111  33.21372251 -095.23277654
111  33.21367396 -095.23284057
111  33.21362556 -095.23290440
112  33.21362556 -095.23290440  33.21356717 -095.23299574
112  33.21364359 -095.23319947  33.21372516 -095.23329851
111  33.21364359 -095.23319947
111  33.21390548 -095.23349044
112  33.21390548 -095.23349044  33.21392051 -095.23350326
112  33.21396001 -095.23349351  33.21397461 -095.23348274
111  33.21396001 -095.23349351
111  33.21411390 -095.23330134
111  33.21414028 -095.23326856
111  33.21420063 -095.23319321
111  33.21423049 -095.23315585
111  33.21432164 -095.23325829
111  33.21435410 -095.23329462
111  33.21450105 -095.23345956
111  33.21453411 -095.23349656
111  33.21482254 -095.23382040
111  33.21471134 -095.23389738
111  33.21469503 -095.23392406
111  33.21470705 -095.23396871
111  33.21508437 -095.23439335
111  33.21533429 -095.23467453
111  33.21597141 -095.23539067
111  33.21603417 -095.23546121
111  33.21648966 -095.23597319
111  33.21642761 -095.23605222
111  33.21463200 -095.23403918
111  33.21460305 -095.23403675
111  33.21434946 -095.23435569
111  33.21387478 -095.23382264
111  33.21382548 -095.23383075
111  33.21333993 -095.23443804
111  33.21325810 -095.23454039
111  33.21323231 -095.23458151
112  33.21323231 -095.23458151  33.21322213 -095.23460667
112  33.21323486 -095.23468936  33.21324487 -095.23472690
111  33.21323486 -095.23468936
113  33.21325955 -095.23475817
110 1 0.00 0.0000 Taxiway 3
111  33.21168513 -095.23298245
111  33.21149804 -095.23277281
111  33.21167328 -095.23255283
111  33.21170819 -095.23250900
111  33.21183077 -095.23264709
111  33.21179539 -095.23269032
111  33.21173489 -095.23276426
111  33.21169807 -095.23276774
111  33.21168122 -095.23278863
112  33.21168122 -095.23278863  33.21164296 -095.23285159
112  33.21168623 -095.23298107  33.21171505 -095.23303185
113  33.21168623 -095.23298107
110 1 0.00 0.0000 Taxiway 2
111  33.21795145 -095.24006156
111  33.21769200 -095.23976992
111  33.21769368 -095.23976835
112  33.21769368 -095.23976835  33.21774255 -095.23980448
112  33.21785122 -095.23976814  33.21789677 -095.23972878
111  33.21785122 -095.23976814
111  33.21787184 -095.23974297
111  33.21787568 -095.23968930
111  33.21793005 -095.23962358
111  33.21796593 -095.23958022
111  33.21808722 -095.23971832
111  33.21805257 -095.23976169
111  33.21795375 -095.23988535
112  33.21795375 -095.23988535  33.21792808 -095.23992124
112  33.21795257 -095.24005984  33.21799357 -095.24013582
113  33.21795257 -095.24005984
110 1 0.00 0.0000 Taxiway 1
111  33.21911382 -095.24137497
111  33.21911531 -095.24137319
112  33.21911531 -095.24137319  33.21914722 -095.24139742
112  33.21921956 -095.24136873  33.21923029 -095.24135840
111  33.21921956 -095.24136873
111  33.21934193 -095.24121988
111  33.21934893 -095.24121137
111  33.21934909 -095.24118830
112  33.21934909 -095.24118830  33.21934950 -095.24116900
112  33.21936202 -095.24114812  33.21937031 -095.24113649
111  33.21936202 -095.24114812
111  33.21944525 -095.24104805
111  33.21956836 -095.24118463
111  33.21944559 -095.24133685
113  33.21927173 -095.24155242
130 Airport Boundary
111  33.21993487 -095.24357227
111  33.21947789 -095.24304617
111  33.21920317 -095.24345559
111  33.21751119 -095.24149422
111  33.21737915 -095.24149168
111  33.21741438 -095.24264849
111  33.21176687 -095.23635256
111  33.20950414 -095.23499086
111  33.20921932 -095.23408314
111  33.21265297 -095.22987546
111  33.21730500 -095.23529372
111  33.21630814 -095.23655135
111  33.22068326 -095.24152551
111  33.22042218 -095.24186594
113  33.22087314 -095.24240495
120 Linear Feature 33
111  33.21934193 -095.24121988 54
115  33.21944559 -095.24133685
120 Linear Feature 32
111  33.21793005 -095.23962358 54
115  33.21805257 -095.23976169
120 Linear Feature 31
111  33.21326811 -095.23435543 54
115  33.21333993 -095.23443804
120 Linear Feature 30
111  33.21167328 -095.23255283 54
115  33.21179539 -095.23269032
120 Linear Feature 29
111  33.21438186 -095.23430070 51
111  33.21435728 -095.23427287 51
115  33.21433343 -095.23424587
120 Linear Feature 28
111  33.21435728 -095.23427287 51
115  33.21432511 -095.23431269
120 Linear Feature 27
111  33.21429029 -095.23419724 51
111  33.21426748 -095.23417129 51
115  33.21424400 -095.23414465
120 Linear Feature 26
111  33.21426748 -095.23417129 51
115  33.21423583 -095.23421067
120 Linear Feature 25
111  33.21420072 -095.23409566 51
111  33.21417750 -095.23406978 51
115  33.21415429 -095.23404393
120 Linear Feature 24
111  33.21417750 -095.23406978 51
115  33.21414597 -095.23410936
120 Linear Feature 23
111  33.21411086 -095.23399494 51
111  33.21408740 -095.23396854 51
115  33.21406457 -095.23394286
120 Linear Feature 22
111  33.21408740 -095.23396854 51
115  33.21405767 -095.23400656
120 Linear Feature 21
111  33.21402093 -095.23389293 51
111  33.21399793 -095.23386718 51
115  33.21397458 -095.23384104
120 Linear Feature 20
111  33.21399793 -095.23386718 51
115  33.21396641 -095.23390610
120 Linear Feature 19
111  33.21422064 -095.23375193 51
111  33.21419653 -095.23372463 51
115  33.21417535 -095.23370065
120 Linear Feature 18
111  33.21419653 -095.23372463 51
115  33.21422728 -095.23368626
120 Linear Feature 17
111  33.21431067 -095.23385379 51
111  33.21428643 -095.23382664 51
115  33.21426463 -095.23380223
120 Linear Feature 16
111  33.21428643 -095.23382664 51
115  33.21431761 -095.23378791
120 Linear Feature 15
111  33.21440049 -095.23395588 51
111  33.21437648 -095.23392878 51
115  33.21435449 -095.23390398
120 Linear Feature 14
111  33.21437648 -095.23392878 51
115  33.21440694 -095.23388925
120 Linear Feature 12
111  33.21444377 -095.23400470 51
111  33.21446605 -095.23402976 51
115  33.21449006 -095.23405677
120 Linear Feature 13
111  33.21446605 -095.23402976 51
115  33.21449723 -095.23399062
120 Linear Feature 11
111  33.21938091 -095.24129381 51
111  33.21923832 -095.24146888
112  33.21923832 -095.24146888  33.21922276 -095.24148786 51
116  33.21919920 -095.24149800  33.21918972 -095.24150082
120 Linear Feature 9
111  33.21797795 -095.23970769 51
111  33.21790799 -095.23979477
112  33.21790799 -095.23979477  33.21781836 -095.23991826 51
112  33.21792264 -095.24014357  33.21799747 -095.24022995
111  33.21792264 -095.24014357 51
115  33.21831453 -095.24058660
120 Linear Feature 10
112  33.21790799 -095.23979477  33.21783259 -095.23988143 51
112  33.21763063 -095.23981352  33.21753878 -095.23973020
111  33.21763063 -095.23981352 51
115  33.21721790 -095.23934706
120 Linear Feature 8
111  33.21359993 -095.23321726 51
111  33.21311133 -095.23268867
112  33.21311133 -095.23268867  33.21303862 -095.23259808 51
112  33.21309648 -095.23240913  33.21315378 -095.23232811
111  33.21309648 -095.23240913 51
115  33.21368754 -095.23167885
120 Linear Feature 2
111  33.21253553 -095.23405786 51
111  33.21293493 -095.23451082
112  33.21293493 -095.23451082  33.21302170 -095.23459997 51
112  33.21321783 -095.23450798  33.21330044 -095.23441847
111  33.21321783 -095.23450798 51
111  33.21387627 -095.23368040 51
111  33.21391290 -095.23363436 51
111  33.21397941 -095.23355076 51
111  33.21398528 -095.23354338 51
111  33.21404108 -095.23347325
112  33.21404108 -095.23347325  33.21409309 -095.23341316 51
112  33.21418273 -095.23345786  33.21421294 -095.23348154
111  33.21418273 -095.23345786 51
115  33.21642521 -095.23597925
120 Linear Feature 7
112  33.21391290 -095.23363436  33.21392531 -095.23360545 51
112  33.21390853 -095.23354869  33.21388707 -095.23352254
111  33.21390853 -095.23354869 51
111  33.21359993 -095.23321726
112  33.21359993 -095.23321726  33.21352469 -095.23310403 51
112  33.21359869 -095.23287094  33.21366719 -095.23276648
111  33.21359869 -095.23287094 51
115  33.21416356 -095.23213835
120 Linear Feature 6
