I
1050 Generated by WorldEditor 2.1.0r1

1     41 1 0 EEPU Parnu
1302 city Pärnu
1302 country Estonia
1302 datum_lat 58.418888889
1302 datum_lon 24.472777778
1302 faa_code 
1302 iata_code EPU
1302 icao_code EEPU
1302 region_code EE
1302 state Pärnu County
1302 transition_alt 5000
1302 transition_level 
100 23.00 2 0 0.25 0 0 0 03  58.41875662  024.47276883   60    0 2 0 0 0 21  58.42541189  024.48176258   60    0 2 0 0 0
110 1 0.25 0.0000 Linear Feature 12
111  58.42243855  024.47714631
112  58.42248397  024.47662282  58.42254179  024.47642692
111  58.42248397  024.47662282
111  58.42239699  024.47650712
112  58.42239699  024.47650712  58.42227389  024.47677426
111  58.42208718  024.47664322
113  58.42204750  024.47660882
110 1 0.00 0.0000 New Taxiway 15
111  58.41116182  024.45834630
111  58.41031308  024.46026156
111  58.41034435  024.46030074
113  58.41119560  024.45839144
110 1 0.00 0.0000 New Taxiway 14
111  58.40977796  024.46007336
111  58.40975256  024.46003435
111  58.40962355  024.45998687
111  58.40939505  024.46056549
111  58.40940438  024.46092452
111  58.40937830  024.46098135
111  58.40940504  024.46102164
113  58.40949229  024.46083628
110 1 0.00 0.0000 New Taxiway 13
111  58.41441021  024.46628049
111  58.41439017  024.46603885
111  58.41441193  024.46584002
111  58.41442464  024.46574465
111  58.41433669  024.46562599
111  58.41430623  024.46567977
111  58.41419121  024.46578957
111  58.41402652  024.46575916
111  58.41400313  024.46575990
111  58.41395494  024.46573022
111  58.41393318  024.46578364
111  58.41422851  024.46617833
111  58.41425805  024.46611008
111  58.41429846  024.46616349
113  58.41430813  024.46614179
110 1 0.00 0.0000 New Taxiway 11
111  58.42780225  024.48557462
111  58.42801818  024.48585587
111  58.42830419  024.48508399
111  58.42816896  024.48491180
111  58.42812077  024.48480196
113  58.42809608  024.48478508
110 1 0.00 0.0000 New Taxiway 19
111  58.42162134  024.46777041
112  58.42163357  024.46768216  58.42164437  024.46764952
111  58.42163357  024.46768216
112  58.42166417  024.46759924  58.42167496  024.46756661
111  58.42166417  024.46759924
111  58.42234121  024.46576428
111  58.42232069  024.46573578
111  58.42186557  024.46695751
112  58.42179737  024.46697468  58.42177668  024.46694376
111  58.42179737  024.46697468
111  58.42159047  024.46669812
112  58.42159047  024.46669812  58.42158148  024.46667750
111  58.42158598  024.46665517
111  58.42160217  024.46659677
111  58.42127204  024.46615360
111  58.42125945  024.46617764
111  58.42120817  024.46611581
111  58.42128194  024.46591140
111  58.42124146  024.46585643
111  58.42118205  024.46601853
111  58.42113959  024.46602125
111  58.42103506  024.46630217
111  58.42097277  024.46623099
112  58.42097749  024.46625638  58.42098558  024.46626840
111  58.42097749  024.46625638
111  58.42102608  024.46632630
111  58.42104609  024.46638952
111  58.42095000  024.46665173
111  58.42090593  024.46677198
111  58.42089714  024.46678780
111  58.42093346  024.46683709
111  58.42098728  024.46670034
111  58.42114431  024.46630132
112  58.42114431  024.46630132  58.42117849  024.46624635
111  58.42125945  024.46632537
111  58.42147947  024.46662664
111  58.42129570  024.46712283
111  58.42124499  024.46725977
111  58.42127349  024.46729844
111  58.42132394  024.46716213
111  58.42150779  024.46666542
111  58.42177128  024.46702620
112  58.42177128  024.46702620  58.42179017  024.46705712
111  58.42179017  024.46715160
111  58.42163397  024.46755642
111  58.42160127  024.46764116
112  58.42160127  024.46764116  58.42157968  024.46769097
113  58.42154935  024.46767273
110 1 0.00 0.0000 New Taxiway 18
111  58.42118030  024.46851700
111  58.42117426  024.46860144
111  58.42105116  024.46890776
111  58.42113323  024.46900749
111  58.42121157  024.46880090
