A
1050 Generated by WorldEditor 2.0.0r4

1   4316 0 0 KPGA Page Muni
100 45.72 1 0 0.00 0 2 0 15  36.93282001 -111.44956063    0   47 2 0 0 1 33  36.91672463 -111.44607038    0   46 2 0 0 1
100 22.86 1 0 0.00 0 0 0 7  36.92915930 -111.45351914  179    0 1 0 0 0 25  36.92999813 -111.44606609    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 15
111  36.92863111 -111.45149460
111  36.92857547 -111.45148369
111  36.92858201 -111.45143755
111  36.92852706 -111.45142638
111  36.92853954 -111.45134492
111  36.92859289 -111.45135442
111  36.92859886 -111.45131046
113  36.92865260 -111.45132128
110 2 0.00 0.0000 New Taxiway 15
111  36.92860668 -111.45167874
111  36.92854851 -111.45166631
111  36.92855566 -111.45162717
111  36.92849879 -111.45161563
111  36.92850987 -111.45153713
111  36.92856503 -111.45154847
111  36.92857110 -111.45151051
113  36.92862983 -111.45152499
110 2 0.00 0.0000 New Taxiway 15
111  36.92858198 -111.45185612
111  36.92852785 -111.45184457
111  36.92853515 -111.45179938
111  36.92849408 -111.45179263
111  36.92850470 -111.45172323
111  36.92854502 -111.45173109
111  36.92855250 -111.45168492
113  36.92860422 -111.45169480
110 2 0.00 0.0000 New Taxiway 15
111  36.92855932 -111.45201999
111  36.92850691 -111.45200908
111  36.92851236 -111.45197298
111  36.92846882 -111.45196279
111  36.92847965 -111.45189514
111  36.92852493 -111.45190450
111  36.92853082 -111.45186631
113  36.92858047 -111.45187504
110 2 0.00 0.0000 New Taxiway 15
111  36.92853387 -111.45219966
111  36.92848255 -111.45218965
111  36.92848872 -111.45214264
111  36.92844518 -111.45213428
111  36.92845420 -111.45206753
111  36.92849767 -111.45207690
111  36.92850537 -111.45202734
113  36.92855684 -111.45203743
110 2 0.00 0.0000 New Taxiway 15
111  36.92851311 -111.45236379
111  36.92846142 -111.45235242
111  36.92846615 -111.45231405
111  36.92842115 -111.45230568
111  36.92843016 -111.45223848
111  36.92847436 -111.45224739
111  36.92847879 -111.45220783
113  36.92853171 -111.45221929
110 2 0.00 0.0000 New Taxiway 15
111  36.92848603 -111.45254454
111  36.92843580 -111.45253408
111  36.92844234 -111.45248752
111  36.92838935 -111.45247779
111  36.92839909 -111.45240468
111  36.92845237 -111.45241541
111  36.92845972 -111.45237039
113  36.92850973 -111.45238231
110 2 0.00 0.0000 New Taxiway 15
111  36.92846223 -111.45270779
111  36.92841382 -111.45269688
111  36.92841927 -111.45265760
111  36.92837137 -111.45264741
111  36.92838329 -111.45257885
111  36.92842785 -111.45258867
111  36.92843301 -111.45255320
113  36.92848339 -111.45256375
110 2 0.00 0.0000 New Taxiway 15
111  36.92843784 -111.45287795
111  36.92838870 -111.45286659
111  36.92839524 -111.45283276
111  36.92834988 -111.45282348
111  36.92836035 -111.45276128
111  36.92840309 -111.45277110
111  36.92841007 -111.45272746
113  36.92845790 -111.45273801
110 2 0.00 0.0000 New Taxiway 14
111  36.92826693 -111.45278866
111  36.92831549 -111.45279916
111  36.92831176 -111.45283203
111  36.92835755 -111.45284207
111  36.92834864 -111.45290849
111  36.92830230 -111.45290008
111  36.92829902 -111.45293464
113  36.92824715 -111.45292683
110 2 0.00 0.0000 New Taxiway 14
111  36.92830005 -111.45260147
111  36.92836860 -111.45261743
111  36.92836160 -111.45266121
111  36.92841030 -111.45267080
111  36.92839630 -111.45275222
111  36.92834923 -111.45274290
111  36.92834268 -111.45278519
113  36.92827554 -111.45277192
110 2 0.00 0.0000 New Taxiway 14
111  36.92831631 -111.45243354
111  36.92836560 -111.45244495
111  36.92836078 -111.45248464
111  36.92840475 -111.45249195
111  36.92839403 -111.45256747
111  36.92834987 -111.45255769
111  36.92834549 -111.45258907
111  36.92829399 -111.45257853
113  36.92830882 -111.45248221
110 2 0.00 0.0000 New Taxiway 14
111  36.92833955 -111.45225784
111  36.92838920 -111.45226698
