I
1050 Generated by WorldEditor 2.3.0r2

1    779 0 0 1C1 Paxton
100 13.72 1 0 0.25 0 2 0 18  40.45365961 -088.12777446  248    0 2 0 0 1 36  40.44430925 -088.12773047    0    0 2 0 0 0
110 1 0.00 0.0000 New Taxiway 36
111  40.45196806 -088.12862467
111  40.45254577 -088.12861502
111  40.45254778 -088.12850419
111  40.45258292 -088.12850485
111  40.45258342 -088.12861502
111  40.45266825 -088.12861436
111  40.45266876 -088.12850419
111  40.45270691 -088.12850485
111  40.45270741 -088.12861304
111  40.45279425 -088.12861040
111  40.45279576 -088.12850222
111  40.45282939 -088.12850090
112  40.45283090 -088.12861238  40.45283090 -088.12861304
111  40.45291674 -088.12861238
111  40.45292125 -088.12850485
111  40.45295439 -088.12850683
111  40.45295639 -088.12861370
111  40.45304173 -088.12861436
111  40.45304123 -088.12850485
111  40.45307587 -088.12850551
111  40.45307637 -088.12861634
111  40.45316371 -088.12861700
111  40.45316572 -088.12850419
111  40.45320036 -088.12850419
111  40.45319785 -088.12861832
111  40.45328720 -088.12861832
111  40.45329172 -088.12850485
111  40.45332385 -088.12850617
111  40.45332083 -088.12861766
111  40.45341571 -088.12861766
111  40.45341470 -088.12850617
111  40.45344733 -088.12850815
111  40.45344707 -088.12861905
112  40.45354325 -088.12856652  40.45357947 -088.12852056
111  40.45357947 -088.12844669
111  40.45357697 -088.12807243
111  40.45335463 -088.12783933
111  40.45365914 -088.12784529
112  40.45366018 -088.12831450  40.45366018 -088.12832818
111  40.45367371 -088.12835827
111  40.45372367 -088.12841299
112  40.45375178 -088.12843488  40.45376392 -088.12843488
111  40.45387981 -088.12843488
111  40.45388606 -088.12838973
111  40.45388918 -088.12813666
111  40.45400576 -088.12814077
112  40.45400108 -088.12839709  40.45400108 -088.12840621
111  40.45400108 -088.12839709
112  40.45400108 -088.12839709  40.45400022 -088.12843471
111  40.45402537 -088.12843813
111  40.45421447 -088.12843699
111  40.45421488 -088.12885571
111  40.45398105 -088.12885177
111  40.45363968 -088.12885096
111  40.45349391 -088.12885017
111  40.45349709 -088.12868491
111  40.45327923 -088.12868425
111  40.45326467 -088.12871064
111  40.45326467 -088.12882939
111  40.45329027 -088.12885445
111  40.45320028 -088.12885587
111  40.45322100 -088.12882939
111  40.45322100 -088.12868359
111  40.45285520 -088.12868447
111  40.45283653 -088.12870268
111  40.45283755 -088.12885497
111  40.45279535 -088.12885424
111  40.45279436 -088.12870268
111  40.45277689 -088.12868368
111  40.45264678 -088.12868606
111  40.45263413 -088.12870981
111  40.45263432 -088.12885568
111  40.45258901 -088.12885607
111  40.45258955 -088.12871060
111  40.45257630 -088.12868606
111  40.45221085 -088.12868606
111  40.45220060 -088.12870823
111  40.45220194 -088.12883005
111  40.45216386 -088.12883075
111  40.45216265 -088.12870506
111  40.45215121 -088.12869002
113  40.45196899 -088.12869239
110 2 0.00 0.0000 New Taxiway 35
111  40.45224917 -088.12882920
111  40.45224772 -088.12897454
111  40.45198966 -088.12897834
111  40.45198821 -088.12883394
111  40.45216386 -088.12883075
113  40.45220194 -088.12883005
110 2 0.00 0.0000 New Taxiway 34
111  40.45225704 -088.12899667
111  40.45225644 -088.12887793
111  40.45237933 -088.12887793
113  40.45237873 -088.12899588
110 2 0.00 0.0000 New Taxiway 33
111  40.45240340 -088.12898072
111  40.45240600 -088.12886331
111  40.45252571 -088.12886217
113  40.45252571 -088.12898642
110 2 0.00 0.0000 New Taxiway 32
111  40.45254393 -088.12900124
111  40.45254306 -088.12885647
111  40.45258901 -088.12885607
111  40.45263432 -088.12885568
111  40.45267404 -088.12885533
113  40.45267491 -088.12900124
110 2 0.00 0.0000 New Taxiway 31
111  40.45397955 -088.12905860
111  40.45398105 -088.12885177
111  40.45421488 -088.12885571
113  40.45421189 -088.12905466
110 2 0.00 0.0000 New Taxiway 30
111  40.45270708 -088.12900471
