A
1000 Generated by WorldEditor

1     10 1 0 PAHP Hooper Bay
100 22.86 1 0 0.00 0 2 0 13  61.52773966 -166.15156066    0    0 2 0 0 0 31  61.52000075 -166.14171314    0    0 2 11 0 0
110 2 0.00 0.0000 New Taxiway 8
111  61.52013110 -166.13949668
111  61.52017084 -166.13936387
111  61.52019325 -166.13939359
113  61.52015353 -166.13952622
110 2 0.00 0.0000 New Taxiway 8
111  61.52037143 -166.13969756
111  61.52038656 -166.13964703
111  61.52039376 -166.13965651
113  61.52037863 -166.13970704
110 2 0.00 0.0000 New Taxiway 8
111  61.52029627 -166.13971420
111  61.52033599 -166.13958157
111  61.52035488 -166.13960644
113  61.52031516 -166.13973908
110 2 0.00 0.0000 New Taxiway 8
111  61.52015353 -166.13952622
111  61.52019325 -166.13939359
111  61.52021815 -166.13931046
111  61.52036088 -166.13949845
111  61.52033599 -166.13958157
113  61.52029627 -166.13971420
110 1 0.00 0.0000 New Taxiway 2
111  61.52079303 -166.14135518 1
111  61.52054557 -166.14104063
111  61.52019556 -166.14059571 1
111  61.51965688 -166.13991096
111  61.51995519 -166.13886835
111  61.52096189 -166.14019081
112  61.52098458 -166.14034961  61.52100383 -166.14042050
113  61.52104736 -166.14047752
111  61.52039376 -166.13965651
111  61.52038656 -166.13964703
111  61.52037143 -166.13969756
113  61.52037863 -166.13970704
111  61.52031516 -166.13973908
111  61.52035488 -166.13960644
111  61.52033599 -166.13958157
111  61.52036088 -166.13949845
111  61.52021815 -166.13931046
111  61.52019325 -166.13939359
111  61.52017084 -166.13936387
113  61.52013110 -166.13949668
110 1 0.00 0.0000 New Taxiway 1
111  61.52007601 -166.14155825 1
111  61.52023752 -166.14100890
112  61.52023752 -166.14100890  61.52028721 -166.14083620 1
111  61.52019556 -166.14059571
111  61.52054557 -166.14104063 1
112  61.52031670 -166.14107842  61.52026629 -166.14125112
111  61.52031670 -166.14107842 1
111  61.52023186 -166.14137101
112  61.52023186 -166.14137101  61.52018038 -166.14156644 1
113  61.52025081 -166.14177953
130 Airport Boundary 7
111  61.51920500 -166.14119921
111  61.51942074 -166.14048464
111  61.52013640 -166.14139530
111  61.52027020 -166.14093925
111  61.52026783 -166.14074641
111  61.52019556 -166.14059571
111  61.51965688 -166.13991096
111  61.51995519 -166.13886835
111  61.52096189 -166.14019081
111  61.52103214 -166.13999702
111  61.52114376 -166.13991717
111  61.52121745 -166.13999702
111  61.52125424 -166.14019640
111  61.52121745 -166.14038591
111  61.52113851 -166.14046709
111  61.52104736 -166.14047752
111  61.52079303 -166.14135518
111  61.52054557 -166.14104063
111  61.52039185 -166.14093913
111  61.52032331 -166.14100273
111  61.52018939 -166.14146132
111  61.52853872 -166.15208699
113  61.52833249 -166.15281364
120 Linear Feature 5
111  61.52121745 -166.14038591 22
112  61.52103214 -166.14038591  61.52093510 -166.14018697 22
111  61.52103214 -166.13999702 22
114  61.52121745 -166.13999702  61.52130717 -166.14018962 22
120 Linear Feature 4
111  61.52039076 -166.14065199 1
111  61.52014357 -166.14150450
112  61.52014357 -166.14150450  61.52012480 -166.14157094 1
116  61.52019157 -166.14194190  61.52031686 -166.14210177
120 Linear Feature 3
111  61.52019556 -166.14059571 5
115  61.52054557 -166.14104063
21  61.52745203 -166.15050705 1 148.6175 3.0 13  VASI
21  61.52581206 -166.14842025 1 148.6356 3.0 13  VASI
21  61.52189527 -166.14474991 1 328.6820 3.0 31  VASI
21  61.52025961 -166.14266920 1 328.7474 3.0 31  VASI
14  61.52048798 -166.13974839  13.00 0 Viewpoint 3
1300  61.52003129 -166.13968108 161.89 misc turboprops|props Gate
1300  61.52077455 -166.14016904 -121.61 misc props GA 3
1300  61.52085490 -166.14060785 148.48 misc props GA 2
1300  61.52074944 -166.14097294 148.48 misc props GA 1
18  61.51919766 -166.13807509 1 New Airport Beacon 2
19  61.52111206 -166.14019405 0 New Windsock 1
50 13510 AWOS 3
51 12300 CTAF
99
