A
1000 Generated by WorldEditor

1     15 1 0 EGAC George Best - Belfast City
100 45.11 1 0 0.00 1 3 1 04  54.61135610 -005.88056313   89    0 5 9 0 1 22  54.62488601 -005.86437177    0    0 5 9 0 1
110 2 0.00 90.0000 New Taxiway 22
111  54.61367156 -005.87351658
111  54.61349917 -005.87372147
111  54.61343091 -005.87355021
111  54.61341332 -005.87354479
111  54.61339299 -005.87349451
111  54.61339623 -005.87346320
111  54.61338050 -005.87342374
113  54.61355289 -005.87321885
110 2 0.00 90.0000 New Taxiway 22
111  54.61410747 -005.87135933 20
111  54.61400968 -005.87111546 20
111  54.61433688 -005.87072413
113  54.61443459 -005.87096776 20
110 2 0.00 90.0000 New Taxiway 22
111  54.61378367 -005.87260034 20
111  54.61374031 -005.87253347 20
111  54.61396778 -005.87206123 20
111  54.61403048 -005.87194931 20
111  54.61424166 -005.87169588
111  54.61427662 -005.87178306 20
111  54.61427549 -005.87178441 20
111  54.61425562 -005.87180826 20
111  54.61408655 -005.87201116 20
111  54.61406502 -005.87203699 20
111  54.61404835 -005.87206682 20
111  54.61404147 -005.87207913 20
111  54.61402440 -005.87210966 20
111  54.61400282 -005.87214828 20
111  54.61385715 -005.87244878 20
111  54.61381779 -005.87252996 20
113  54.61380178 -005.87256300 20
110 2 0.00 90.0000 New Taxiway 22
111  54.61427662 -005.87178306
111  54.61424166 -005.87169588 20
111  54.61413528 -005.87143063 20
111  54.61446302 -005.87103864
113  54.61460428 -005.87139085 20
110 2 0.00 90.0000 New Taxiway 22
111  54.61460428 -005.87139085
111  54.61446302 -005.87103864 20
111  54.61443459 -005.87096776
111  54.61433688 -005.87072413 20
111  54.61426213 -005.87053774 20
111  54.61488507 -005.86979268 20
111  54.61509217 -005.87030905 20
111  54.61519120 -005.87018903 20
112  54.61522721 -005.87020809  54.61524426 -005.87025040 20
111  54.61522485 -005.87027240 20
111  54.61512576 -005.87039282 20
111  54.61519113 -005.87055580 20
111  54.61582484 -005.86979990 20
111  54.61590150 -005.86973318 20
111  54.61624600 -005.86952881 20
111  54.61625767 -005.86958708 20
111  54.61626393 -005.86961831 20
111  54.61626553 -005.86962632 20
111  54.61623236 -005.86964612 20
111  54.61593634 -005.86982280 20
111  54.61590244 -005.86985233 20
111  54.61586436 -005.86988549 20
111  54.61586032 -005.86988901 20
111  54.61566264 -005.87012531 20
111  54.61562696 -005.87016797 20
111  54.61531969 -005.87053526 20
111  54.61528626 -005.87057522 20
111  54.61522642 -005.87064675 20
111  54.61521238 -005.87066354
111  54.61487320 -005.87106921 20
111  54.61462613 -005.87136472
113  54.61460900 -005.87138521 20
110 2 0.00 90.0000 New Taxiway 22
111  54.61403605 -005.87169649
111  54.61409268 -005.87162203
111  54.61410767 -005.87165604
113  54.61405104 -005.87173049
110 2 0.00 90.0000 New Taxiway 22
111  54.61397842 -005.87154359
111  54.61403504 -005.87146914
111  54.61405003 -005.87150315
113  54.61399341 -005.87157759
110 2 0.00 90.0000 New Taxiway 22
111  54.61388814 -005.87170908
111  54.61394477 -005.87163463
111  54.61395976 -005.87166863
113  54.61390314 -005.87174308
110 2 0.00 90.0000 New Taxiway 22
111  54.61503518 -005.86980323
111  54.61507606 -005.86975443
111  54.61509463 -005.86980134
113  54.61505375 -005.86985014
110 2 0.00 90.0000 New Taxiway 22
111  54.61508330 -005.86973811
111  54.61514184 -005.86966822
111  54.61516844 -005.86973540
113  54.61510990 -005.86980529
110 2 0.00 90.0000 New Taxiway 22
111  54.61392426 -005.87174265
111  54.61398088 -005.87166820
111  54.61399587 -005.87170220
113  54.61393924 -005.87177665
110 2 0.00 90.0000 New Taxiway 22
111  54.61391631 -005.87158427
111  54.61387573 -005.87148330
111  54.61389606 -005.87145894
113  54.61393664 -005.87155990
110 2 0.00 90.0000 New Taxiway 22
111  54.61326366 -005.87413723
111  54.61321679 -005.87402064
111  54.61324027 -005.87399250
113  54.61328714 -005.87410909
110 2 0.00 90.0000 New Taxiway 22
111  54.61387901 -005.87162706
111  54.61383842 -005.87152610
111  54.61385875 -005.87150173
113  54.61389933 -005.87160269
110 2 0.00 90.0000 New Taxiway 22
111  54.61396554 -005.87139106
111  54.61390268 -005.87123468
111  54.61393417 -005.87119694
113  54.61399703 -005.87135332
110 2 0.00 90.0000 New Taxiway 22
111  54.61397774 -005.87152713
111  54.61391488 -005.87137074
111  54.61394637 -005.87133300
113  54.61400923 -005.87148938
110 2 0.00 90.0000 New Taxiway 22
111  54.61466532 -005.87151413 20
111  54.61464920 -005.87153683 20
111  54.61464851 -005.87153534
111  54.61463453 -005.87150533 20
111  54.61463083 -005.87149739
113  54.61464694 -005.87147470 20
110 2 0.00 90.0000 New Taxiway 22
111  54.61464068 -005.87139543
111  54.61462457 -005.87141812 20
111  54.61460900 -005.87138521
113  54.61462613 -005.87136472 20
