I
1050 Generated by WorldEditor 2.1.0r1

1      6 0 0 LETJ Trebujena
100 19.00 1 0 0.00 0 0 0 08  36.85743931 -006.14553836    0  209 1 0 0 0 26  36.85994043 -006.13700349    0  175 1 0 0 0
110 5 0.00 0.0000 taxiway 2
111  36.85927252 -006.13766173
111  36.85912230 -006.13743281
111  36.85915880 -006.13739622
111  36.85918046 -006.13742858
111  36.85924843 -006.13735944
111  36.85921106 -006.13730450
111  36.85924305 -006.13726948
111  36.85931710 -006.13740738
111  36.85953030 -006.13759875
113  36.85950510 -006.13767264
110 1 0.00 0.0000 Shoulder South
111  36.85643280 -006.14779404
112  36.85643280 -006.14779404  36.85640826 -006.14779962
112  36.85643568 -006.14774315  36.85646366 -006.14772521
111  36.85643568 -006.14774315
112  36.85643568 -006.14774315  36.85650664 -006.14769791
112  36.85666012 -006.14752430  36.85672914 -006.14743100
111  36.85666012 -006.14752430
112  36.85666012 -006.14752430  36.85673591 -006.14742184
112  36.85681813 -006.14724698  36.85684219 -006.14718634
111  36.85681813 -006.14724698
111  36.85909363 -006.13948873
111  36.85913194 -006.13935811
111  36.85958942 -006.13779836
111  36.85965828 -006.13756357
111  36.86037435 -006.13512218
111  36.86094280 -006.13454095
111  36.86092728 -006.13460099
111  36.86065397 -006.13493688
111  36.85687466 -006.14784699
111  36.85684405 -006.14783947
111  36.85680747 -006.14783880
111  36.85679626 -006.14785358
111  36.85672998 -006.14783566
113  36.85650352 -006.14777533
110 2 0.00 0.0000 New Taxiway 1
111  36.85958942 -006.13779836
111  36.85949022 -006.13775165
111  36.85926879 -006.13773997
111  36.85885383 -006.13802621
111  36.85870749 -006.13784654
111  36.85869568 -006.13785869
111  36.85855141 -006.13764767
111  36.85869645 -006.13750051
111  36.85883743 -006.13771427
111  36.85885521 -006.13769776
111  36.85897984 -006.13785311
111  36.85915332 -006.13773683
111  36.85899438 -006.13772714
111  36.85891193 -006.13770326
111  36.85890126 -006.13771419
111  36.85876233 -006.13750525
111  36.85878535 -006.13748184
111  36.85874144 -006.13738800
111  36.85877934 -006.13734682
111  36.85873272 -006.13721237
111  36.85869686 -006.13717469
111  36.85867157 -006.13720196
111  36.85852444 -006.13698360
111  36.85863447 -006.13687751
111  36.85877703 -006.13708891
111  36.85875410 -006.13711092
111  36.85876245 -006.13718547
111  36.85877342 -006.13721843
111  36.85880928 -006.13723660
111  36.85890328 -006.13718737
111  36.85864404 -006.13680419
111  36.85871456 -006.13673256
111  36.85873947 -006.13676995
111  36.85880746 -006.13669925
111  36.85887941 -006.13680849
111  36.85893929 -006.13674820
111  36.85931710 -006.13731048
111  36.85955647 -006.13752365
111  36.85964381 -006.13756252
113  36.85965828 -006.13756357
110 2 0.00 0.0000 New Taxiway 2
111  36.85909363 -006.13948873
111  36.85900040 -006.13940516
111  36.85878848 -006.13926764
112  36.85878848 -006.13926764  36.85877194 -006.13925896
112  36.85872592 -006.13926544  36.85869588 -006.13927321
111  36.85872592 -006.13926544
111  36.85861517 -006.13929911
111  36.85852508 -006.13885320
111  36.85854824 -006.13884609
111  36.85853058 -006.13872639
111  36.85885477 -006.13864581
111  36.85889857 -006.13886322
111  36.85878604 -006.13891644
111  36.85884285 -006.13920835
111  36.85906483 -006.13934555
113  36.85913194 -006.13935811
112  36.85877595 -006.13919710  36.85879008 -006.13919907
111  36.85877595 -006.13919710
111  36.85868325 -006.13873475
111  36.85862062 -006.13874844
111  36.85863579 -006.13881922
111  36.85865986 -006.13881184
111  36.85873617 -006.13919786
114  36.85873617 -006.13919786  36.85875895 -006.13919488
130 Airport Boundary 1
111  36.85713324 -006.14796075
111  36.85710075 -006.14800488
111  36.85704073 -006.14803489
111  36.85684025 -006.14794207
111  36.85642729 -006.14787619
111  36.85630956 -006.14784544
111  36.85630077 -006.14775540
111  36.85650637 -006.14744354
111  36.85663465 -006.14712729
111  36.85854369 -006.14043515
111  36.85858909 -006.14018258
111  36.85859934 -006.13995930
111  36.85855951 -006.13964674
111  36.85804203 -006.13731477
111  36.86092413 -006.13444096
111  36.86100004 -006.13444096
113  36.86102324 -006.13457538
14  36.85888021 -006.13782403   9.84 0 Tower
1300  36.85915950 -006.13736837 -140.15 hangar props Hangar 09
1301 A none 
1300  36.85906779 -006.13723567 -140.15 hangar props Hangar 08
1301 A none 
1300  36.85897566 -006.13709719 -140.15 hangar props Hangar 07
1301 A none 
1300  36.85888321 -006.13695599 -140.15 hangar props Hangar 06
1301 A none 
1300  36.85878926 -006.13682195 -140.15 hangar props Hangar 05
1301 A none 
1300  36.85869592 -006.13710713 -50.68 hangar props Hangar 04
1301 A none 
1300  36.85895717 -006.13759988 -50.68 hangar props Hangar 03
1301 A none 
1300  36.85875133 -006.13775035 -50.68 hangar props Hangar 02
1301 A none 
1300  36.85864246 -006.13906422 -74.40 hangar props Hangar 01
1301 A none 
1300  36.85880351 -006.13878800 194.08 tie_down props Tie Down 03
1301 A general_aviation 
1300  36.85938242 -006.13750944  76.06 tie_down props Tie Down 02
1301 A general_aviation 
1300  36.85929344 -006.13741835  43.27 tie_down props Tie Down 01
1301 A general_aviation 
18  36.85888021 -006.13782403 1 Airport Beacon
51 12332 Trebujena Radio
99
