I
1050 Generated by WorldEditor 2.3.0r2

1   1330 0 0 CDJ4 Clearwater
100 18.29 1 0 0.25 0 0 0 14  46.71569220 -066.83550871    0    0 1 0 0 0 32  46.71095609 -066.82119496    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 15
111  46.71395013 -066.83000303
112  46.71395013 -066.83000303  46.71398190 -066.83001501
111  46.71401213 -066.82995264
111  46.71411690 -066.82945698
112  46.71411755 -066.82939911  46.71411184 -066.82937900
111  46.71411755 -066.82939911
111  46.71386793 -066.82874114
111  46.71368478 -066.82887574
112  46.71368478 -066.82887574  46.71365684 -066.82890690
111  46.71362562 -066.82902829
111  46.71349641 -066.82863277
112  46.71363748 -066.82863758  46.71366278 -066.82862608
111  46.71363748 -066.82863758
111  46.71394016 -066.82842934
111  46.71423161 -066.82922544
111  46.71426198 -066.82923867
111  46.71430198 -066.82935638
113  46.71409022 -066.83042323
110 1 0.00 0.0000 New Taxiway 14
111  46.71555898 -066.83485765
111  46.71571634 -066.83493473
111  46.71586728 -066.83539103
111  46.71551857 -066.83563358
111  46.71536771 -066.83518107
113  46.71541964 -066.83494858
110 1 0.00 0.0000 New Taxiway 13
111  46.71106545 -066.82179429
111  46.71085901 -066.82157374
111  46.71076594 -066.82127867
111  46.71112028 -066.82103124
111  46.71124222 -066.82139745
113  46.71120146 -066.82169031
130 Airport Boundary 16
111  46.71521197 -066.83524226
111  46.71120251 -066.82301109
111  46.71071900 -066.82231021
111  46.71078054 -066.82179739
111  46.71014464 -066.81984010
111  46.71069263 -066.81945548
111  46.71340480 -066.82763061
111  46.71368074 -066.82790129
111  46.71412274 -066.82807935
111  46.71485045 -066.82904809
111  46.71510686 -066.82901960
111  46.71504337 -066.82973547
111  46.71488464 -066.82967849
111  46.71468684 -066.82985656
111  46.71465754 -066.83027683
111  46.71436938 -066.83004533
111  46.71424973 -066.83032313
111  46.71560014 -066.83423375
111  46.71599086 -066.83492827
111  46.71623994 -066.83614635
111  46.71661357 -066.83764936
113  46.71600551 -066.83809813
1300  46.71415276 -066.82924836 118.95 tie_down turboprops|props Apron
1301 B general_aviation 
19  46.71420208 -066.82874978 1 New Windsock 9
51 12320 Clearwater Traffic
99
