A
1000 Generated by WorldEditor

1    620 1 0 KMDW Chicago Midway Intl
100 45.72 2 1 0.25 0 2 1 13C  41.79157299 -087.76106684  141   58 3 0 0 0 31C  41.77923901 -087.74373916  212   56 3 0 0 1
100 45.72 1 1 0.25 1 2 1 04R  41.77916142 -087.75931748  158   58 3 0 0 1 22L  41.79199658 -087.74305652  193   61 3 0 0 1
100 45.72 1 0 0.25 0 2 1 04L  41.78136769 -087.76119183  231    0 3 0 0 0 22R  41.79233631 -087.74730017  268    0 3 0 0 0
100 45.72 1 2 0.25 0 2 1 13L  41.79231722 -087.75793898  229    0 3 0 0 0 31R  41.78259678 -087.74427302    0    0 3 0 0 0
100 18.29 2 2 0.25 0 2 1 13R  41.78806892 -087.75880278    0  101 3 0 0 0 31L  41.78077308 -087.74855322    0   29 3 0 0 0
110 1 0.20 90.0000 Cicero & 63rd
111  41.77854478 -087.73989725
111  41.77851226 -087.74203393
111  41.77857430 -087.74211120
111  41.78019397 -087.74220042
111  41.78018805 -087.74248827
111  41.77859798 -087.74242082
111  41.77850487 -087.74249612
111  41.77845905 -087.74443457
111  41.77833198 -087.74443457
111  41.77836154 -087.74252389
111  41.77828025 -087.74238312
111  41.77684831 -087.74233362
111  41.77685125 -087.74209736
111  41.77828770 -087.74212706
111  41.77837336 -087.74200613
113  41.77839701 -087.73988139
110 1 0.20 90.0000 Central & 63rd
111  41.77818625 -087.75934967
111  41.77815373 -087.76148636
111  41.77821578 -087.76156363
111  41.77983544 -087.76165285
111  41.77982953 -087.76183520
111  41.77823945 -087.76176775
111  41.77814635 -087.76184305
111  41.77810053 -087.76378150
111  41.77797346 -087.76378150
111  41.77800301 -087.76187082
111  41.77792173 -087.76173005
111  41.77648978 -087.76168054
111  41.77649272 -087.76154978
111  41.77792917 -087.76157949
111  41.77801483 -087.76145856
113  41.77803848 -087.75933382
110 1 0.20 90.0000 Central & 55th
111  41.79285050 -087.75995916
111  41.79282686 -087.76206011
111  41.79289779 -087.76215525
111  41.79449968 -087.76222660
111  41.79449377 -087.76240895
111  41.79290370 -087.76237724
111  41.79281503 -087.76246445
111  41.79277366 -087.76439098
111  41.79263770 -087.76439098
111  41.79266726 -087.76248030
111  41.79259041 -087.76236931
111  41.79115403 -087.76229003
111  41.79116585 -087.76212354
111  41.79256677 -087.76217111
111  41.79267908 -087.76206804
113  41.79270272 -087.75994330
110 15 0.00 90.0000 outline
111  41.79010795 -087.74234057 1
111  41.78997057 -087.74235044 1
111  41.78978632 -087.74216227 1
111  41.78996182 -087.74195423 1
113  41.79010450 -087.74195091
110 15 0.00 90.0000 outline
111  41.78985885 -087.74275076 1
111  41.78974684 -087.74264362 1
111  41.78969023 -087.74234243 1
111  41.78992415 -087.74232650 1
113  41.79003726 -087.74244319
110 15 0.00 90.0000 outline
111  41.78932934 -087.74260543 1
111  41.78926674 -087.74244112 1
111  41.78931997 -087.74213883 1
111  41.78953305 -087.74226924 1
113  41.78959335 -087.74244271
110 15 0.00 90.0000 outline
111  41.78887647 -087.74283066 1
111  41.78874264 -087.74281362 1
111  41.78857220 -087.74259358 1
111  41.78876132 -087.74240827 1
113  41.78890362 -087.74242271
110 15 0.00 90.0000 outline
111  41.78888336 -087.74330520 1
111  41.78874592 -087.74331332 1
111  41.78856301 -087.74312282 1
111  41.78873996 -087.74291702 1
113  41.78888266 -087.74291551
110 15 0.00 90.0000 outline
111  41.78887543 -087.74380751 1
111  41.78873793 -087.74380113 1
111  41.78856674 -087.74359195 1
111  41.78875520 -087.74340543 1
113  41.78889755 -087.74341896
110 15 0.00 90.0000 outline
111  41.78864910 -087.74422490 1
111  41.78853786 -087.74411633 1
111  41.78848339 -087.74381444 1
111  41.78871741 -087.74380148 1
113  41.78882969 -087.74391961
110 15 0.00 90.0000 outline
111  41.78835388 -087.74449959 1
111  41.78826656 -087.74435701 1
111  41.78827041 -087.74404645 1
111  41.78849935 -087.74411280 1
113  41.78858588 -087.74426499
110 15 0.00 90.0000 outline
111  41.78806447 -087.74484839 1
111  41.78796282 -087.74472405 1
111  41.78793347 -087.74441595 1
111  41.78816713 -087.74443764 1
113  41.78826902 -087.74457164
110 15 0.00 90.0000 outline
111  41.78779868 -087.74519283 1
111  41.78769703 -087.74506849 1
111  41.78766768 -087.74476039 1
111  41.78790134 -087.74478208 1
113  41.78800323 -087.74491608
110 15 0.00 90.0000 outline
111  41.78752692 -087.74551724 1
111  41.78742527 -087.74539290 1
111  41.78739592 -087.74508480 1
111  41.78762958 -087.74510649 1
113  41.78773147 -087.74524049
110 15 0.00 90.0000 outline
111  41.78729335 -087.74586657 1
111  41.78719169 -087.74574223 1
111  41.78716234 -087.74543413 1
111  41.78739601 -087.74545582 1
113  41.78749790 -087.74558982
110 15 0.00 90.0000 outline
111  41.78702756 -087.74621101 1
111  41.78692591 -087.74608667 1
111  41.78689656 -087.74577858 1
111  41.78713022 -087.74580026 1
113  41.78723211 -087.74593426
110 15 0.00 90.0000 outline
111  41.78675580 -087.74653542 1
111  41.78665415 -087.74641108 1
111  41.78662480 -087.74610299 1
111  41.78685846 -087.74612467 1
113  41.78696035 -087.74625867
110 15 0.00 90.0000 outline
111  41.78606337 -087.74655618 1
111  41.78610206 -087.74637911 1
111  41.78629559 -087.74620850 1
111  41.78638362 -087.74649960 1
113  41.78633857 -087.74668120
110 15 0.00 90.0000 outline
111  41.78757865 -087.74354001 1
111  41.78767643 -087.74366980 1
111  41.78769640 -087.74397924 1
111  41.78746359 -087.74394480 1
113  41.78736585 -087.74380535
110 15 0.00 90.0000 outline
111  41.78777561 -087.74319017 1
111  41.78790525 -087.74325192 1
111  41.78802137 -087.74352065 1
111  41.78779972 -087.74362217 1
113  41.78766706 -087.74355164
110 15 0.00 90.0000 outline
111  41.78793211 -087.74274883 1
111  41.78806484 -087.74279739 1
111  41.78819564 -087.74305371 1
111  41.78798027 -087.74317719 1
113  41.78784405 -087.74312018
110 15 0.00 90.0000 outline
111  41.78743248 -087.74258413 1
111  41.78733928 -087.74244840 1
111  41.78733001 -087.74213805 1
111  41.78756138 -087.74218692 1
113  41.78765420 -087.74233229
110 15 0.00 90.0000 outline
111  41.78701468 -087.74261807 1
111  41.78700849 -087.74243374 1
111  41.78715034 -087.74218822 1
111  41.78730396 -087.74242535 1
113  41.78730523 -087.74261673
110 15 0.00 90.0000 outline
111  41.78662432 -087.74265391 1
111  41.78658633 -087.74247656 1
111  41.78668172 -087.74219353 1
111  41.78687225 -087.74237624 1
113  41.78690667 -087.74256198
110 15 0.00 90.0000 outline
111  41.78625193 -087.74284254 1
111  41.78617037 -087.74269394 1
111  41.78618650 -087.74238410 1
111  41.78641249 -087.74246664 1
113  41.78649288 -087.74262477
110 15 0.00 90.0000 outline
111  41.78596801 -087.74320973 1
111  41.78586953 -087.74308088 1
111  41.78584791 -087.74277164 1
111  41.78608090 -087.74280385 1
113  41.78617938 -087.74294237
110 15 0.00 90.0000 outline
111  41.78568698 -087.74356729 1
111  41.78558850 -087.74343844 1
111  41.78556688 -087.74312920 1
111  41.78579987 -087.74316141 1
113  41.78589835 -087.74329993
110 15 0.00 90.0000 outline
111  41.78429699 -087.74322141 1
111  41.78443374 -087.74320111 1
111  41.78462567 -087.74337494 1
111  41.78445926 -087.74359599 1
113  41.78431694 -087.74361016
110 15 0.00 90.0000 outline
111  41.78418878 -087.74379080 1
111  41.78430399 -087.74368993 1
111  41.78453375 -087.74372892 1
111  41.78445961 -087.74402689 1
113  41.78433737 -087.74412566
110 15 0.00 90.0000 outline
111  41.78439315 -087.74433101 1
111  41.78443539 -087.74415541 1
111  41.78463229 -087.74399188 1
111  41.78471442 -087.74428606 1
113  41.78466572 -087.74446596
110 15 0.00 90.0000 outline
111  41.78476943 -087.74456214 1
111  41.78473340 -087.74438407 1
111  41.78483191 -087.74410296 1
111  41.78502040 -087.74428944 1
113  41.78505277 -087.74447584
110 15 0.00 90.0000 outline
111  41.78509358 -087.74429633 1
111  41.78499510 -087.74416748 1
111  41.78497348 -087.74385824 1
111  41.78520647 -087.74389045 1
113  41.78530495 -087.74402896
110 15 0.00 90.0000 outline
111  41.78539875 -087.74393774 1
111  41.78530026 -087.74380889 1
111  41.78527865 -087.74349965 1
111  41.78551164 -087.74353186 1
113  41.78561012 -087.74367037
110 15 0.00 90.0000 outline
111  41.78727419 -087.74386849 1
111  41.78738873 -087.74397069 1
111  41.78745262 -087.74426924 1
111  41.78721921 -087.74429537 1
113  41.78710333 -087.74418368
110 15 0.00 90.0000 outline
111  41.78698551 -087.74414578 1
111  41.78707971 -087.74428025 1
111  41.78709128 -087.74459046 1
111  41.78685956 -087.74454470 1
113  41.78676567 -087.74440057
110 15 0.00 90.0000 outline
111  41.78672868 -087.74450005 1
111  41.78682788 -087.74462790 1
111  41.78685124 -087.74493692 1
111  41.78661808 -087.74490707 1
113  41.78651882 -087.74476956
110 15 0.00 90.0000 outline
111  41.78645654 -087.74480479 1
111  41.78655574 -087.74493264 1
111  41.78657910 -087.74524165 1
111  41.78634593 -087.74521181 1
113  41.78624668 -087.74507430
110 15 0.00 90.0000 outline
111  41.78610148 -087.74512757 1
111  41.78623524 -087.74517076 1
111  41.78637173 -087.74542168 1
111  41.78615923 -087.74555380 1
113  41.78602179 -087.74550230
110 2 0.25 43.0000 Taxiway G/Y
111  41.78546100 -087.75096309 51 102
112  41.78544533 -087.75050092  41.78536179 -087.75038188
111  41.78544533 -087.75050092
112  41.78544533 -087.75050092  41.78539834 -087.75043089 51 102
112  41.78513204 -087.75010177  41.78507982 -087.75004575
111  41.78513204 -087.75010177
112  41.78513204 -087.75010177  41.78505371 -087.75001774 51 102
111  41.78493884 -087.75010177 51 102
112  41.78462032 -087.75047991  41.78456810 -087.75054994
111  41.78462032 -087.75047991
112  41.78462032 -087.75047991  41.78455766 -087.75056394 51 102
111  41.78460140 -087.75087753
111  41.78422108 -087.75034126 51 102
112  41.78450544 -087.75033286  41.78458899 -087.75022082
111  41.78450544 -087.75033286
112  41.78450544 -087.75033286  41.78455766 -087.75026983 51 102
112  41.78546622 -087.74913542  41.78550277 -087.74908640
111  41.78546622 -087.74913542
112  41.78546622 -087.74913542  41.78551844 -087.74903038 51 102
111  41.78544011 -087.74867325
111  41.78591006 -087.74931749 51 102
112  41.78560720 -087.74933850  41.78553410 -087.74941552
111  41.78560720 -087.74933850
112  41.78560720 -087.74933850  41.78556021 -087.74938751 51 102
111  41.78541400 -087.74961160 51 102
112  41.78539312 -087.75000374  41.78547144 -087.75014379
111  41.78539312 -087.75000374
112  41.78539312 -087.75000374  41.78542967 -087.75005976 51 102
112  41.78556543 -087.75029785  41.78560720 -087.75033286
111  41.78556543 -087.75029785
112  41.78556543 -087.75029785  41.78571686 -087.75044490 51 102
113  41.78595705 -087.75033986
110 2 0.25 0.0000 Taxiway P south
111  41.78176231 -087.74979742 51 102
112  41.78190527 -087.74968465  41.78190527 -087.74953214
111  41.78190527 -087.74968465
112  41.78190527 -087.74968465  41.78190527 -087.74955756 51 102
111  41.78191368 -087.74890655 51 102
111  41.78188004 -087.74844421 51 102
112  41.78151003 -087.74788037  41.78126362 -087.74783801
111  41.78151003 -087.74788037
112  41.78151003 -087.74788037  41.78144684 -087.74787190 51 102
111  41.78084568 -087.74780143 51 102
111  41.77976085 -087.74771122
111  41.77968517 -087.74777888
111  41.77950016 -087.74822995 51 102
111  41.77949175 -087.74839910
111  41.77938243 -087.74838782 51 102
111  41.77939925 -087.74694440 51 102
112  41.77929833 -087.74662865  41.77921630 -087.74655213
111  41.77929833 -087.74662865
112  41.77929833 -087.74662865  41.77926267 -087.74659039 51 102
112  41.77904605 -087.74627907  41.77900325 -087.74622646
111  41.77904605 -087.74627907
112  41.77904605 -087.74627907  41.77887140 -087.74600668 51 102
111  41.77887786 -087.74569268 51 102
112  41.77888627 -087.74465522  41.77888627 -087.74459305
111  41.77888627 -087.74465522
112  41.77888627 -087.74465522  41.77888627 -087.74429175 51 102
111  41.77909624 -087.74392531
111  41.77947722 -087.74446352 51 102
112  41.77921424 -087.74444096  41.77911438 -087.74448879 51 102
111  41.77903764 -087.74473416 51 102
111  41.77902082 -087.74559119 51 102
112  41.77913014 -087.74608737  41.77924427 -087.74625476
111  41.77913014 -087.74608737
112  41.77913014 -087.74608737  41.77920147 -087.74620693 51 102
112  41.77934879 -087.74642567  41.77938445 -087.74646871
111  41.77934879 -087.74642567
112  41.77934879 -087.74642567  41.77950928 -087.74662653 51 102
111  41.77952539 -087.74693312 51 102
111  41.77951570 -087.74733737 51 102
112  41.77964312 -087.74750824  41.77972872 -087.74751302
111  41.77964312 -087.74750824
112  41.77964312 -087.74750824  41.77968235 -087.74750824 51 102
111  41.78111478 -087.74753079 51 102
112  41.78130820 -087.74739547  41.78138054 -087.74725533
111  41.78130820 -087.74739547
112  41.78130820 -087.74739547  41.78136447 -087.74729486 51 102
111  41.78133343 -087.74706813
111  41.78250009 -087.74869756 51 102
112  41.78226688 -087.74869229  41.78216579 -087.74876007 51 102
111  41.78212392 -087.74896294 51 102
112  41.78209028 -087.75016955  41.78209028 -087.75020464
111  41.78209028 -087.75016955
112  41.78209028 -087.75016955  41.78209028 -087.75021004 51 102
113  41.78212392 -087.75030535
110 2 0.25 89.0000 New Taxiway 7
111  41.78875649 -087.74750553 51 102
112  41.78888096 -087.74779767  41.78906144 -087.74778932
111  41.78888096 -087.74779767
112  41.78888096 -087.74779767  41.78899298 -087.74778932 51 102
111  41.79101559 -087.74776431 51 102
112  41.79122011 -087.74749088  41.79122011 -087.74729056
111  41.79122011 -087.74749088
112  41.79122011 -087.74749088  41.79122011 -087.74737402 51 102
111  41.79125209 -087.74637039 51 102
111  41.79120230 -087.74623684 51 102
112  41.79067953 -087.74536042  41.79062352 -087.74530199
111  41.79067953 -087.74536042
112  41.79067953 -087.74536042  41.79061107 -087.74529364 51 102
111  41.79050527 -087.74531868
111  41.79081022 -087.74490969 51 102
112  41.79081645 -087.74516009  41.79087246 -087.74521852
111  41.79081645 -087.74516009
112  41.79081645 -087.74516009  41.79084756 -087.74519348 51 102
111  41.79097825 -087.74536876 51 102
112  41.79117740 -087.74546058  41.79131432 -087.74541050 51 102
111  41.79133669 -087.74523296 51 102
112  41.79132677 -087.74465093  41.79132196 -087.74459288
111  41.79132677 -087.74465093
112  41.79132677 -087.74465093  41.79132196 -087.74444452 51 102
111  41.79106538 -087.74459251
111  41.79212959 -087.74324866 51 102
111  41.79240964 -087.74362427 51 102
112  41.79259012 -087.74409170  41.79258390 -087.74424194
111  41.79259012 -087.74409170
112  41.79259012 -087.74409170  41.79258390 -087.74418351 51 102
111  41.79255901 -087.74537711 51 102
112  41.79239097 -087.74575272  41.79222916 -087.74595304
111  41.79239097 -087.74575272
112  41.79239097 -087.74575272  41.79232252 -087.74584453 51 102
111  41.79198023 -087.74630361 51 102
111  41.79196156 -087.74673765 51 102
111  41.79220427 -087.74711325
111  41.79191799 -087.74745547 51 102
112  41.79187443 -087.74704647  41.79164416 -087.74697135
111  41.79187443 -087.74704647
112  41.79187443 -087.74704647  41.79173129 -087.74700474 51 102
111  41.79169395 -087.74717166 51 102
111  41.79170017 -087.74763908 51 102
111  41.79173129 -087.74769751
111  41.79104049 -087.74856556 51 102
112  41.79086001 -087.74813153  41.79061107 -087.74813988
111  41.79086001 -087.74813153
112  41.79086001 -087.74813153  41.79079778 -087.74813153 51 102
112  41.78850755 -087.74803972  41.78845777 -087.74803972
111  41.78850755 -087.74803972
112  41.78850755 -087.74803972  41.78843287 -087.74803972 51 102
113  41.78831463 -087.74808145
112  41.79174374 -087.74520184  41.79192422 -087.74505995
111  41.79174374 -087.74520184
112  41.79174374 -087.74520184  41.79182464 -087.74511838 51 102
111  41.79229762 -087.74432543 51 102
112  41.79208603 -087.74377454  41.79179975 -087.74365768
111  41.79208603 -087.74377454
112  41.79208603 -087.74377454  41.79183086 -087.74366603 51 102
111  41.79173129 -087.74383296 51 102
112  41.79158815 -087.74413345  41.79156948 -087.74425865
111  41.79158815 -087.74413345
112  41.79158815 -087.74413345  41.79157570 -087.74421692 51 102
113  41.79154459 -087.74496813 51 102
110 2 0.25 89.0000 New Taxiway 5
111  41.79070737 -087.75529178 53 102
112  41.79109918 -087.75513292  41.79116849 -087.75478968
111  41.79109918 -087.75513292
112  41.79109918 -087.75513292  41.79110984 -087.75507571 53 102
112  41.79117207 -087.75444858  41.79117207 -087.75442380
111  41.79117207 -087.75444858
112  41.79117207 -087.75444858  41.79117471 -087.75436008 53 102
111  41.79110829 -087.75425305 53 102
111  41.79018283 -087.75299251 53 102
112  41.78997489 -087.75240667  41.78996992 -087.75207311
111  41.78997489 -087.75240667
112  41.78997489 -087.75240667  41.78996992 -087.75209979 53 102
111  41.79018471 -087.75182563 53 102
112  41.79115026 -087.75061247  41.79119702 -087.75056686
111  41.79115026 -087.75061247
112  41.79115026 -087.75061247  41.79120977 -087.75055546 53 102
