A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       52 1 0 EDHF Hungriger Wolf
100   29.87   2   0 0.00 0 1 0 03   53.99248645  009.57679250    0.00    0.00 0  0 0 0 21   53.99651355  009.58020799    0.00    0.00 2  0 0 0
100   29.87   3   0 0.00 0 1 0 02   53.98801341  009.57300352    0.00    0.00 0  0 0 0 20   53.99204018  009.57641886    0.00    0.00 0  0 0 0
100   29.87   3   0 0.00 0 1 1 09   53.99127735  009.56725849    0.00    0.00 0  0 0 0 27   53.99122175  009.57809557    0.00    0.00 0  0 0 0
102 H    53.99319287  009.57526506  25.99   49.99   49.99   2 0   0 0.00 1
110   2 0.00  23.50 Apron W
111  53.99472174  009.56878050 
111  53.99509034  009.56871075 
111  53.99523407  009.56816824 
111  53.99527300  009.56817588 
111  53.99540327  009.56763847 
111  53.99534106  009.56759116 
112  53.99534106  009.56759116  53.99527947  009.56754579 
112  53.99539578  009.56737613  53.99547706  009.56743230 
111  53.99539578  009.56737613 
111  53.99476456  009.56691690 
112  53.99476456  009.56691690  53.99483759  009.56697307 
112  53.99471002  009.56714690  53.99462684  009.56708425 
111  53.99471002  009.56714690 
111  53.99465013  009.56710360 
111  53.99451388  009.56762064 
111  53.99453484  009.56763847 
111  53.99438811  009.56818862 
113  53.99462891  009.56871208 
110   2 0.00  12.00 Main Apron S
111  53.98953966  009.57855671 
111  53.98857240  009.57821079 
111  53.98861378  009.57707173 
112  53.98861378  009.57707173  53.98862861  009.57679357 
111  53.98880017  009.57683826 
111  53.98831107  009.57643488 
112  53.98835883  009.57666738  53.98835303  009.57680220 
111  53.98835883  009.57666738 
111  53.98834072  009.57706236 
111  53.98784167  009.57702595 
112  53.98784167  009.57702595  53.98780114  009.57702376 
111  53.98778321  009.57690905 
111  53.98777257  009.57722441 
112  53.98784167  009.57711279  53.98790278  009.57710732 
111  53.98784167  009.57711279 
111  53.98793061  009.57712119 
111  53.98792515  009.57729980 
111  53.98829789  009.57732568 
111  53.98826520  009.57865626 
111  53.98799202  009.57863985 
111  53.98799508  009.57854260 
111  53.98790119  009.57854141 
112  53.98783179  009.57871508  53.98776868  009.57871668 
111  53.98783179  009.57871508 
111  53.98778567  009.57871508 
112  53.98778567  009.57871508  53.98776401  009.57872630 
111  53.98772578  009.57860303 
111  53.98771095  009.57902423 
112  53.98775932  009.57891677  53.98778663  009.57891677 
111  53.98775932  009.57891677 
111  53.98825555  009.57896277 
111  53.98824826  009.57923892 
111  53.98836213  009.57925011 
111  53.98834730  009.57942659 
112  53.98834730  009.57942659  53.98833627  009.57954386 
111  53.98825178  009.57955264 
111  53.98848071  009.57963668 
112  53.98848071  009.57963668  53.98843245  009.57961323 
112  53.98839645  009.57949056  53.98840334  009.57943193 
111  53.98839645  009.57949056 
111  53.98840660  009.57940978 
112  53.98840660  009.57940978  53.98842177  009.57932300 
111  53.98850542  009.57933415 
111  53.98860259  009.57869827 
111  53.98929928  009.57896720 
111  53.98921858  009.57960884 
111  53.98927965  009.57963022 
112  53.98927965  009.57963022  53.98933729  009.57965086 
112  53.98920679  009.57990585  53.98906415  009.57986247 
111  53.98920679  009.57990585 
111  53.98945739  009.58000087 
112  53.98945739  009.58000087  53.98941644  009.57998024 
112  53.98937340  009.57985241  53.98937946  009.57976469 
111  53.98937340  009.57985241 
111  53.98949327  009.57890886 
112  53.98951941  009.57901946  53.98950440  009.57913014 
111  53.98951941  009.57901946 
111  53.98951118  009.57908753 
111  53.98971983  009.57916439 
111  53.98976896  009.57877952 
