I
1050 Generated by WorldEditor 2.1.0r1

1   4497 1 0 KPVU Provo Muni
100 45.72 1 0 0.00 0 3 0 13  40.23021260 -111.73244440    0    0 3 0 0 1 31  40.21068630 -111.71513070    0    0 2 0 0 0
100 45.72 1 0 0.00 0 2 0 18  40.22643220 -111.72038530    0    0 2 0 0 0 36  40.20862380 -111.72522480    0    0 2 0 0 0
110 2 0.00 0.0000 H32
111  40.21805791 -111.71747045
111  40.21781085 -111.71791476
111  40.21788266 -111.71798026
111  40.21787713 -111.71799202
111  40.21787445 -111.71799773
111  40.21782806 -111.71795418
111  40.21782334 -111.71796090
111  40.21779008 -111.71793026
111  40.21779480 -111.71792246
111  40.21746857 -111.71763315
111  40.21747637 -111.71761998
111  40.21742587 -111.71757159
113  40.21766145 -111.71712269
110 2 0.00 0.0000 H31
111  40.21720015 -111.71749957
111  40.21695571 -111.71728604
111  40.21689964 -111.71723705
111  40.21705610 -111.71694040
111  40.21732904 -111.71718629
111  40.21722094 -111.71739089
113  40.21724454 -111.71741369
110 2 0.00 0.0000 H30
111  40.22021222 -111.71841425
111  40.22018409 -111.71823144
111  40.22032563 -111.71819627
113  40.22035380 -111.71837773
110 2 0.00 0.0000 H29
111  40.22031517 -111.71812892
111  40.22017673 -111.71816568
111  40.22014832 -111.71798520
113  40.22028694 -111.71794714
110 2 0.00 0.0000 H28
111  40.22013039 -111.71786062
111  40.22010213 -111.71768489
111  40.22024063 -111.71764891
113  40.22026869 -111.71782964
110 2 0.00 0.0000 H27
111  40.22020770 -111.71743683
111  40.22023574 -111.71761744
111  40.22009812 -111.71765444
111  40.22006875 -111.71747605
113  40.22008737 -111.71747080
110 2 0.00 0.0000 H26
111  40.22036346 -111.71723852
111  40.22016130 -111.71726561
111  40.22014399 -111.71705826
111  40.22042035 -111.71702516
113  40.22043422 -111.71722973
110 2 0.00 0.0000 H25
111  40.22037778 -111.71738695
111  40.22038385 -111.71738560
111  40.22048703 -111.71736252
111  40.22051824 -111.71757811
111  40.22041769 -111.71760190
113  40.22040854 -111.71760406
110 2 0.00 0.0000 H24
111  40.22042371 -111.71763753
111  40.22045895 -111.71762925
111  40.22046587 -111.71767254
111  40.22050598 -111.71766141
111  40.22051460 -111.71772044
111  40.22047489 -111.71773190
111  40.22048181 -111.71777536
113  40.22044606 -111.71778618
110 2 0.00 0.0000 H23
111  40.22045132 -111.71782114
111  40.22049161 -111.71780822
111  40.22049838 -111.71785493
111  40.22053744 -111.71784340
111  40.22054443 -111.71789455
111  40.22050741 -111.71790785
111  40.22051441 -111.71795042
113  40.22047280 -111.71796395
110 2 0.00 0.0000 H22
111  40.22049237 -111.71799400
111  40.22058360 -111.71796862
111  40.22060560 -111.71812004
113  40.22051818 -111.71814204
110 2 0.00 0.0000 H21
111  40.22052361 -111.71817319
111  40.22057031 -111.71816171
111  40.22057714 -111.71820641
111  40.22061615 -111.71819790
111  40.22062363 -111.71825324
111  40.22058559 -111.71826389
111  40.22059209 -111.71831072
113  40.22054975 -111.71832314
110 2 0.00 0.0000 H20
111  40.22055448 -111.71835028
111  40.22060091 -111.71833824
111  40.22060272 -111.71835154
111  40.22064629 -111.71834208
111  40.22065780 -111.71842634
111  40.22061491 -111.71843846
111  40.22062101 -111.71848222
113  40.22057947 -111.71849365
110 2 0.00 0.0000 H19
111  40.22055475 -111.71850470
111  40.22058023 -111.71849802
111  40.22065064 -111.71847958
111  40.22076630 -111.71922139
113  40.22067334 -111.71924608
110 2 0.00 0.0000 H18
111  40.22100931 -111.71803697
111  40.22097226 -111.71804591
111  40.22079248 -111.71808929
111  40.22074814 -111.71784192
113  40.22097016 -111.71778268
110 2 0.00 0.0000 H17
111  40.22105329 -111.71881067
111  40.22107459 -111.71893404
111  40.22109175 -111.71892901
111  40.22110010 -111.71897306
111  40.22110552 -111.71897277
111  40.22110900 -111.71899676
111  40.22108666 -111.71900176
111  40.22110292 -111.71910843
111  40.22090265 -111.71916392
