I
1050 Generated by WorldEditor 2.3.0r2

1    400 0 0 CCF3 Hopewell
100 24.38 3 0 0.00 0 0 0 04  45.47106407 -062.71753586    0    0 0 0 0 0 22  45.47692371 -062.71582479    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 48
111  45.47108620 -062.71768901
112  45.47095872 -062.71755858  45.47094485 -062.71743108
113  45.47104254 -062.71738275
110 2 0.00 0.0000 New Taxiway 46
111  45.47619813 -062.71563138
111  45.47605642 -062.71565108
111  45.47604230 -062.71545037
113  45.47618400 -062.71543066
110 3 0.00 0.0000 New Taxiway 45
111  45.47594334 -062.71596206
111  45.47590733 -062.71571695
111  45.47598370 -062.71541935
112  45.47625542 -062.71531171  45.47639839 -062.71539403
111  45.47653669 -062.71521137
111  45.47668393 -062.71521156
111  45.47672537 -062.71538252
112  45.47672537 -062.71538252  45.47674284 -062.71543382
111  45.47679789 -062.71544056
111  45.47689409 -062.71543529
111  45.47695699 -062.71600621
111  45.47677643 -062.71608009
113  45.47664767 -062.71606637
130 Airport Boundary 47
111  45.47067012 -062.71976334
111  45.47073427 -062.71877681
111  45.47090379 -062.71858081
111  45.47082132 -062.71666654
111  45.47165088 -062.71663651
111  45.47171197 -062.71633705
111  45.47218543 -062.71614104
111  45.47210143 -062.71543868
111  45.47708937 -062.71457128
111  45.47728731 -062.71633257
111  45.47506787 -062.71914864
111  45.47276320 -062.71958634
111  45.47185385 -062.72038368
113  45.47094967 -062.72084874
1300  45.47612503 -062.71562788 -84.41 hangar props Hangar
1301 A none 
19  45.47295038 -062.71725962 1 New Windsock 28
51 12320 Hopewell Traffic
99
