I
1050 Generated by WorldEditor 2.1.0r1

1   2992 0 0 LQGL Glamoč
1302 city Glamoč
1302 country Bosnia Herzegovina
1302 datum_lat 44.083894
1302 datum_lon 16.813588
1302 icao_code LQGL
1302 region_code LQ
1302 transition_alt 10000
100 50.00 3 0 0.00 0 0 0 15  44.09307655  016.80864844    0    0 0 0 0 0 33  44.07833654  016.81801374    0    0 0 0 0 0
110 1 0.00 153.0000 New Taxiway 68
111  44.09292334  016.80821294
112  44.09309140  016.80828690  44.09315597  016.80840323
111  44.09309140  016.80828690
111  44.09339096  016.80885317
111  44.09399845  016.81000154
112  44.09399845  016.81000154  44.09406679  016.81014692
111  44.09399649  016.81026333
111  44.09394582  016.81032082
111  44.09404725  016.81050128
111  44.09557764  016.80890757
111  44.09560128  016.80888295
111  44.09563762  016.80884511
112  44.09563762  016.80884511  44.09567122  016.80881131
111  44.09562992  016.80871981
111  44.09548911  016.80845946
112  44.09548462  016.80829290  44.09549969  016.80820370
111  44.09548462  016.80829290
111  44.09550873  016.80811738
111  44.09521834  016.80757937
111  44.09512273  016.80757893
112  44.09512273  016.80757893  44.09504362  016.80757369
111  44.09497117  016.80748994
111  44.09479005  016.80713690
112  44.09479005  016.80713690  44.09473866  016.80702295
111  44.09482052  016.80694609
111  44.09673093  016.80576353
112  44.09673152  016.80572546  44.09669956  016.80574277
111  44.09673152  016.80572546
112  44.09673152  016.80572546  44.09669625  016.80574455
111  44.09671136  016.80568673
111  44.09479263  016.80687907
112  44.09460091  016.80678925  44.09452311  016.80665450
111  44.09460091  016.80678925
111  44.09431257  016.80625747
111  44.09428698  016.80621007
111  44.09329183  016.80434225
112  44.09329183  016.80434225  44.09322255  016.80420833
111  44.09329184  016.80396775
111  44.09388771  016.80194381
112  44.09388771  016.80194381  44.09410227  016.80119273
111  44.09390286  016.80055247
111  44.09363350  016.79973866
111  44.09365913  016.79968754
111  44.09369132  016.79969137
111  44.09380100  016.79962389
112  44.09380100  016.79962389  44.09386720  016.79958219
112  44.09375585  016.79948272  44.09368964  016.79952442
111  44.09375585  016.79948272
111  44.09365541  016.79954451
111  44.09356849  016.79954224
111  44.09270181  016.79692378
111  44.09272126  016.79687707
111  44.09283160  016.79680683
112  44.09283160  016.79680683  44.09289150  016.79676294
112  44.09279154  016.79668582  44.09274110  016.79672093
111  44.09279154  016.79668582
111  44.09268120  016.79675605
111  44.09264155  016.79674174
111  44.09226656  016.79560877
112  44.09227604  016.79535833  44.09230592  016.79519190
111  44.09227604  016.79535833
112  44.09227604  016.79535833  44.09230607  016.79519107
112  44.09207817  016.79504057  44.09192556  016.79510353
111  44.09207817  016.79504057
112  44.09207817  016.79504057  44.09192560  016.79510351
112  44.09207387  016.79547844  44.09221179  016.79558323
111  44.09207387  016.79547844
112  44.09207387  016.79547844  44.09221105  016.79558266
111  44.09222987  016.79564518
111  44.09224157  016.79568278
111  44.09222060  016.79572896
111  44.09209922  016.79581894
112  44.09209922  016.79581894  44.09203302  016.79586503
112  44.09215373  016.79596454  44.09221205  016.79592284
111  44.09215373  016.79596454
111  44.09229924  016.79585516
111  44.09297345  016.79789588
111  44.09293991  016.79795650
111  44.09283903  016.79802893
112  44.09283903  016.79802893  44.09278070  016.79807283
112  44.09288340  016.79816325  44.09294646  016.79812375
111  44.09288340  016.79816325
111  44.09298429  016.79809082
111  44.09304041  016.79809859
111  44.09330629  016.79890334
111  44.09323235  016.79915409
111  44.09138379  016.80108997
112  44.09138379  016.80108997  44.09077733  016.80183922
112  44.09240043  016.80426711  44.09382331  016.80427395
111  44.09240043  016.80426711
111  44.09303120  016.80426485
112  44.09327292  016.80443863  44.09336456  016.80463441
111  44.09327292  016.80443863
111  44.09419317  016.80618538
111  44.09427295  016.80633550
111  44.09452765  016.80681332
112  44.09452765  016.80681332  44.09458476  016.80695027
111  44.09445803  016.80701865
111  44.07791299  016.81724511
112  44.07791299  016.81724511  44.07784566  016.81728652
112  44.07776962  016.81738988  44.07768570  016.81744718
111  44.07776962  016.81738988
112  44.07614202  016.81835579  44.07536067  016.81874233
111  44.07418595  016.81916113
112  44.07405212  016.81904910  44.07400963  016.81891716
111  44.07405212  016.81904910
111  44.07394467  016.81872460
112  44.07390822  016.81873578  44.07392129  016.81878582
111  44.07388317  016.81874345
111  44.07398778  016.81904722
112  44.07398778  016.81904722  44.07401393  016.81919281
111  44.07390812  016.81927108
111  44.07266072  016.81996480
112  44.07265740  016.82000128  44.07271089  016.81996228
111  44.07265740  016.82000128
112  44.07265740  016.82000128  44.07271664  016.81995808
111  44.07267827  016.82003819
111  44.07391318  016.81936052
111  44.07421427  016.81923358
112  44.07615906  016.81843497  44.07697806  016.81802878
111  44.07784441  016.81744159
112  44.07784441  016.81744159  44.07794579  016.81737675
112  44.07805963  016.81771250  44.07803228  016.81782294
111  44.07805963  016.81771250
112  44.07802964  016.81783104  44.07799964  016.81794695
111  44.07802964  016.81783104
