I
1050 Generated by WorldEditor 1.6.0r1

1   7141 1 0 MMZC General Leobardo C Ruiz Intl
100 45.11 1 0 0.25 0 3 1 02  22.88513900 -102.69375000    0    0 3 0 0 0 20  22.90905600 -102.68000000    0    0 3 0 0 0
110 1 0.00 0.0000 New Taxiway 2
111  22.88504404 -102.69355531
111  22.88523401 -102.69394470
111  22.88472502 -102.69423732
113  22.88453502 -102.69384793
110 1 0.00 0.0000 New Taxiway 1
111  22.90896098 -102.67980529
111  22.90946202 -102.67951725
111  22.90965200 -102.67990669
113  22.90915098 -102.68019473
110 2 0.00 0.0000 New Taxiway 18
111  22.90078629 -102.68072100
111  22.90072278 -102.68073458
111  22.90071412 -102.68068131
113  22.90077763 -102.68066355
110 2 0.00 0.0000 New Taxiway 17
111  22.90008516 -102.68078240
111  22.90000818 -102.68082314
111  22.89998316 -102.68077613
111  22.90001395 -102.68075837
111  22.90000914 -102.68074375
111  22.89997834 -102.68073539
111  22.89992846 -102.68062863
113  22.89998931 -102.68058733
110 2 0.00 0.0000 New Taxiway 16
111  22.89996487 -102.68041259
111  22.89992638 -102.68043662
111  22.89990232 -102.68038961
113  22.89994466 -102.68036872
110 2 0.00 0.0000 New Taxiway 15
111  22.90002550 -102.68053586
111  22.89992445 -102.68059227
111  22.89988692 -102.68051288
113  22.89999470 -102.68045542
110 2 0.00 0.0000 New Taxiway 14
111  22.89992638 -102.68033007
111  22.89974450 -102.68043140
111  22.89971371 -102.68035723
113  22.89988789 -102.68025381
110 2 0.00 0.0000 New Taxiway 13
111  22.90122301 -102.67998249
111  22.90118451 -102.67990414
111  22.90175902 -102.67957820
113  22.90179944 -102.67965446
110 2 0.00 0.0000 New Taxiway 12
111  22.90243299 -102.67995455
111  22.90232713 -102.68001201
111  22.90230548 -102.67996413
113  22.90240896 -102.67990348
110 2 0.00 0.0000 New Taxiway 6
111  22.90020321 -102.68155748
111  22.89988324 -102.68173420
111  22.89986971 -102.68171082
111  22.89981999 -102.68173520
111  22.89973659 -102.68155848
111  22.89978230 -102.68153323
111  22.89984966 -102.68148970
113  22.90009335 -102.68133811
110 1 0.00 0.0000 New Taxiway 5
111  22.90263276 -102.68112750
111  22.90268882 -102.68066605
111  22.90267728 -102.68056368
111  22.90264744 -102.68050309
111  22.90247423 -102.68046234
111  22.90244880 -102.68040556
111  22.90240687 -102.68031191
111  22.90262242 -102.68018760
111  22.90271384 -102.68040489
111  22.90288706 -102.68033176
111  22.90292074 -102.68048324
111  22.90275715 -102.68068381
113  22.90267954 -102.68123197
110 1 0.00 0.0000 New Taxiway 3
111  22.89879238 -102.68614978
111  22.89873155 -102.68791055
111  22.89847214 -102.68790153
113  22.89851678 -102.68630816
110 2 0.00 0.0000 New Taxiway 2
111  22.90046032 -102.68165500
111  22.90053991 -102.68161928
111  22.90092099 -102.68237293
113  22.90083500 -102.68242802
110 2 0.00 0.0000 New Taxiway 7
111  22.90033503 -102.68130259
111  22.90053447 -102.68118710
111  22.90060063 -102.68133509
113  22.90040139 -102.68144618
110 1 0.00 0.0000 New Taxiway 1
111  22.90239355 -102.68358210 3 102
112  22.90264937 -102.68337317  22.90271272 -102.68331397 3 102
112  22.90271581 -102.68302688  22.90266348 -102.68287137 3 102
111  22.90264925 -102.68284802 3 102
111  22.90236575 -102.68227955 3 102
112  22.90209941 -102.68220441  22.90191211 -102.68227360
111  22.90209941 -102.68220441
112  22.90209941 -102.68220441  22.90195622 -102.68228840 3 102
111  22.90145851 -102.68258174 3 102
111  22.90142271 -102.68252032 3 102
111  22.89908818 -102.68385508 3 102
112  22.89889001 -102.68407789  22.89881934 -102.68422380 3 102
111  22.89882072 -102.68433061 3 102
111  22.89879439 -102.68506470 3 102
111  22.89879157 -102.68517710
112  22.89891772 -102.68541218  22.89901334 -102.68547837
111  22.89913528 -102.68545731
111  22.89829257 -102.68593994 3 102
112  22.89851354 -102.68563494  22.89859245 -102.68547407 3 102
111  22.89858572 -102.68528186 3 102
111  22.89859438 -102.68505412 3 102
111  22.89861574 -102.68427608
111  22.89861335 -102.68394732
111  22.89862764 -102.68360653 20
111  22.89863154 -102.68346112 20
111  22.89863546 -102.68331492 20
111  22.89863940 -102.68316794 20
111  22.89864345 -102.68301685 20
111  22.89864746 -102.68286740 20
111  22.89865129 -102.68272447 20
111  22.89865532 -102.68257423 20
111  22.89865934 -102.68242397 20
111  22.89866326 -102.68227776 20
111  22.89866729 -102.68212751 20
111  22.89867134 -102.68197643 20
111  22.89867531 -102.68182841
111  22.89885830 -102.67765859
111  22.89906781 -102.67767197
111  22.89889800 -102.68226525
111  22.89889800 -102.68226525
111  22.89886040 -102.68341624
111  22.89886040 -102.68341624
111  22.89885944 -102.68353429
112  22.89890495 -102.68359550  22.89894633 -102.68362475
111  22.89904907 -102.68362927 3 102
111  22.90036802 -102.68287228 3 102
112  22.90044308 -102.68276196  22.90045463 -102.68269552
112  22.90041422 -102.68259148  22.90039227 -102.68254760
111  22.90004700 -102.68184685
111  22.90003080 -102.68185434
111  22.89997546 -102.68173507
111  22.89990088 -102.68177599
111  22.89988324 -102.68173420
111  22.90020321 -102.68155748
111  22.90009335 -102.68133811
111  22.89984966 -102.68148970
111  22.89978230 -102.68153323
111  22.89973659 -102.68155848
111  22.89981999 -102.68173520
111  22.89986971 -102.68171082
111  22.89988324 -102.68173420
111  22.89990088 -102.68177599
111  22.89973178 -102.68187100
111  22.89956337 -102.68149406
111  22.90005897 -102.68120068
111  22.90010521 -102.68128571
111  22.90028431 -102.68119285
111  22.90033503 -102.68130259
111  22.90040139 -102.68144618
111  22.90037149 -102.68147174
111  22.90046032 -102.68165500
111  22.90083500 -102.68242802 3 102
112  22.90106145 -102.68247340  22.90118495 -102.68241333 3 102
111  22.90119858 -102.68238199 3 102
112  22.90124189 -102.68228449  22.90124750 -102.68223051 3 102
111  22.90123698 -102.68217264 3 102
112  22.90105504 -102.68208880  22.90100307 -102.68198433 3 102
111  22.90075885 -102.68149992 3 102
111  22.90072550 -102.68143180 3
111  22.90078976 -102.68139311 3
111  22.90136503 -102.68106425
111  22.90135912 -102.68104615
111  22.90148734 -102.68097877
111  22.90149491 -102.68099443
