I
1050 Generated by WorldEditor 1.6.1r1

1   1109 0 0 CYOJ HIGH LEVEL
100 45.72 1 0 0.25 0 2 0 13  58.62774111 -117.17051888    0    0 3 0 0 0 31  58.61543017 -117.15891467    0    0 3 0 0 0
110 2 0.00 0.0000 New Taxiway 265
111  58.61716487 -117.16583920
111  58.61697845 -117.16565912
111  58.61696359 -117.16570963
111  58.61673028 -117.16547903
111  58.61674286 -117.16542413
111  58.61667081 -117.16536044
111  58.61673371 -117.16512106
111  58.61697502 -117.16534507
111  58.61700549 -117.16529631
111  58.61701619 -117.16527919
111  58.61702767 -117.16528763
111  58.61706042 -117.16531171
111  58.61706995 -117.16531872
111  58.61706995 -117.16544170
111  58.61711455 -117.16548343
111  58.61709511 -117.16556029
113  58.61720833 -117.16567229
110 2 0.00 0.0000 New Taxiway 262
111  58.61801347 -117.16695926
111  58.61812152 -117.16650323
111  58.61829636 -117.16665049
113  58.61818730 -117.16710640
110 2 0.00 0.0000 New Taxiway 261
111  58.61857386 -117.16730846
111  58.61849952 -117.16724477
111  58.61851439 -117.16718108
111  58.61836228 -117.16704930
111  58.61840460 -117.16686263
111  58.61847124 -117.16692036
111  58.61851008 -117.16695400
111  58.61855671 -117.16699440
111  58.61856929 -117.16694169
111  58.61858771 -117.16695853
111  58.61861749 -117.16698577
113  58.61864134 -117.16700758
110 2 0.00 0.0000 New Taxiway 260
111  58.61915075 -117.16727246
111  58.61898672 -117.16797393
111  58.61866421 -117.16768622
113  58.61882802 -117.16700067
110 2 0.00 0.0000 New Taxiway 259
111  58.61911148 -117.16845908
111  58.61895699 -117.16832533
111  58.61902561 -117.16803982
113  58.61917965 -117.16817346
110 2 0.00 0.0000 New Taxiway 258
111  58.61917965 -117.16807096
111  58.61904391 -117.16795196
111  58.61911138 -117.16769720
113  58.61924064 -117.16781290
110 1 0.00 0.0000 New Taxiway 253
111  58.61932371 -117.16818857
111  58.61917965 -117.16807096
111  58.61924064 -117.16781290
113  58.61938153 -117.16793592
110 1 0.00 0.0000 New Taxiway 252
111  58.61922219 -117.16863221
111  58.61909578 -117.16852486
111  58.61911148 -117.16845908
111  58.61917965 -117.16817346
113  58.61930321 -117.16827814
110 1 0.00 0.0000 New Taxiway 255
111  58.61968763 -117.16791457
111  58.61973242 -117.16772322
111  58.61969864 -117.16769589
111  58.61971542 -117.16762398
111  58.61978579 -117.16768296
113  58.61972574 -117.16794715
110 1 0.00 0.0000 New Taxiway 254
111  58.61948653 -117.16881405
111  58.61944477 -117.16877954
111  58.61949356 -117.16857459
113  58.61953418 -117.16861089
110 4 0.00 0.0000 New Taxiway 251
111  58.61929531 -117.16664638
111  58.61983087 -117.16712933
111  58.61971542 -117.16762398
111  58.61969864 -117.16769589
111  58.61965426 -117.16788605
111  58.61958762 -117.16817158
111  58.61949356 -117.16857459
111  58.61944477 -117.16877954
111  58.61943760 -117.16881437
111  58.61922219 -117.16863221
111  58.61930321 -117.16827814
111  58.61932371 -117.16818857
111  58.61938153 -117.16793592
111  58.61955222 -117.16719005
111  58.61923552 -117.16690530
113  58.61926536 -117.16677607
110 2 0.00 0.0000 New Taxiway 250
111  58.61512423 -117.16300071
111  58.61426410 -117.16218186
111  58.61464014 -117.16070617
111  58.61467445 -117.16074570
111  58.61511355 -117.16043761
111  58.61474728 -117.16186302
111  58.61479414 -117.16213752
111  58.61523651 -117.16255995
113  58.61514092 -117.16293711
110 2 0.00 0.0000 New Taxiway 257
111  58.61969081 -117.16826625
111  58.61958762 -117.16817158
111  58.61965426 -117.16788605
111  58.61968763 -117.16791457
111  58.61972574 -117.16794715
113  58.61976108 -117.16797735
110 2 0.00 0.0000 New Taxiway 256
111  58.61957428 -117.16889431
111  58.61948653 -117.16881405
111  58.61953418 -117.16861089
113  58.61962384 -117.16869298
110 2 0.00 0.0000 New Taxiway 264
111  58.61776644 -117.16659249
111  58.61783052 -117.16631353
111  58.61803064 -117.16647860
113  58.61796200 -117.16675721
110 2 0.00 0.0000 New Taxiway 263
111  58.61794599 -117.16690216
111  58.61783391 -117.16737653
111  58.61775500 -117.16730845
113  58.61786708 -117.16683627
110 1 0.00 0.0000 New Taxiway 270
111  58.61422306 -117.16348515
111  58.61416084 -117.16342465
111  58.61419976 -117.16326885
113  58.61426277 -117.16333138
110 1 0.00 0.0000 New Taxiway 269
111  58.61418179 -117.16398755
111  58.61393305 -117.16377710
111  58.61399023 -117.16352640
113  58.61423898 -117.16374233
110 1 0.00 0.0000 New Taxiway 268
111  58.61431236 -117.16283284
111  58.61425041 -117.16307806
111  58.61411985 -117.16295728
113  58.61418084 -117.16271389
110 1 0.00 0.0000 New Taxiway 267
111  58.61424088 -117.16200569
111  58.61413891 -117.16241195
111  58.61408554 -117.16236620
113  58.61418656 -117.16195811
