I
1050 Generated by WorldEditor 2.1.0r1

1    282 0 0 MPPN Penonomé
100 16.00 1 0 0.25 0 2 0 01  08.49952313 -080.36076721    0   21 1 0 0 0 19  08.50948961 -080.36020330    0    6 1 0 0 0
110 2 0.00 0.0000 New Taxiway 10
111  08.50917909 -080.35961133
111  08.50900685 -080.35961743
111  08.50900280 -080.35953063
113  08.50917503 -080.35952492
110 2 0.00 0.0000 New Taxiway 10
111  08.50945647 -080.35968355
111  08.50928321 -080.35968828
111  08.50928089 -080.35954789
113  08.50945312 -080.35954218
110 2 0.00 0.0000 New Taxiway 9
111  08.50902877 -080.36067773
111  08.50918264 -080.36065989
111  08.50921541 -080.36094475
113  08.50906247 -080.36096081
110 1 0.00 0.0000 New Taxiway 1
111  08.50927463 -080.36015677
112  08.50927463 -080.36015677  08.50933092 -080.36011975
111  08.50935912 -080.36009405
111  08.50948460 -080.35996259
112  08.50948460 -080.35996259  08.50951872 -080.35991917
111  08.50952001 -080.35987428
111  08.50950855 -080.35967498
111  08.50970726 -080.35966761
111  08.50972910 -080.35954074
111  08.50989563 -080.35957324
111  08.51009796 -080.35963022
111  08.50999552 -080.35993207
111  08.50962414 -080.35992461
111  08.50951777 -080.36005601
112  08.50951777 -080.36005601  08.50949817 -080.36008277
111  08.50949445 -080.36010235
113  08.50949483 -080.36014457
110 1 0.00 0.0000 New Taxiway 11
111  08.49952257 -080.36072676
111  08.49951932 -080.36062461
111  08.49971611 -080.36061519
113  08.49981820 -080.36068518
110 3 0.00 0.0000 New Taxiway 8
111  08.50904675 -080.36025113
111  08.50897532 -080.35947628
111  08.50972842 -080.35942372
111  08.50992731 -080.35947257
111  08.50989563 -080.35957324
111  08.51009796 -080.35963022
111  08.50999552 -080.35993207
111  08.50996184 -080.36003128
111  08.50980120 -080.36101104
111  08.50977656 -080.36106600
111  08.50884412 -080.36110465
113  08.50879095 -080.36029070
130 Airport Boundary 7
111  08.50975477 -080.36110042
111  08.49638689 -080.36181820
111  08.49625578 -080.36010367
111  08.50028212 -080.35987042
111  08.50032518 -080.36002264
111  08.50079475 -080.36021155
111  08.50094953 -080.36048160
111  08.50135016 -080.36041409
111  08.50134409 -080.36033737
111  08.50181200 -080.36027488
111  08.50226360 -080.36046637
111  08.50264601 -080.36035221
111  08.50305692 -080.36039995
111  08.50339380 -080.36032016
111  08.50345754 -080.35991202
111  08.50333917 -080.35968186
111  08.51023620 -080.35931343
111  08.50999106 -080.36004468
113  08.50981260 -080.36105369
120 Linear Feature 13
112  08.50931507 -080.36013576  08.50933682 -080.36012668 3
111  08.50936922 -080.36009648 3
111  08.50950061 -080.35996044
112  08.50950061 -080.35996044  08.50952879 -080.35992327 3
111  08.50952879 -080.35987329 3
111  08.50951911 -080.35968334 3
111  08.50992110 -080.35967018 3
111  08.50993094 -080.35991239 3
111  08.50961716 -080.35991932 3
111  08.50950848 -080.36005267
112  08.50950848 -080.36005267  08.50948976 -080.36008115 3
111  08.50948576 -080.36010347 3
115  08.50948531 -080.36012806
120 Linear Feature 12
111  08.49952706 -080.36069316 3
111  08.49952491 -080.36063006 3
111  08.49971591 -080.36062054 3
115  08.49980393 -080.36067747
14  08.50995954 -080.35955311   9.84 0 New Tower Viewpoint 28
1300  08.50958526 -080.35972736   6.52 tie_down props Tie Down 08
1301 A general_aviation 
1300  08.50979904 -080.35984599 -181.08 tie_down props Tie Down 07
1301 A general_aviation 
1300  08.50970209 -080.36058974 -181.08 tie_down props Tie Down 06
1301 A general_aviation 
1300  08.50966345 -080.36077799 -181.08 tie_down props Tie Down 05
1301 A general_aviation 
1300  08.50965291 -080.36093427 -179.46 tie_down props Tie Down 04
1301 A general_aviation 
1300  08.50936486 -080.36093960   0.00 tie_down props Tie Down 03
1301 A general_aviation 
1300  08.50934906 -080.36073892   0.00 tie_down props Tie Down 02
1301 A general_aviation 
1300  08.50933936 -080.36056351   1.57 tie_down props Tie Down 01
1301 A general_aviation 
18  08.50995954 -080.35955311 1 New Airport Beacon 13
99
