I
1050 Generated by WorldEditor 2.2.0r2

1     34 1 0 YSBK Bankstown
100 22.86 1 0 0.00 0 0 0 11R -33.92160994  150.98516904    0    0 1 0 0 0 29L -33.92683539  150.99450252    0    0 1 0 0 0
100 29.87 1 0 0.00 0 2 1 11C -33.91962011  150.98368529   98    0 2 0 1 0 29C -33.92644553  150.99587458    0    0 2 0 1 0
100 29.87 1 0 0.00 0 0 0 11L -33.92011526  150.98663570    0    0 1 0 0 0 29R -33.92566847  150.99655676    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 81
111 -33.92011952  150.99077839
111 -33.92016044  150.99080626
111 -33.92012174  150.99089256
113 -33.92007949  150.99086415
110 3 0.00 0.0000 New Taxiway 74
111 -33.91900784  150.99537993
111 -33.91892180  150.99567076
111 -33.91896607  150.99569076
112 -33.91889745  150.99578413 -33.91884109  150.99580265
111 -33.91889745  150.99578413
111 -33.91861082  150.99585074
112 -33.91861082  150.99585074 -33.91848630  150.99587075
112 -33.91834708  150.99569123 -33.91830650  150.99561898
111 -33.91834708  150.99569123
111 -33.91814689  150.99533466
111 -33.91833815  150.99518101
111 -33.91856054  150.99557475
111 -33.91864969  150.99558434
111 -33.91883332  150.99542220
113 -33.91886542  150.99531645
110 3 0.00 0.0000 New Taxiway 73
111 -33.91636083  150.99523204
111 -33.91639191  150.99528827
111 -33.91618409  150.99545960
113 -33.91615235  150.99540409
110 2 0.00 0.0000 New Taxiway 72
112 -33.91641308  150.99597111 -33.91640529  150.99594087
111 -33.91641308  150.99597111
111 -33.91644300  150.99597160
111 -33.91667393  150.99591645
111 -33.91665471  150.99578493
111 -33.91662397  150.99574510
111 -33.91637825  150.99585096
112 -33.91637825  150.99585096 -33.91636837  150.99582065
112 -33.91634550  150.99576028 -33.91633353  150.99573050
111 -33.91634550  150.99576028
111 -33.91650753  150.99568911
111 -33.91651829  150.99566688
111 -33.91643502  150.99551903
111 -33.91641197  150.99551440
111 -33.91627707  150.99562216
111 -33.91623944  150.99555637
111 -33.91649527  150.99534811
111 -33.91651218  150.99535088
111 -33.91655446  150.99531754
111 -33.91648961  150.99520723
111 -33.91639191  150.99528827
111 -33.91636083  150.99523204
111 -33.91645666  150.99515117
111 -33.91642379  150.99509525
111 -33.91631618  150.99518695
111 -33.91624442  150.99505898
111 -33.91604659  150.99521919
111 -33.91601428  150.99516271
111 -33.91621221  150.99500155
111 -33.91608762  150.99477938
111 -33.91590478  150.99492626
111 -33.91589394  150.99493497
111 -33.91586663  150.99488517
111 -33.91587289  150.99488010
111 -33.91605944  150.99472913
111 -33.91599716  150.99461807
111 -33.91629467  150.99436826
111 -33.91641602  150.99457642
111 -33.91642248  150.99457642
111 -33.91647505  150.99463978
111 -33.91661340  150.99488874
111 -33.91659017  150.99490974
111 -33.91671315  150.99512462
111 -33.91672391  150.99511258
111 -33.91682810  150.99529788
111 -33.91684347  150.99528584
111 -33.91698858  150.99554274
111 -33.91678182  150.99572057
111 -33.91678182  150.99574187
111 -33.91705782  150.99569249
111 -33.91709877  150.99595790
111 -33.91682699  150.99601075
111 -33.91669779  150.99604945
111 -33.91668818  150.99598230
111 -33.91647290  150.99603263
112 -33.91647290  150.99603263 -33.91644942  150.99603784
111 -33.91643281  150.99605387
114 -33.91643281  150.99605387 -33.91642744  150.99602942
111 -33.91658947  150.99543155
111 -33.91657982  150.99546966
111 -33.91661145  150.99552521
111 -33.91666130  150.99548387
113 -33.91661824  150.99540970
110 3 0.00 0.0000 New Taxiway 71
111 -33.92110751  150.99629228
111 -33.92116200  150.99628181
111 -33.92120444  150.99659895
111 -33.92116164  150.99660961
111 -33.92115398  150.99656473
111 -33.92113878  150.99647561
111 -33.92113064  150.99642788
113 -33.92111534  150.99633822
110 3 0.00 0.0000 New Taxiway 70
111 -33.92071299  150.99649961
111 -33.92072203  150.99650644
111 -33.92077098  150.99649550
111 -33.92078174  150.99655640
111 -33.92077885  150.99655702
111 -33.92079537  150.99665712
111 -33.92079931  150.99665601
111 -33.92080564  150.99669192
111 -33.92074923  150.99669942
111 -33.92073309  150.99661043
111 -33.92071112  150.99661500
111 -33.92070335  150.99656799
113 -33.92072437  150.99656236
110 3 0.00 0.0000 New Taxiway 68
111 -33.92066120  150.99615025
111 -33.92071786  150.99615079
111 -33.92075445  150.99639267
111 -33.92070726  150.99640209
111 -33.92070074  150.99640938
111 -33.92069289  150.99635811
111 -33.92074009  150.99634714
111 -33.92073081  150.99628532
113 -33.92068323  150.99629457
110 3 0.00 0.0000 New Taxiway 66
111 -33.92036217  150.99652263
111 -33.92038416  150.99651762
111 -33.92040806  150.99650090
111 -33.92041722  150.99655419
112 -33.92041722  150.99655419 -33.92041224  150.99655252
112 -33.92040213  150.99654657 -33.92039714  150.99654305
111 -33.92040213  150.99654657
111 -33.92038423  150.99654677
111 -33.92039680  150.99662079
111 -33.92042718  150.99661263
111 -33.92044199  150.99670192
111 -33.92046470  150.99669668
111 -33.92047201  150.99674161
111 -33.92044973  150.99674706
111 -33.92046427  150.99683618
111 -33.92048976  150.99683095
111 -33.92049813  150.99687789
111 -33.92042360  150.99689435
111 -33.92040426  150.99689380
111 -33.92037381  150.99671470
113 -33.92039302  150.99670929
110 3 0.00 0.0000 New Taxiway 65
111 -33.92034437  150.99619426
111 -33.92036767  150.99633156
111 -33.92032881  150.99633975
112 -33.92028393  150.99620975 -33.92026169  150.99619010
113 -33.92028393  150.99620975
110 3 0.00 0.0000 New Taxiway 63
112 -33.91933792  150.99697035 -33.91944040  150.99695337
111 -33.91933792  150.99697035
111 -33.91934836  150.99704458
112 -33.91934836  150.99704458 -33.91923178  150.99706310
111 -33.91913518  150.99701792
112 -33.91913518  150.99701792 -33.91914190  150.99699516
112 -33.91915446  150.99694588 -33.91916045  150.99692082
113 -33.91915446  150.99694588
110 3 0.00 0.0000 New Taxiway 62
112 -33.91930635  150.99677900 -33.91936899  150.99676828
111 -33.91930635  150.99677900
111 -33.91931775  150.99685396
112 -33.91931775  150.99685396 -33.91925140  150.99686780
111 -33.91917074  150.99685680
112 -33.91917074  150.99685680 -33.91917459  150.99682919
112 -33.91917956  150.99677715 -33.91918166  150.99675174
113 -33.91917956  150.99677715
110 3 0.00 0.0000 New Taxiway 61
112 -33.91927465  150.99657585 -33.91931646  150.99656888
111 -33.91927465  150.99657585
111 -33.91928530  150.99665257
112 -33.91928530  150.99665257 -33.91924527  150.99665954
111 -33.91918450  150.99665470
112 -33.91918450  150.99665470 -33.91918443  150.99662540
112 -33.91918217  150.99657805 -33.91918088  150.99655650
113 -33.91918217  150.99657805
110 2 0.00 0.0000 New Taxiway 60
111 -33.91723422  150.99715512
111 -33.91726113  150.99731536
111 -33.91717310  150.99760210
111 -33.91689139  150.99766873
111 -33.91687778  150.99758729
111 -33.91682249  150.99760170
111 -33.91682405  150.99761196
111 -33.91678159  150.99762235
111 -33.91677330  150.99756973
111 -33.91681526  150.99756004
111 -33.91681684  150.99757044
111 -33.91687263  150.99755641
111 -33.91685541  150.99745333
111 -33.91678509  150.99747087
111 -33.91675071  150.99727621
111 -33.91682293  150.99725889
111 -33.91681991  150.99724082
111 -33.91707039  150.99717752
111 -33.91707340  150.99719521
111 -33.91711384  150.99718513
113 -33.91718288  150.99716792
110 2 0.00 0.0000 New Taxiway 59
111 -33.92012025  150.99672678
111 -33.92027781  150.99668787
111 -33.92028608  150.99673733
111 -33.92037381  150.99671470
111 -33.92040426  150.99689380
111 -33.92031586  150.99691552
111 -33.92032239  150.99695463
111 -33.92016496  150.99699168
111 -33.92015756  150.99694785
111 -33.92008175  150.99696494
111 -33.92007008  150.99690025
111 -33.92014615  150.99688026
111 -33.92014171  150.99685397
111 -33.92006470  150.99687042
111 -33.92005085  150.99679361
113 -33.92012849  150.99677559
111 -33.92030401  150.99681790
111 -33.92030846  150.99683988
111 -33.92034137  150.99683880
111 -33.92033426  150.99680128
111 -33.92031913  150.99680396
114 -33.92031913  150.99680396 -33.92030669  150.99680810
110 2 0.00 0.0000 New Taxiway 58
111 -33.92006639  150.99634519
111 -33.92021243  150.99631123
111 -33.92022086  150.99636251
111 -33.92032881  150.99633975
111 -33.92036767  150.99633156
111 -33.92046445  150.99639257
111 -33.92045964  150.99636651
111 -33.92046566  150.99636540
111 -33.92045660  150.99628667
111 -33.92060142  150.99625521
111 -33.92060995  150.99630881
111 -33.92068323  150.99629457
111 -33.92073081  150.99628532
111 -33.92074009  150.99634714
111 -33.92069289  150.99635811
111 -33.92066171  150.99636535
111 -33.92065060  150.99634741
111 -33.92061730  150.99635501
111 -33.92063106  150.99644148
111 -33.92068037  150.99643215
111 -33.92070074  150.99640938
111 -33.92070726  150.99640209
111 -33.92075445  150.99639267
111 -33.92078918  150.99638573
111 -33.92087312  150.99640810
111 -33.92085725  150.99629751
111 -33.92100020  150.99626341
111 -33.92100882  150.99631585
111 -33.92110751  150.99629228
111 -33.92111534  150.99633822
111 -33.92101660  150.99636326
111 -33.92103110  150.99645162
111 -33.92113064  150.99642788
111 -33.92113878  150.99647561
111 -33.92103901  150.99649976
111 -33.92105337  150.99658721
111 -33.92115398  150.99656473
111 -33.92116164  150.99660961
111 -33.92106122  150.99663506
111 -33.92108013  150.99675018
111 -33.92093400  150.99678685
111 -33.92092812  150.99674025
111 -33.92080328  150.99677404
111 -33.92073059  150.99675209
111 -33.92069875  150.99675851
111 -33.92068268  150.99676576
111 -33.92070012  150.99687537
111 -33.92055576  150.99691067
111 -33.92054845  150.99686547
111 -33.92049813  150.99687789
111 -33.92048976  150.99683095
111 -33.92054098  150.99681933
111 -33.92052619  150.99672790
111 -33.92047201  150.99674161
111 -33.92046470  150.99669668
111 -33.92051904  150.99668373
111 -33.92050419  150.99659195
111 -33.92042718  150.99661263
111 -33.92039680  150.99662079
111 -33.92038423  150.99654677
111 -33.92040213  150.99654657
112 -33.92040213  150.99654657 -33.92040712  150.99655008
112 -33.92041722  150.99655419 -33.92042221  150.99655585
111 -33.92041722  150.99655419
112 -33.92041722  150.99655419 -33.92043631  150.99656055
111 -33.92045339  150.99655549
111 -33.92049662  150.99654516
111 -33.92048446  150.99646998
111 -33.92043359  150.99648304
111 -33.92040806  150.99650090
111 -33.92038416  150.99651762
111 -33.92036217  150.99652263
111 -33.92025134  150.99654792
111 -33.92026992  150.99666095
111 -33.92012004  150.99669568
111 -33.92011303  150.99664989
111 -33.92004714  150.99666520
111 -33.92004771  150.99661760
111 -33.92010582  150.99660281
111 -33.92009217  150.99651363
111 -33.92004359  150.99652473
111 -33.92003346  150.99657768
111 -33.92001309  150.99658450
111 -33.91998843  150.99659274
111 -33.91996784  150.99646251
111 -33.91997404  150.99646162
111 -33.92000967  150.99645655
111 -33.92003057  150.99647930
113 -33.92008509  150.99646734
111 -33.92024437  150.99650023
111 -33.92035433  150.99647514
111 -33.92033832  150.99638445
113 -33.92022996  150.99640825
111 -33.92067467  150.99671508
111 -33.92072429  150.99670273
111 -33.92074923  150.99669942
111 -33.92080564  150.99669192
111 -33.92086329  150.99670273
111 -33.92091773  150.99668884
111 -33.92090392  150.99660140
111 -33.92084873  150.99661420
111 -33.92082919  150.99664757
111 -33.92079931  150.99665601
111 -33.92079537  150.99665712
111 -33.92077885  150.99655702
111 -33.92078174  150.99655640
111 -33.92081358  150.99654958
111 -33.92084131  150.99656873
111 -33.92089650  150.99655442
111 -33.92088322  150.99647042
111 -33.92077098  150.99649550
111 -33.92072203  150.99650644
111 -33.92071299  150.99649961
111 -33.92068627  150.99647942
111 -33.92063983  150.99648907
111 -33.92065356  150.99657811
111 -33.92070335  150.99656799
111 -33.92071112  150.99661500
113 -33.92066101  150.99662643
110 3 0.00 0.0000 New Taxiway 57
111 -33.91992744  150.99643202
111 -33.91996693  150.99642259
111 -33.91997404  150.99646162
111 -33.91996784  150.99646251
111 -33.91998843  150.99659274
111 -33.92001309  150.99658450
111 -33.92002006  150.99662415
111 -33.92004771  150.99661760
111 -33.92004714  150.99666520
111 -33.92002877  150.99666998
111 -33.92005085  150.99679361
111 -33.92006470  150.99687042
111 -33.92007008  150.99690025
111 -33.92008175  150.99696494
111 -33.92002448  150.99697950
111 -33.92002166  150.99696388
111 -33.92003583  150.99696116
111 -33.92000930  150.99681149
111 -33.91999523  150.99681458
111 -33.91998511  150.99675774
111 -33.91999973  150.99675444
111 -33.91997785  150.99664009
113 -33.91996489  150.99664326
110 2 0.00 0.0000 New Taxiway 56
111 -33.91973375  150.99642834
111 -33.91983364  150.99640422
111 -33.91988415  150.99671144
111 -33.91993468  150.99669940
111 -33.91994637  150.99664779
