I
1050 Generated by WorldEditor 2.1.0r1

1    212 1 0 EGUP Sculthorp
1302 city Fakenhams
1302 country UK
1302 datum_lat 52.846699
1302 datum_lon 0.766389
1302 iata_code ZXE
1302 icao_code EGUP
1302 state Norfolk
100 42.67 1 0 0.00 0 0 0 06  52.83867519  000.74955362    0    0 3 0 0 0 24  52.85324976  000.78223724    0    0 3 0 0 0
100 91.44 2 0 0.00 0 0 0 13  52.85447566  000.75084255    0    0 0 0 0 0 31  52.84619590  000.77320252    0    0 0 0 0 0
100 91.44 2 0 0.00 0 0 0 18  52.85628790  000.75711845  564    0 0 0 0 0 36  52.84049597  000.76050801  394    0 0 0 0 0
110 1 0.00 153.0000 New Taxiway 386
111  52.85264760  000.75448671
111  52.85239327  000.75454940
111  52.85222142  000.75448208
111  52.85212354  000.75420683
111  52.85205568  000.75464709
111  52.85234892  000.75476971
113  52.85245701  000.75500136
110 1 0.00 153.0000 New Taxiway 385
111  52.85124765  000.75195224
111  52.85123873  000.75206586
111  52.85125210  000.75214407
111  52.85127884  000.75220310
111  52.85129011  000.75209843
111  52.85133630  000.75207395
111  52.85201631  000.75238300
111  52.85201446  000.75244726
111  52.85198120  000.75246868
111  52.85196500  000.75252481
111  52.85201312  000.75251005
111  52.85204520  000.75247464
111  52.85206659  000.75241561
111  52.85208085  000.75234035
111  52.85208352  000.75230641
113  52.85205327  000.75230956
110 1 0.00 153.0000 New Taxiway 384
111  52.85041972  000.75394618
111  52.85060092  000.75402488
111  52.85066037  000.75363336
111  52.85062530  000.75363006
111  52.85050888  000.75374939
112  52.84944083  000.75331294  52.84916596  000.75319233
111  52.84944083  000.75331294
112  52.84944083  000.75331294  52.84939674  000.75329359
112  52.84935398  000.75327208  52.84934197  000.75326489
111  52.84935398  000.75327208
112  52.84935398  000.75327208  52.84926713  000.75322007
112  52.84928353  000.75296981  52.84931310  000.75289944
111  52.84928353  000.75296981
111  52.84924343  000.75300916
111  52.84919219  000.75305835
111  52.84914838  000.75309770
111  52.84908155  000.75313581
111  52.84898872  000.75319238
111  52.84890703  000.75322927
111  52.84884540  000.75325263
111  52.84879267  000.75327230
111  52.84873623  000.75328829
111  52.84866717  000.75330058
111  52.84891584  000.75331292
111  52.84902928  000.75334866
111  52.84901767  000.75331798
111  52.84922607  000.75330070
111  52.84920750  000.75341752
111  52.84934377  000.75347694
111  52.84938266  000.75353654
111  52.84952870  000.75359598
111  52.84957570  000.75357809
111  52.84981522  000.75368255
111  52.84984755  000.75382049
111  52.84981083  000.75406822
111  52.84977364  000.75411422
111  52.84975080  000.75424678
112  52.84975080  000.75424678  52.84980069  000.75427432
112  52.84972767  000.75440687  52.84968887  000.75438239
111  52.84972767  000.75440687
111  52.84962491  000.75435564
111  52.84960887  000.75446250
111  52.84959877  000.75452981
111  52.84973508  000.75459687
112  52.84973508  000.75459687  52.84970552  000.75478046
111  52.84980069  000.75484941
111  52.84987143  000.75438532
111  52.84982718  000.75416883
111  52.84987708  000.75383226
111  52.84996409  000.75374747
111  52.85019490  000.75384813
111  52.85022129  000.75389284
113  52.85033687  000.75391005
110 1 0.00 153.0000 New Taxiway 383
111  52.84897576  000.75499113
112  52.84897576  000.75499113  52.84900656  000.75491676
111  52.84904848  000.75489633
111  52.84898969  000.75484202
111  52.84898103  000.75486354
111  52.84897705  000.75489977
111  52.84851252  000.75618314
111  52.84848301  000.75616401
111  52.84868206  000.75478816
111  52.84861027  000.75475863
111  52.84862416  000.75479990
111  52.84861649  000.75485089
111  52.84852923  000.75481477
111  52.84850040  000.75500630
111  52.84858766  000.75504242
111  52.84841115  000.75621501
111  52.84836048  000.75623196
111  52.84834414  000.75634263
111  52.84836367  000.75651247
111  52.84776568  000.75815703
111  52.84766732  000.75827952
111  52.84784328  000.75824167
113  52.84783815  000.75814393
