A
1050 Generated by WorldEditor 1.7.1r2

1   9580 0 0 CO95 Wilson Ranch Airport
100 15.00 3 0 0.00 0 0 0 10  38.05729339 -107.97721021    0    0 0 0 0 0 28  38.05621474 -107.97149528    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 101
111  38.05750234 -107.97320866
111  38.05749224 -107.97319359
111  38.05740852 -107.97306864
111  38.05747242 -107.97299229
111  38.05748590 -107.97297645
113  38.05758520 -107.97310864
110 2 0.00 0.0000 New Taxiway 100
111  38.05732887 -107.97327715
112  38.05732887 -107.97327715  38.05734124 -107.97325420
112  38.05732296 -107.97314340  38.05731107 -107.97310354
111  38.05732296 -107.97314340
112  38.05745549 -107.97297358  38.05745667 -107.97297208
111  38.05747242 -107.97299229
111  38.05740852 -107.97306864
111  38.05749224 -107.97319359
113  38.05736202 -107.97334052
110 3 0.00 0.0000 New Taxiway 99
111  38.05671000 -107.97382860
112  38.05706588 -107.97366158  38.05715216 -107.97361288
111  38.05732887 -107.97327715
111  38.05736202 -107.97334052
112  38.05709742 -107.97372200  38.05701867 -107.97377157
113  38.05672409 -107.97390553
130 Airport Boundary 98
111  38.05709905 -107.97752366
111  38.05594296 -107.97121914
111  38.05635635 -107.97112227
111  38.05671176 -107.97294518
111  38.05727630 -107.97232494
111  38.05795135 -107.97329821
111  38.05699758 -107.97441115
113  38.05755187 -107.97741071
14  38.05746265 -107.97341374  82.02 0 New Tower Viewpoint 52
1300  38.05746839 -107.97312600 -136.26 hangar turboprops|props GA Hangar 01
1301 A none 
19  38.05725031 -107.97321713 0 New Windsock 51
99
