I
1050 Generated by WorldEditor

1   1023 1 0 KATL Hartsfield Jackson Atlanta Intl
1302 city Atlanta
1302 country United States
1302 datum_lat 33.636700000
1302 datum_lon -84.427863889
1302 faa_code ATL
1302 iata_code ATL
1302 icao_code KATL
1302 region_code K7
1302 state Georgia
1302 transition_alt 18000
1302 transition_level 18000
100 46.02 2 1 0.00 1 2 1 09L  33.63471318 -084.44796759    0  121 3 7 0 1 27R  33.63470875 -084.40725656  153  120 3 6 0 1
100 46.02 2 1 0.00 1 2 1 09R  33.63182455 -084.44795857    0  122 3 2 1 1 27L  33.63182993 -084.41839635    0  122 3 7 1 1
100 46.02 2 1 0.00 1 2 1 08L  33.64953526 -084.43901816    0  120 3 2 1 1 26R  33.64954713 -084.40945179    0  120 3 7 1 1
100 46.02 2 1 0.00 1 2 1 10  33.62028167 -084.44788054    0  120 3 2 1 1 28  33.62028812 -084.41833101    0  120 3 2 1 1
100 46.02 2 1 0.00 1 2 1 08R  33.64679166 -084.43836024    0  120 3 0 1 1 26L  33.64679276 -084.40550096    0  120 3 7 0 1
110 1 0.00 0.0000 RAILWAY
111  33.64124201 -084.44685150
111  33.64124381 -084.44686549
111  33.64109421 -084.44686549
111  33.64109421 -084.44688055
111  33.64050118 -084.44687517
111  33.64050029 -084.44686226
111  33.64028977 -084.44685580
111  33.64028619 -084.44668257
111  33.64050029 -084.44668149
111  33.64050208 -084.44666535
111  33.64109062 -084.44666643
111  33.64109152 -084.44668364
111  33.64124242 -084.44667869
111  33.64124123 -084.44670733
111  33.64145346 -084.44670733
113  33.64145346 -084.44685055
110 1 0.00 0.0000 CONCOURSE T
111  33.64015658 -084.44610957
111  33.64015740 -084.44607827
111  33.64009876 -084.44607632
111  33.64009876 -084.44294614
111  33.63981699 -084.44252651
111  33.63727697 -084.44252357
111  33.63727779 -084.44242575
111  33.63729978 -084.44242673
111  33.63730222 -084.44228686
111  33.64071371 -084.44229858
111  33.64071332 -084.44208350
111  33.64075303 -084.44208350
111  33.64075505 -084.44202448
111  33.64094013 -084.44201801
111  33.64094136 -084.44229924
111  33.64179288 -084.44229624
111  33.64179288 -084.44230505
111  33.64184978 -084.44230799
111  33.64304501 -084.44230993
111  33.64304780 -084.44225181
111  33.64307783 -084.44225247
111  33.64307839 -084.44230927
111  33.64318630 -084.44231127
111  33.64318574 -084.44230258
111  33.64355955 -084.44229759
111  33.64355955 -084.44249688
111  33.64179709 -084.44249508
111  33.64150905 -084.44295009
111  33.64150219 -084.44608390
111  33.64144074 -084.44608065
113  33.64143984 -084.44610863
110 1 0.00 0.0000 New Taxiway 154
112  33.64051919 -084.42005070  33.64052078 -084.42005070
111  33.64048904 -084.42021654
111  33.64015736 -084.42021654
111  33.64008595 -084.42005642
111  33.63755970 -084.42004898
111  33.63756149 -084.41993816
111  33.63752924 -084.41994031
111  33.63752745 -084.41990803
111  33.63747191 -084.41990803
111  33.63747281 -084.41975309
111  33.63756060 -084.41975202
111  33.63756239 -084.41966594
111  33.63865596 -084.41966089
111  33.63865954 -084.41954361
111  33.63894008 -084.41954039
111  33.63894171 -084.41950615
111  33.63921045 -084.41951495
111  33.63921045 -084.41937312
111  33.63926990 -084.41937410
111  33.63927315 -084.41926356
111  33.63955737 -084.41926454
111  33.63956063 -084.41919607
111  33.63961763 -084.41919607
111  33.63962008 -084.41913738
111  33.63967301 -084.41913543
111  33.63967382 -084.41909239
111  33.63986194 -084.41901120
111  33.63992954 -084.41900924
111  33.63993198 -084.41898185
111  33.63995234 -084.41896816
111  33.64003296 -084.41897109
111  33.64003622 -084.41873633
111  33.64016815 -084.41873340
111  33.64017140 -084.41796455
111  33.64011358 -084.41796553
111  33.64011440 -084.41756545
111  33.64014860 -084.41756349
111  33.64015023 -084.41753024
111  33.64017398 -084.41753127
111  33.64019502 -084.41753219
111  33.64040105 -084.41729156
111  33.64043281 -084.41733069
111  33.64046946 -084.41733362
111  33.64052077 -084.41729547
111  33.64052565 -084.41948269
111  33.64060953 -084.41964311
111  33.64078544 -084.41973506
111  33.64084326 -084.41973702
111  33.64092632 -084.41976539
111  33.64101143 -084.41983317
113  33.64119415 -084.42004943
110 1 0.00 0.0000 CONCOURSE E
111  33.64112645 -084.42592289
111  33.64112564 -084.42600603
111  33.64104339 -084.42600897
111  33.64104665 -084.42608722
111  33.64092530 -084.42633862
111  33.64087563 -084.42634057
111  33.64088133 -084.42677978
111  33.64042284 -084.42678271
111  33.64042447 -084.42633960
111  33.64037479 -084.42634253
111  33.64023228 -084.42608723
111  33.64022332 -084.42592191
111  33.63838610 -084.42591898
111  33.63838692 -084.42594931
111  33.63811573 -084.42595224
111  33.63811655 -084.42592192
111  33.63778836 -084.42591996
111  33.63778999 -084.42595322
111  33.63743004 -084.42595028
111  33.63742759 -084.42591898
111  33.63725087 -084.42591996
111  33.63724925 -084.42555805
111  33.63713279 -084.42555609
111  33.63713116 -084.42551990
111  33.63757336 -084.42552186
111  33.63757499 -084.42554729
111  33.63758884 -084.42554924
