A
1000 Generated by InfiniteFlight-AirportParser

1      475 0 0 EBBZ Buzet
100   24.99   3   0 0.00 0 0 1 16   50.54416784  004.38087535    0.00    0.00 0  0 0 0 34   50.54251873  004.38220796    0.00    0.00 0  0 0 0
110   2 0.00   0.00 Buildings Apron
111  50.54375013  004.38025706 
111  50.54373423  004.38020061 
111  50.54386784  004.38010761 
111  50.54394316  004.38036322 
111  50.54402523  004.38030757 
111  50.54376830  004.37939455 
111  50.54355832  004.37953140 
111  50.54359270  004.37966134 
111  50.54335305  004.37981921 
111  50.54333399  004.37975728 
111  50.54320168  004.37985994 
111  50.54330759  004.38017854 
111  50.54339735  004.38011289 
111  50.54343660  004.38024155 
111  50.54349299  004.38020215 
111  50.54353235  004.38033890 
111  50.54332370  004.38048455 
111  50.54328130  004.38035545 
111  50.54312846  004.37990613 
111  50.54309035  004.37993690 
111  50.54310938  004.37999865 
111  50.54312705  004.38005248 
111  50.54308530  004.38008476 
111  50.54309922  004.38012828 
111  50.54313889  004.38009710 
111  50.54316970  004.38019369 
111  50.54312038  004.38023567 
111  50.54313070  004.38026676 
111  50.54317665  004.38023189 
111  50.54325695  004.38036990 
111  50.54315934  004.38044810 
111  50.54321837  004.38061314 
111  50.54354216  004.38038122 
113  50.54354561  004.38039339 
110   2 0.00   0.00 Apron2
111  50.54294844  004.38086048 
112  50.54299358  004.38083354  50.54300034  004.38083030 
111  50.54299358  004.38083354 
112  50.54299358  004.38083354  50.54302253  004.38096749 
111  50.54318146  004.38093582 
111  50.54318030  004.38088582 
112  50.54302542  004.38082791  50.54300598  004.38075382 
111  50.54302542  004.38082791 
112  50.54302542  004.38082791  50.54301721  004.38081970 
111  50.54299771  004.38073409 
111  50.54303510  004.38070663 
111  50.54302755  004.38067437 
111  50.54298913  004.38070074 
111  50.54296658  004.38059920 
111  50.54300558  004.38057163 
111  50.54299742  004.38053772 
111  50.54295742  004.38056309 
111  50.54291529  004.38039846 
111  50.54295471  004.38037126 
111  50.54294600  004.38033800 
111  50.54290629  004.38036472 
111  50.54287700  004.38024800 
111  50.54291628  004.38022231 
111  50.54290887  004.38018963 
111  50.54286700  004.38021300 
111  50.54284042  004.38010554 
111  50.54281871  004.38011837 
111  50.54284500  004.38022500 
111  50.54279723  004.38025483 
111  50.54280585  004.38028933 
111  50.54285300  004.38026100 
111  50.54288174  004.38037928 
111  50.54283659  004.38040891 
111  50.54284571  004.38044291 
111  50.54289000  004.38041400 
111  50.54293087  004.38057354 
111  50.54288181  004.38060487 
111  50.54289329  004.38064937 
111  50.54294071  004.38061817 
111  50.54296555  004.38072854 
111  50.54292155  004.38075809 
111  50.54293171  004.38079572 
111  50.54297613  004.38076709 
111  50.54298971  004.38081354 
113  50.54294353  004.38084252 
110   2 0.00   0.00 Apron1
111  50.54252313  004.38028321 
112  50.54271597  004.38105150  50.54273957  004.38107003 
111  50.54271597  004.38105150 
112  50.54271597  004.38105150  50.54277924  004.38116600 
111  50.54294687  004.38114589 
111  50.54294607  004.38110826 
112  50.54273671  004.38102563  50.54270028  004.38093889 
111  50.54273671  004.38102563 
112  50.54273671  004.38102563  50.54272286  004.38099576 
111  50.54271047  004.38093947 
111  50.54274847  004.38090847 
111  50.54273906  004.38087059 
111  50.54270007  004.38089606 
111  50.54267124  004.38078630 
111  50.54271311  004.38075679 
111  50.54270294  004.38071738 
111  50.54266300  004.38074479 
111  50.54262447  004.38058247 
111  50.54266793  004.38055174 
111  50.54265653  004.38050727 
111  50.54261400  004.38053647 
111  50.54258654  004.38042327 
111  50.54262994  004.38039632 
111  50.54261947  004.38035806 
111  50.54257572  004.38038427 
113  50.54254806  004.38026826 
130 Airport Boundary
112  50.54247586  004.38021088  50.54247586  004.38019243 
111  50.54279902  004.38154474 
111  50.54143899  004.38260942 
111  50.54159943  004.38325434 
111  50.54430340  004.38108077 
113  50.54377519  004.37935022 
120 Linear Feature 4
111  50.54246362  004.38205355  21 
115  50.54256565  004.38236779 
120 Linear Feature 3
111  50.54414980  004.38069245  21 
115  50.54425251  004.38100737 
19   50.54276496  004.38118956 0 WS
54 12405 Buzet Radio

