I
1050 Generated by WorldEditor 2.2.0r2

1    630 0 0 0IS3 Cady Aerial RLA
100 30.48 3 0 0.00 0 0 0 18  41.66419040 -089.69408145    0    0 0 0 0 0 36  41.65709388 -089.69428306    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 8
111  41.65991351 -089.69080746
112  41.65970609 -089.69093143  41.65957302 -089.69092445
111  41.65952736 -089.69082143
112  41.65952084 -089.69037791  41.65965652 -089.69016837
111  41.65985220 -089.69030632
111  41.65986655 -089.69027663
113  41.66005701 -089.69043204
110 2 0.00 0.0000 New Taxiway 7
111  41.66046995 -089.69074476
111  41.66039037 -089.69053348
111  41.66063824 -089.69036061
113  41.66071390 -089.69055618
110 3 0.00 0.0000 New Taxiway 6
111  41.65987708 -089.69405858
111  41.65988609 -089.69346417
112  41.65993118 -089.69332538  41.65997188 -089.69327718
111  41.65998528 -089.69324391
112  41.66002811 -089.69290295  41.66002968 -089.69273323
111  41.66002811 -089.69290295
112  41.66002811 -089.69290295  41.66002811 -089.69289038
111  41.66003156 -089.69138122
112  41.65977789 -089.69100506  41.65956185 -089.69095058
111  41.65977789 -089.69100506
112  41.65977789 -089.69100506  41.65971997 -089.69099668
112  41.65950287 -089.69085118  41.65945434 -089.69076737
111  41.65950287 -089.69085118
112  41.65950287 -089.69085118  41.65941677 -089.69074222
111  41.65942848 -089.69049816
111  41.65944426 -089.69004254
111  41.66101548 -089.69006366
111  41.66097716 -089.69099601
111  41.66026155 -089.69098011
113  41.66023675 -089.69404871
130 Airport Boundary 9
111  41.65707135 -089.69001712
111  41.65943055 -089.69002925
111  41.66104501 -089.69004765
111  41.66101796 -089.69100354
111  41.66369572 -089.69110897
111  41.66369182 -089.69257415
111  41.66421770 -089.69257936
111  41.66421770 -089.69430003
113  41.65702684 -089.69455557
1300  41.65991349 -089.69055160 338.24 hangar props Hangar 2
1301 A none 
1300  41.66052896 -089.69057245 205.94 hangar props Hangar 1
1301 A none 
99
