I
1050 Generated by WorldEditor 1.7.1r2

1    564 1 0 KMRB Eastern Wv Shepherd Field
1302 city Martinsburg
1302 country USA
1302 datum_lat 39.4023568
1302 datum_lon -077.9829991
1302 iata_code MRB
1302 icao_code KMRB
1302 state West Virginia
100 45.72 1 0 0.00 0 3 0 08  39.39834791 -077.99771423    0  120 3 0 0 0 26  39.40636569 -077.96828218  304  117 3 8 0 0
110 2 0.00 70.0000 New Taxiway 9
111  39.39560068 -077.98393565
111  39.39549460 -077.98433439
111  39.39508701 -077.98415536
113  39.39519309 -077.98375008
110 2 0.00 70.0000 New Taxiway 8
111  39.39822215 -077.98898609
111  39.39839561 -077.98834846
111  39.39887727 -077.98856865
113  39.39870130 -077.98921928
110 2 0.00 70.0000 New Taxiway 6
111  39.39959448 -077.98325287
111  39.39951242 -077.98302469
111  39.39966339 -077.98293672
113  39.39974021 -077.98316942
110 2 0.00 70.0000 New Taxiway 5
111  39.39922905 -077.98329022
111  39.39908939 -077.98291067
111  39.39935824 -077.98275479
111  39.39948568 -077.98313885
111  39.39945944 -077.98315232
111  39.39946294 -077.98316362
111  39.39940703 -077.98319744
111  39.39930617 -077.98325846
111  39.39927005 -077.98328032
113  39.39926656 -077.98326902
110 2 0.00 70.0000 New Taxiway 4
111  39.39772578 -077.98274199
111  39.39769090 -077.98272496
111  39.39768727 -077.98273594
111  39.39752699 -077.98265407
111  39.39753063 -077.98264309
111  39.39749422 -077.98262747
111  39.39758515 -077.98231056
113  39.39781792 -077.98241567
110 2 0.00 70.0000 New Taxiway 3
111  39.39830529 -077.98266669
111  39.39829692 -077.98266326
111  39.39819959 -077.98262331
111  39.39816223 -077.98260864
111  39.39821921 -077.98240940
113  39.39835984 -077.98246902
110 2 0.00 70.0000 New Taxiway 2
111  39.39905070 -077.98169296
111  39.39909181 -077.98152036
111  39.39924365 -077.98157633
113  39.39919739 -077.98173689
110 2 0.00 70.0000 New Taxiway 1
111  39.39844471 -077.98105077
111  39.39851018 -077.98107901
111  39.39848582 -077.98117029
111  39.39825316 -077.98204229
113  39.39818769 -077.98201405
110 2 0.00 70.0000 New Taxiway 1
111  39.39868233 -077.98124530
111  39.39876113 -077.98127982
111  39.39854700 -077.98206214
111  39.39852109 -077.98215681
113  39.39844228 -077.98212230
110 2 0.00 70.0000 New Taxiway 1
111  39.39890298 -077.98130178
111  39.39898299 -077.98133316
111  39.39897386 -077.98136750
111  39.39881097 -077.98198021
111  39.39876235 -077.98216309
111  39.39868233 -077.98213171
113  39.39889533 -077.98133056
110 2 0.00 70.0000 New Taxiway 1
111  39.40828311 -077.97513520
111  39.40825219 -077.97497636
111  39.40827966 -077.97496734
111  39.40827876 -077.97496325
111  39.40832429 -077.97494831
111  39.40832519 -077.97495241
111  39.40839066 -077.97493093
111  39.40838924 -077.97492608
111  39.40843668 -077.97491052
111  39.40843811 -077.97491537
111  39.40852200 -077.97488784
111  39.40855479 -077.97504789
111  39.40852805 -077.97505649
111  39.40852898 -077.97506498
111  39.40848498 -077.97507912
111  39.40848404 -077.97507063
111  39.40841364 -077.97509325
111  39.40841458 -077.97509931
111  39.40836958 -077.97511377
113  39.40836865 -077.97510771
110 2 0.00 70.0000 New Taxiway 4
111  39.40834497 -077.97432600
111  39.40833930 -077.97429383
111  39.40833387 -077.97429539
111  39.40832225 -077.97422825
111  39.40832748 -077.97422675
111  39.40831485 -077.97415502
111  39.40830969 -077.97415573
111  39.40829712 -077.97408308
111  39.40830206 -077.97408244
111  39.40828800 -077.97400263
111  39.40828337 -077.97400370
111  39.40827326 -077.97394532
111  39.40827772 -077.97394429
111  39.40826330 -077.97386242
111  39.40825921 -077.97386412
111  39.40824877 -077.97380380
111  39.40825269 -077.97380216
111  39.40823731 -077.97371487
111  39.40823358 -077.97371612
111  39.40822292 -077.97365453
111  39.40822654 -077.97365375
111  39.40820744 -077.97354531
111  39.40823039 -077.97353924
111  39.40819921 -077.97335556
111  39.40819378 -077.97335712
111  39.40818254 -077.97329093
111  39.40818797 -077.97328937
111  39.40815801 -077.97311298
111  39.40825931 -077.97309172
111  39.40826651 -077.97313331
111  39.40827013 -077.97313253
111  39.40828320 -077.97320809
111  39.40827958 -077.97320887
111  39.40830886 -077.97337812
111  39.40831247 -077.97337734
111  39.40832593 -077.97345512
111  39.40832231 -077.97345590
111  39.40833858 -077.97354995
111  39.40834220 -077.97354839
111  39.40835315 -077.97361171
111  39.40834953 -077.97361327
111  39.40836451 -077.97369984
111  39.40836873 -077.97369906
111  39.40837834 -077.97375460
111  39.40837411 -077.97375539
111  39.40838894 -077.97384110
111  39.40839256 -077.97384032
111  39.40840297 -077.97390051
111  39.40839935 -077.97390129
111  39.40841367 -077.97398407
111  39.40841850 -077.97398251
111  39.40843074 -077.97405331
111  39.40842592 -077.97405487
111  39.40843855 -077.97412712
111  39.40844398 -077.97412478
111  39.40845671 -077.97419873
111  39.40845128 -077.97420107
113  39.40846742 -077.97429478
110 2 0.00 70.0000 New Taxiway 3
111  39.40834859 -077.97473275
111  39.40832265 -077.97458832
111  39.40844631 -077.97455709
111  39.40847164 -077.97469605
111  39.40844261 -077.97470471
111  39.40845287 -077.97476404
111  39.40846520 -077.97478291
111  39.40839485 -077.97480539
111  39.40840006 -077.97477979
113  39.40838980 -077.97472046
110 2 0.00 70.0000 New Taxiway 2
111  39.40806202 -077.97517603
111  39.40805542 -077.97514262
111  39.40805059 -077.97514418
111  39.40803872 -077.97508403
111  39.40804354 -077.97508247
111  39.40801169 -077.97492120
111  39.40800626 -077.97492276
111  39.40799579 -077.97486971
111  39.40800122 -077.97486815
111  39.40799253 -077.97482415
111  39.40807592 -077.97480392
111  39.40810521 -077.97494204
111  39.40811305 -077.97493969
111  39.40812744 -077.97500751
111  39.40811959 -077.97500985
113  39.40814888 -077.97514792
110 2 0.00 70.0000 New Taxiway 1
111  39.40763901 -077.97551890
111  39.40779709 -077.97559198
111  39.40771284 -077.97589213
111  39.40759795 -077.97583903
111  39.40764486 -077.97567153
113  39.40760166 -077.97565156
110 2 0.00 70.0000 South Concrete
111  39.39495292 -077.98656196
111  39.39497949 -077.98646670
111  39.39517138 -077.98577873
111  39.39525669 -077.98581215
111  39.39541285 -077.98582557
111  39.39563680 -077.98592627
111  39.39579494 -077.98600138
111  39.39579804 -077.98602423
111  39.39582677 -077.98603548
111  39.39564098 -077.98671773
111  39.39560430 -077.98685243
111  39.39557080 -077.98683749
111  39.39531225 -077.98776855
111  39.39482619 -077.98755180
113  39.39508474 -077.98662074
110 2 0.00 70.0000 8 concrete
111  39.39916345 -077.99396898
111  39.39953953 -077.99413680
111  39.39890682 -077.99647763
111  39.39891203 -077.99647898 3 102
112  39.39894955 -077.99678787  39.39901314 -077.99693489
111  39.39894955 -077.99678787 3 102
111  39.39905587 -077.99707922
112  39.39905587 -077.99707922  39.39912988 -077.99729639 3 102
111  39.39907672 -077.99745825 3 102
111  39.39893288 -077.99797621 3 102
111  39.39855125 -077.99780386
113  39.39815634 -077.99762551
110 2 0.00 70.0000 ANG Concrete
111  39.40752985 -077.97006730
111  39.40751728 -077.97006104
111  39.40753565 -077.96998723
111  39.40755692 -077.96984836 3 102
112  39.40713904 -077.96894907  39.40666539 -077.96866008
111  39.40713904 -077.96894907
111  39.40708640 -077.96892497
111  39.40708986 -077.96891143 3 102
111  39.40688185 -077.96881618
111  39.40687839 -077.96882973
111  39.40682711 -077.96880625
112  39.40682711 -077.96880625  39.40651321 -077.96875970 3 102
111  39.40642209 -077.96899015
111  39.40639696 -077.96904520
111  39.40636989 -077.96914403
111  39.40636120 -077.96913652
111  39.40603157 -077.97034251
111  39.40564686 -077.97017237
111  39.40618237 -077.96820951
111  39.40657385 -077.96838716 3 102
111  39.40685031 -077.96853728 3 102
111  39.40802090 -077.96905146 3 102
111  39.40648610 -077.97467790
