I
1050 Generated by WorldEditor 2.2.0r2

1   1200 0 0 CJC8 Laurie River
100 21.34 5 0 0.00 0 0 0 17  56.25154922 -101.30436182    0    0 0 0 0 0 35  56.24547890 -101.30349458    0    0 0 0 0 0
110 5 0.00 0.0000 New Taxiway 60
111  56.25230455 -101.30454426
112  56.25170114 -101.30493891  56.25119001 -101.30490483
111  56.25170114 -101.30493891
111  56.24525848 -101.30399935
112  56.24525848 -101.30399935  56.24501711 -101.30392269
112  56.24531945 -101.30276213  56.24595363 -101.30233628
111  56.24531945 -101.30276213
111  56.24893518 -101.30322473
111  56.24904876 -101.30288401
112  56.25026979 -101.30216844  56.25071939 -101.30130808
111  56.25026979 -101.30216844
111  56.25033604 -101.30229621
111  56.25054428 -101.30291803
111  56.25099862 -101.30355688
111  56.25199247 -101.30376131
114  56.25199247 -101.30376131  56.25246100 -101.30386354
130 Airport Boundary 61
111  56.25271351 -101.30549988
111  56.24411677 -101.30421060
111  56.24394013 -101.30276242
111  56.24555938 -101.30260347
111  56.24893526 -101.30269165
111  56.25038768 -101.30157896
111  56.25108445 -101.30295649
113  56.25271351 -101.30311545
14  56.25033626 -101.30206691  82.02 0 New Tower Viewpoint 30
1300  56.24915441 -101.30312486 -93.65 tie_down props Tie-Down 11
1301 A general_aviation 
1300  56.24935121 -101.30314863 -93.65 tie_down props Tie-Down 10
1301 A general_aviation 
1300  56.24954273 -101.30313199 -79.20 tie_down props Tie-Down 9
1301 A general_aviation 
1300  56.24973820 -101.30305354 -59.02 tie_down props Tie-Down 8
1301 A general_aviation 
1300  56.24990779 -101.30293657 -59.02 tie_down props Tie-Down 7
1301 A general_aviation 
1300  56.25006312 -101.30279108 -59.02 tie_down props Tie-Down 6
1301 A general_aviation 
1300  56.25027392 -101.30268267 212.44 tie_down props Tie-Down 5
1301 A general_aviation 
1300  56.25035951 -101.30293372 212.44 tie_down props Tie-Down 4
1301 A general_aviation 
1300  56.25046887 -101.30317051 227.94 tie_down props Tie-Down 3
1301 A general_aviation 
1300  56.25057823 -101.30338162 227.94 tie_down props Tie-Down 2
1301 A general_aviation 
1300  56.25074465 -101.30354138 -95.54 tie_down props Tie-Down 1
1301 A general_aviation 
18  56.25004442 -101.30226922 1 New Airport Beacon 29
19  56.25104222 -101.30342630 0 New Windsock 28
51 12320 Unicom
99
