A
1050 Generated by WorldEditor

1   1832 1 0 LPVR Vila Real
100 29.87 1 0 0.25 0 2 0 02  41.27029068 -007.72270046    0    0 2 0 0 0 20  41.27840732 -007.71927906    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 41
111  41.27666915 -007.71849353
111  41.27642862 -007.71859984
111  41.27639064 -007.71844772
113  41.27663117 -007.71834140
110 2 0.00 0.0000 New Taxiway 41
111  41.27611041 -007.71879358
111  41.27583908 -007.71891351
111  41.27579624 -007.71874191
113  41.27606757 -007.71862198
110 2 0.00 0.0000 New Taxiway 41
111  41.27707473 -007.72146392
111  41.27670449 -007.72163237
111  41.27666210 -007.72146739
113  41.27703233 -007.72129894
110 2 0.00 0.0000 New Taxiway 41
111  41.27703990 -007.72166669
111  41.27682534 -007.72176431
111  41.27673994 -007.72143198
113  41.27695449 -007.72133436
110 1 0.00 0.0000 New Taxiway 37
111  41.27583280 -007.72017677
112  41.27583280 -007.72017677  41.27598264 -007.72010699
112  41.27590937 -007.71963656  41.27577316 -007.71969418
111  41.27590937 -007.71963656
111  41.27553678 -007.71979802
111  41.27538743 -007.71917088
111  41.27537568 -007.71912152
111  41.27635195 -007.71869844
112  41.27637982 -007.71862212  41.27636636 -007.71856463
111  41.27637982 -007.71862212
111  41.27634172 -007.71846221
111  41.27654583 -007.71837387
111  41.27662947 -007.71872501
111  41.27634181 -007.71884973
111  41.27647118 -007.71939309
111  41.27630685 -007.71946430
112  41.27630685 -007.71946430  41.27604558 -007.71957894
112  41.27626562 -007.71999433  41.27639392 -007.71994573
113  41.27626562 -007.71999433
110 1 0.00 0.0000 New Taxiway 36
111  41.27669270 -007.71981576
112  41.27675012 -007.71974097  41.27678856 -007.71968109
111  41.27675012 -007.71974097
111  41.27709340 -007.71919878
112  41.27709340 -007.71919878  41.27719574 -007.71903537
111  41.27726194 -007.71900311
111  41.27749100 -007.71890384
112  41.27764869 -007.71899313  41.27778936 -007.71908730
111  41.27764869 -007.71899313
111  41.27795010 -007.71919519
112  41.27795010 -007.71919519  41.27801345 -007.71923756
111  41.27806507 -007.71923856
111  41.27789880 -007.71930870
112  41.27788008 -007.71924132  41.27783348 -007.71920857
111  41.27788008 -007.71924132
111  41.27767337 -007.71910275
112  41.27767337 -007.71910275  41.27754033 -007.71901168
112  41.27713366 -007.71927488  41.27702877 -007.71943914
111  41.27713366 -007.71927488
111  41.27686271 -007.71970283
112  41.27686271 -007.71970283  41.27683956 -007.71974178
113  41.27687274 -007.71974088
110 1 0.00 0.0000 New Taxiway 35
111  41.27665984 -007.72020058
112  41.27662373 -007.72032072  41.27664320 -007.72040950
111  41.27662373 -007.72032072
111  41.27673242 -007.72077714
112  41.27673242 -007.72077714  41.27676459 -007.72090556
111  41.27684607 -007.72087269
111  41.27690553 -007.72084692
111  41.27701086 -007.72128927
111  41.27666587 -007.72143878
111  41.27656054 -007.72099643
111  41.27663305 -007.72096501
112  41.27667188 -007.72080404  41.27664210 -007.72067404
111  41.27667188 -007.72080404
111  41.27656240 -007.72034426
112  41.27656240 -007.72034426  41.27654095 -007.72025812
113  41.27647335 -007.72027849
130 Airport Boundary 42
111  41.27021339 -007.72344679
111  41.26963819 -007.72267231
111  41.27014409 -007.72213755
111  41.27530004 -007.71987850
111  41.27511293 -007.71903942
