I
1050 Generated by WorldEditor 2.1.0r1

1   2077 1 0 GCXO Tenerife Norte-Ciudad de La Laguna
100 45.11 1 0 0.00 1 3 0 12  28.48775266 -016.35691565    0    0 3 7 0 0 30  28.47768974 -016.32658140    0    0 3 2 0 0
110 2 0.00 0.0000 New Taxiway 2
111  28.48416873 -016.35217179
112  28.48426385 -016.35222005  28.48428706 -016.35229251
111  28.48422497 -016.35232700
114  28.48412829 -016.35228066  28.48410301 -016.35220363
110 2 0.00 0.0000 New Taxiway 2
111  28.48406588 -016.35184567
112  28.48416099 -016.35189393  28.48418420 -016.35196639
111  28.48412212 -016.35200089
114  28.48402543 -016.35195454  28.48400015 -016.35187751
110 2 0.00 0.0000 New Taxiway 2
111  28.48396189 -016.35151883
112  28.48405700 -016.35156709  28.48408021 -016.35163955
111  28.48401813 -016.35167404
114  28.48392144 -016.35162769  28.48389616 -016.35155066
110 2 0.00 0.0000 New Taxiway 2
111  28.48375504 -016.35086575
112  28.48385015 -016.35091401  28.48387336 -016.35098647
111  28.48381128 -016.35102096
114  28.48371459 -016.35097462  28.48368931 -016.35089758
110 2 0.00 0.0000 New Taxiway 2
111  28.48365094 -016.35054128
112  28.48374605 -016.35058954  28.48376926 -016.35066200
111  28.48370718 -016.35069649
114  28.48361049 -016.35065014  28.48358521 -016.35057311
110 2 0.00 0.0000 New Taxiway 2
111  28.48354905 -016.35021275
112  28.48364416 -016.35026101  28.48366737 -016.35033347
111  28.48360529 -016.35036796
114  28.48350860 -016.35032162  28.48348332 -016.35024459
110 2 0.00 0.0000 New Taxiway 2
111  28.48308523 -016.35040147
112  28.48318034 -016.35044973  28.48320355 -016.35052219
111  28.48314147 -016.35055668
114  28.48304478 -016.35051033  28.48301950 -016.35043330
110 2 0.00 0.0000 New Taxiway 2
111  28.48318948 -016.35072616
112  28.48328460 -016.35077442  28.48330781 -016.35084688
111  28.48324572 -016.35088137
114  28.48314904 -016.35083503  28.48312376 -016.35075800
110 2 0.00 0.0000 New Taxiway 2
111  28.48329329 -016.35105539
112  28.48338840 -016.35110365  28.48341161 -016.35117611
111  28.48334953 -016.35121060
114  28.48325284 -016.35116426  28.48322756 -016.35108723
110 2 0.00 0.0000 New Taxiway 2
111  28.48339871 -016.35138171
112  28.48349382 -016.35142998  28.48351704 -016.35150244
111  28.48345495 -016.35153693
114  28.48335826 -016.35149058  28.48333299 -016.35141355
110 2 0.00 0.0000 New Taxiway 2
111  28.48350109 -016.35170814
112  28.48359620 -016.35175640  28.48361941 -016.35182886
111  28.48355733 -016.35186335
114  28.48346064 -016.35181700  28.48343536 -016.35173997
110 2 0.00 0.0000 New Taxiway 2
111  28.48360466 -016.35203645
