A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1      426 1 0 7622 Yvetot
100   10.97   1   0 0.00 0 0 0 7    49.63809492  000.72777251    0.00    0.00 0  0 0 0 25   49.63861718  000.73262009    0.00    0.00 0  0 0 0
100   32.92   3   0 0.00 0 0 0 8    49.63764503  000.72379483    0.00    0.00 0  0 0 0 26   49.63859871  000.73254667    0.00    0.00 0  0 0 0
110   3 0.00  80.00 DemiTourW
111  49.63781814  000.72402531 
112  49.63788014  000.72390237  49.63793176  000.72389036 
111  49.63792856  000.72404536 
111  49.63788125  000.72467097 
112  49.63793748  000.72520970  49.63792718  000.72503717 
111  49.63796372  000.72458350 
112  49.63800896  000.72390225  49.63799547  000.72381021 
112  49.63788184  000.72373791  49.63783375  000.72374774 
113  49.63778511  000.72375941 
110   1 0.00 170.00 TaxiApron
111  49.63865432  000.73251975 
111  49.63856911  000.73263113 
112  49.63867861  000.73286369  49.63872882  000.73294123 
112  49.63888789  000.73304753  49.63897650  000.73305665 
112  49.63907431  000.73295843  49.63914225  000.73285353 
111  49.63918251  000.73257122 
111  49.63927404  000.73211543 
112  49.63933677  000.73201274  49.63938289  000.73199820 
111  49.63964511  000.73191410 
111  49.63955261  000.73116813 
111  49.63922611  000.73145673 
111  49.63926797  000.73163449 
112  49.63926274  000.73178801  49.63925092  000.73187011 
112  49.63918942  000.73221976  49.63917987  000.73226522 
112  49.63910052  000.73242632  49.63906099  000.73244958 
111  49.63888074  000.73250712 
114  49.63873463  000.73255104  49.63866358  000.73256608 
111  49.63908115  000.73269271 
112  49.63903947  000.73284461  49.63900945  000.73293987 
112  49.63888774  000.73293987  49.63884605  000.73292700 
111  49.63877769  000.73285491 
112  49.63869599  000.73270043  49.63870599  000.73267726 
111  49.63874601  000.73266439 
113  49.63910283  000.73255110 
110   1 0.00  80.00 HangarPkg
111  49.63953069  000.73102324 
111  49.63964077  000.73191564 
111  49.63956214  000.73192171 
111  49.63959753  000.73241951 
111  49.63995530  000.73240130 
113  49.63979804  000.73096861 
110   4 0.00   0.00 CheminVL
112  49.63983912  000.73247808  49.63985230  000.73254348 
111  49.63985834  000.73261002 
112  49.63986974  000.73278719  49.63985845  000.73285550 
111  49.63973271  000.73286696 
111  49.63904629  000.73298683 
111  49.63896893  000.73304863 
111  49.63973825  000.73291407 
112  49.63989671  000.73281258  49.63991177  000.73273555 
111  49.63988962  000.73259916 
112  49.63986997  000.73248073  49.63986338  000.73241969 
111  49.63989073  000.73239660 
113  49.63979953  000.73239686 
15   49.63943799  000.73150022  74.25 Ramp Start
19   49.63822482  000.72758456 1 WS
19   49.63803406  000.72322985 1 WS
19   49.63848727  000.73280803 1 WS
19   49.63820964  000.73311159 1 WS


130 Airport Boundary
111  049.63764572  000.72379482
111  049.63778687  000.72375941
111  049.63788223  000.72373790
111  049.63800812  000.72390223
111  049.63979721  000.73096859
111  049.63995361  000.73240131
111  049.63989639  000.73281252
111  049.63973999  000.73291397
111  049.63896942  000.73304862
111  049.63888931  000.73304749
111  049.63867950  000.73286361
113  049.63856888  000.73263109
99
