I
1050 Generated by WorldEditor 2.1.0r1

1    154 1 0 ULOO Pskov
1302 city Pskov
1302 country Russia
1302 datum_lat 57.7819444
1302 datum_lon 028.3941667
1302 iata_code PKV
1302 icao_code ULOO
1302 state Pskov Oblast
1302 transition_alt 3200
100 50.00 3 0 0.00 0 0 0 01R  57.77653494  028.39253894    0    0 0 0 0 0 19L  57.79148112  028.40156630    0    0 0 0 0 0
100 44.00 2 0 0.00 0 1 0 01  57.77104223  028.38746916    0    0 3 1 0 1 19  57.79259387  028.40061919    0    0 3 1 0 1
102 H1  57.79513610  028.39520830 135.00 26.00 26.00 15 0 0 0.00 0
110 2 0.00 18.0000 New Taxiway 64
111  57.79315175  028.39994914
111  57.79313360  028.40003914
111  57.79314138  028.40004643
111  57.79305582  028.40053289
111  57.79307396  028.40054019
111  57.79315953  028.40005373
111  57.79316730  028.40006103
113  57.79318805  028.39996374
110 2 0.00 18.0000 New Taxiway 63
111  57.79293655  028.40118716
111  57.79272913  028.40189009
111  57.79272005  028.40188279
111  57.79269542  028.40196306
111  57.79272913  028.40199468
111  57.79275635  028.40191441
111  57.79274598  028.40190225
113  57.79295599  028.40119933
110 2 0.00 18.0000 New Taxiway 62
111  57.79192797  028.40107769
111  57.79189167  028.40102418
111  57.79186834  028.40107283
113  57.79190334  028.40112633
110 2 0.00 18.0000 New Taxiway 61
111  57.79082400  028.39997671
111  57.79069123  028.40064120
111  57.79070808  028.40065139
111  57.79075021  028.40043494
111  57.79077873  028.40045197
111  57.79078855  028.40040154
111  57.79076003  028.40038451
113  57.79083778  028.39998510
110 2 0.00 18.0000 New Taxiway 60
111  57.77220822  028.38864363
111  57.77204665  028.38950779
111  57.77206288  028.38951964
113  57.77222557  028.38865419
110 2 0.00 18.0000 New Taxiway 60
111  57.77139420  028.38814806
111  57.77128014  028.38902511
111  57.77129555  028.38903646
113  57.77141073  028.38815812
110 2 0.00 18.0000 New Taxiway 60
111  57.77057174  028.38757616
111  57.77037953  028.38840865
111  57.77038978  028.38841686
113  57.77058311  028.38758308
110 2 0.00 18.0000 New Taxiway 60
111  57.77077046  028.38635736
111  57.77068854  028.38687897
111  57.77070866  028.38688980
113  57.77079171  028.38636691
110 2 18.02 18.0200 New Taxiway 24
111  57.78956763  028.37305721
111  57.78957841  028.37323481
111  57.78952526  028.37324454
111  57.78953264  028.37335122
111  57.78954690  028.37334878
111  57.78956763  028.37364819
111  57.78962917  028.37363696
111  57.78966418  028.37418904
111  57.78968135  028.37418605
111  57.78968913  028.37429549
