I
1050 Generated by WorldEditor 2.2.0r2

1   1669 0 0 4MN4 Mulder Field Inc
1302 gui_label 2D
100 35.97 3 0 0.25 0 0 0 17  44.45939217 -096.23147286    0    0 0 0 0 0 35  44.45324800 -096.23156300    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 3
111  44.45943545 -096.23241562
111  44.45943338 -096.23224974
111  44.45955544 -096.23225077
113  44.45955556 -096.23241447
110 2 0.00 0.0000 New Taxiway 2
111  44.45972940 -096.23240733
111  44.45972719 -096.23223113
111  44.45984851 -096.23222906
113  44.45984998 -096.23240422
110 3 0.00 0.0000 New Taxiway 1
111  44.45997206 -096.23246291
111  44.45941145 -096.23246515
111  44.45939867 -096.23171473
111  44.45248612 -096.23181517
112  44.45248612 -096.23181517  44.45238748 -096.23181690
112  44.45226216 -096.23183881  44.45219743 -096.23183967
111  44.45226216 -096.23183881
111  44.45211337 -096.23184096
111  44.45211148 -096.23148065
112  44.45211148 -096.23148065  44.45211362 -096.23137120
111  44.45216130 -096.23132898
111  44.45227848 -096.23132600
111  44.45228381 -096.23133943
111  44.45898275 -096.23125275
111  44.45903069 -096.23115450
113  44.45995444 -096.23114081
130 Airport Boundary 4
111  44.45998831 -096.23246790
111  44.45940305 -096.23247473
111  44.45938381 -096.23173264
111  44.45248339 -096.23184461
111  44.45210143 -096.23188543
111  44.45209069 -096.23129449
111  44.45229551 -096.23130522
111  44.45748094 -096.23124543
111  44.45748265 -096.23117167
113  44.45997349 -096.23109474
14  44.45943807 -096.23202351  82.02 0 New Tower Viewpoint 3
1300  44.45988936 -096.23210685 179.95 tie_down props GA 01
1301 A general_aviation 
1300  44.45949080 -096.23226374  90.95 hangar props Hangar 01
1301 A none 
1300  44.45973788 -096.23232385 179.95 hangar props Hangar 02
1301 A none 
19  44.45993922 -096.23189701 0 New Windsock 1
99
