I
1050 Generated by WorldEditor 2.1.0r1

1   2620 0 0 LEOS Los Oteros
100 22.00 1 0 0.00 0 3 0 08  42.33128177 -005.45834081   34    0 1 0 0 1 26  42.33407006 -005.44409993   60    0 1 0 0 1
110 2 0.00 12.0000 New Taxiway 15
111  42.33366884 -005.45237187
111  42.33341127 -005.45221579
111  42.33382099 -005.45098135
113  42.33407919 -005.45113467
110 1 0.00 12.0000 New Taxiway 4
111  42.33410772 -005.44436815
111  42.33419006 -005.44439444
112  42.33430595 -005.44456179  42.33434212 -005.44469508
111  42.33428139 -005.44479928
113  42.33393048 -005.44527907
110 1 0.00 12.0000 New Taxiway 3
111  42.33156561 -005.45738286
111  42.33168267 -005.45795127
112  42.33168900 -005.45808469  42.33168299 -005.45815652
111  42.33168900 -005.45808469
112  42.33168900 -005.45808469  42.33168511 -005.45813122
112  42.33164710 -005.45822435  42.33162156 -005.45826744
111  42.33164710 -005.45822435
112  42.33164710 -005.45822435  42.33158213 -005.45833396
111  42.33149197 -005.45833028
113  42.33138683 -005.45830929
110 3 0.00 0.0000 New Taxiway 24
111  42.33376574 -005.44990393
111  42.33353453 -005.44976182
111  42.33340066 -005.44969120
111  42.33452550 -005.44375254
111  42.33486055 -005.44396089
111  42.33384671 -005.44900656
111  42.33411533 -005.44916509
113  42.33394999 -005.45002026
110 1 0.00 12.0000 New Taxiway 7
111  42.33294951 -005.45029904
111  42.33295341 -005.45032775 102
111  42.33296744 -005.45043101 102
111  42.33302542 -005.45047733 102
111  42.33316160 -005.45052847
112  42.33316160 -005.45052847  42.33323323 -005.45055064 102
111  42.33324573 -005.45047940 102
111  42.33340066 -005.44969120
111  42.33353453 -005.44976182
111  42.33376574 -005.44990393
111  42.33394999 -005.45002026
111  42.33366604 -005.45086866
111  42.33382667 -005.45096426
111  42.33382099 -005.45098135
111  42.33341127 -005.45221579
111  42.33338039 -005.45219825
111  42.33328820 -005.45247251
111  42.33289574 -005.45226600 102
111  42.33314013 -005.45102492 102
112  42.33308452 -005.45090653  42.33302347 -005.45086998
111  42.33308452 -005.45090653 102
111  42.33293801 -005.45085907 102
111  42.33288341 -005.45086650 102
111  42.33283500 -005.45093158
113  42.33282312 -005.45094755
130 Airport Boundary 6
111  42.33175000 -005.45920884
111  42.33077410 -005.45855105
111  42.33239998 -005.45024630
111  42.33384933 -005.44325470
111  42.33488246 -005.44396397
111  42.33388422 -005.44897734
111  42.33472444 -005.44950595
111  42.33373200 -005.45246088
111  42.33330495 -005.45390726
111  42.33264065 -005.45633067
113  42.33202533 -005.45840480
120 Linear Feature 12
111  42.33374070 -005.44582880 1
111  42.33383864 -005.44532314 1
112  42.33386717 -005.44525778  42.33388909 -005.44522531
111  42.33386717 -005.44525778 1
111  42.33422207 -005.44477578 1
112  42.33424213 -005.44456812  42.33420288 -005.44444734
111  42.33424213 -005.44456812
