I
1050 Generated by WorldEditor 2.3.0r2

1   1410 0 0 CBF9 Mabel Lake
100 30.48 3 0 0.00 0 0 0 16  50.61224802 -118.73167848    0    0 0 0 0 0 34  50.60394054 -118.73168766    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 576
111  50.60683442 -118.72995754
111  50.60669278 -118.72995462
111  50.60669324 -118.72974895
113  50.60683487 -118.72975187
110 1 0.00 0.0000 New Taxiway 574
111  50.60461370 -118.73133353
112  50.60461370 -118.73133353  50.60461087 -118.73136899
111  50.60458824 -118.73137389
111  50.60393933 -118.73137145
111  50.60393733 -118.73195427
112  50.60393733 -118.73195427  50.60393836 -118.73197747
111  50.60395418 -118.73198321
111  50.60521776 -118.73198410
112  50.60521776 -118.73198410  50.60523822 -118.73198532
111  50.60524636 -118.73201803
111  50.60524866 -118.73210953
111  50.60522463 -118.73210953
111  50.60522354 -118.73204284
112  50.60520972 -118.73202157  50.60520120 -118.73202109
111  50.60520972 -118.73202157
111  50.60393059 -118.73202160
112  50.60391555 -118.73200277  50.60391490 -118.73198903
111  50.60391555 -118.73200277
113  50.60391960 -118.73134028
110 1 0.00 0.0000 New Taxiway 573
111  50.61227934 -118.73216620
111  50.61233668 -118.73211412
112  50.61233668 -118.73211412  50.61235532 -118.73209082
111  50.61236156 -118.73202315
111  50.61235655 -118.73172143
111  50.61236544 -118.73157438
111  50.61236599 -118.73148248
112  50.61236599 -118.73148248  50.61235841 -118.73134686
111  50.61228164 -118.73121074
111  50.61049799 -118.73121724
111  50.61002334 -118.73098726
111  50.61004549 -118.73089176
111  50.61049086 -118.73110483
112  50.61059452 -118.73111572  50.61065199 -118.73111633
111  50.61059452 -118.73111572
111  50.61223783 -118.73111217
112  50.61223783 -118.73111217  50.61226434 -118.73111471
111  50.61228448 -118.73114263
111  50.61235580 -118.73131068
112  50.61235580 -118.73131068  50.61238912 -118.73139996
112  50.61238579 -118.73157116  50.61238232 -118.73162952
111  50.61238579 -118.73157116
111  50.61237646 -118.73169090
111  50.61238246 -118.73203120
112  50.61238246 -118.73203120  50.61238182 -118.73210161
111  50.61235646 -118.73213729
113  50.61228952 -118.73220096
110 2 0.00 0.0000 New Taxiway 572
111  50.60683505 -118.72967173
111  50.60675155 -118.72967173
111  50.60675199 -118.72947514
113  50.60683549 -118.72947514
110 2 0.00 0.0000 New Taxiway 571
111  50.60923559 -118.73210856
111  50.60923681 -118.73229655
111  50.60909951 -118.73229658
113  50.60909829 -118.73210859
110 2 0.00 0.0000 New Taxiway 571
111  50.61104267 -118.73210916
111  50.61104493 -118.73230998
111  50.61089924 -118.73231002
113  50.61089698 -118.73210920
110 2 0.00 0.0000 New Taxiway 571
111  50.61086785 -118.73210921
111  50.61086852 -118.73233397
111  50.61072411 -118.73233400
113  50.61072344 -118.73210924
110 2 0.00 0.0000 New Taxiway 571
111  50.61015091 -118.73210938
111  50.61015158 -118.73233414
111  50.61000761 -118.73233418
113  50.61000695 -118.73210942
110 2 0.00 0.0000 New Taxiway 571
111  50.60996362 -118.73210943
111  50.60996429 -118.73233418
111  50.60982033 -118.73233422
113  50.60981966 -118.73210946
110 2 0.00 0.0000 New Taxiway 571
111  50.60978034 -118.73210947
111  50.60978100 -118.73233423
111  50.60963637 -118.73233426
113  50.60963571 -118.73210951
110 2 0.00 0.0000 New Taxiway 571
111  50.60943154 -118.73210956
111  50.60943220 -118.73233431
111  50.60928624 -118.73233435
113  50.60928557 -118.73210959
110 2 0.00 0.0000 New Taxiway 571
111  50.60906230 -118.73210860
111  50.60906293 -118.73232054
111  50.60891763 -118.73232058
113  50.60891700 -118.73210863
110 2 0.00 0.0000 New Taxiway 571
111  50.60888834 -118.73210864
111  50.60888967 -118.73230503
111  50.60875304 -118.73230507
113  50.60875171 -118.73210867
110 2 0.00 0.0000 New Taxiway 571
111  50.60834258 -118.73210877
111  50.60834323 -118.73232762
111  50.60819727 -118.73232766
113  50.60819662 -118.73210881
110 2 0.00 0.0000 New Taxiway 571
111  50.60870239 -118.73210869
111  50.60870305 -118.73233344
111  50.60855776 -118.73233347
113  50.60855709 -118.73210872
110 2 0.00 0.0000 New Taxiway 571
111  50.60780803 -118.73210890
111  50.60780870 -118.73233365
111  50.60766474 -118.73233369
113  50.60766407 -118.73210894
110 2 0.00 0.0000 New Taxiway 571
111  50.60761928 -118.73210895
111  50.60761995 -118.73233369
111  50.60747918 -118.73233373
113  50.60747852 -118.73210898
110 2 0.00 0.0000 New Taxiway 571
111  50.60745132 -118.73210899
111  50.60745199 -118.73233373
111  50.60730643 -118.73233377
113  50.60730576 -118.73210903
110 2 0.00 0.0000 New Taxiway 570
111  50.60387481 -118.73035780
111  50.60397145 -118.73034117
111  50.60398725 -118.73059551
111  50.60389061 -118.73061213
113  50.60387998 -118.73044104
110 3 0.00 0.0000 New Taxiway 569
111  50.61158754 -118.73210903
111  50.61104267 -118.73210916
111  50.61089698 -118.73210920
111  50.61086785 -118.73210921
111  50.61072344 -118.73210924
111  50.61015091 -118.73210938
111  50.61000695 -118.73210942
111  50.60996362 -118.73210943
111  50.60981966 -118.73210946
111  50.60978034 -118.73210947
111  50.60963571 -118.73210951
111  50.60943154 -118.73210956
111  50.60928557 -118.73210959
111  50.60923559 -118.73210856
111  50.60909829 -118.73210859
111  50.60906230 -118.73210860
111  50.60891700 -118.73210863
111  50.60888834 -118.73210864
111  50.60875171 -118.73210867
111  50.60870239 -118.73210869
111  50.60855709 -118.73210872
111  50.60834258 -118.73210877
111  50.60819662 -118.73210881
111  50.60780803 -118.73210890
111  50.60766407 -118.73210894
111  50.60761928 -118.73210895
111  50.60747852 -118.73210898
111  50.60745132 -118.73210899
111  50.60730576 -118.73210903
111  50.60524866 -118.73210953
111  50.60522463 -118.73210953
111  50.60518412 -118.73210954
111  50.60516903 -118.73207771
111  50.60433735 -118.73207790
111  50.60433868 -118.73226746
111  50.60425201 -118.73226734
111  50.60424944 -118.73225316
112  50.60425201 -118.73218479  50.60423541 -118.73213963
111  50.60425201 -118.73218479
111  50.60423144 -118.73219340
112  50.60421798 -118.73217171  50.60420806 -118.73216536
111  50.60421798 -118.73217171
111  50.60412189 -118.73213058
112  50.60411356 -118.73210870  50.60410813 -118.73210484
111  50.60411356 -118.73210870
111  50.60398470 -118.73204832
111  50.60393194 -118.73205445
112  50.60393194 -118.73205445  50.60390140 -118.73206407
111  50.60386529 -118.73210958
111  50.60378975 -118.73210870
111  50.60378975 -118.73197481
111  50.60380031 -118.73191530
111  50.60388195 -118.73186192
111  50.60390417 -118.73176916
111  50.60389084 -118.73172365
111  50.60389473 -118.73162389
