I
1100 Generated by WorldEditor 1.6.0r1

1    550 1 0 TRPG Montserrat - John A Osborne
100 20.12 1 0 0.00 1 2 0 10  16.79134083 -062.19616568   28    0 2 0 0 2 28  16.79134614 -062.19061561   30    0 2 0 0 2
102 H1  16.79239863 -062.19320715  90.55 6.69 7.11 1 0 0 0.00 1
110 2 0.00 0.0000 New Taxiway 13
111  16.79220471 -062.19424968 20
112  16.79243723 -062.19424719  16.79250640 -062.19424220 20
111  16.79253740 -062.19415626
111  16.79211408 -062.19415875
111  16.79210514 -062.19331613
112  16.79204372 -062.19326008  16.79200298 -062.19326008
111  16.79204372 -062.19326008
112  16.79204372 -062.19326008  16.79201419 -062.19326008
111  16.79170262 -062.19326431
111  16.79147612 -062.19326693
111  16.79141649 -062.19332049
111  16.79141649 -062.19310002
111  16.79147492 -062.19316355
111  16.79170262 -062.19316591
111  16.79232514 -062.19316604
111  16.79234422 -062.19314486
111  16.79234661 -062.19307511
111  16.79240861 -062.19307262
111  16.79240742 -062.19304895
111  16.79254575 -062.19304771
111  16.79254091 -062.19315881 20
111  16.79260179 -062.19315981 20
111  16.79260060 -062.19369789
111  16.79263221 -062.19369915
111  16.79263339 -062.19380762
111  16.79263196 -062.19392570
111  16.79263053 -062.19404976
111  16.79267950 -062.19404976
111  16.79267950 -062.19414733
111  16.79260101 -062.19415278 20
112  16.79248732 -062.19429950  16.79240623 -062.19430697
111  16.79248732 -062.19429950
112  16.79248732 -062.19429950  16.79244523 -062.19430338 20
111  16.79231226 -062.19430886
113  16.79220989 -062.19431183 20
110 1 0.00 0.0000 New Taxiway 12
111  16.79263053 -062.19404976
111  16.79263196 -062.19392570
111  16.79267059 -062.19392570
111  16.79266773 -062.19380762
111  16.79263339 -062.19380762
111  16.79263221 -062.19369915
111  16.79263196 -062.19367609
111  16.79281083 -062.19368057
111  16.79281512 -062.19404976
113  16.79267950 -062.19404976
110 1 0.00 0.0000 New Taxiway 11
111  16.79216082 -062.19468377
111  16.79216201 -062.19458911
111  16.79231703 -062.19459658
113  16.79231226 -062.19468502
110 1 0.00 0.0000 New Taxiway 10
111  16.79225502 -062.19439106
111  16.79225502 -062.19442220
111  16.79217990 -062.19442843
111  16.79217632 -062.19439356
111  16.79214651 -062.19439729
111  16.79214055 -062.19431384
111  16.79220989 -062.19431183
111  16.79231226 -062.19430886
113  16.79231942 -062.19438733
110 1 0.00 0.0000 28 Turning Area
111  16.79142842 -062.19089187
111  16.79142856 -062.19061801
112  16.79148899 -062.19066642  16.79148926 -062.19072394
114  16.79148724 -062.19081082  16.79148694 -062.19086901
110 1 0.00 90.0000 10 Turning Area
111  16.79126397 -062.19616471
112  16.79118125 -062.19608526  16.79118125 -062.19602719
112  16.79118113 -062.19596968  16.79118101 -062.19591217
113  16.79126388 -062.19590331
130 Airport Boundary 2
111  16.79164978 -062.19619045
111  16.79107073 -062.19618559
111  16.79105981 -062.19053179
111  16.79167861 -062.19051915
111  16.79190131 -062.19101471
111  16.79190410 -062.19247919
111  16.79253125 -062.19247716
111  16.79295120 -062.19283375
111  16.79304028 -062.19310828
111  16.79313133 -062.19332718
111  16.79313515 -062.19472847
111  16.79189171 -062.19534545
113  16.79165148 -062.19531096
120 Linear Feature 19
111  16.79170262 -062.19316591 54
115  16.79170262 -062.19326431
120 Linear Feature 18
111  16.79260101 -062.19369989 20
115  16.79260101 -062.19415278
120 Linear Feature 17
111  16.79253740 -062.19415626 20
115  16.79254091 -062.19315881
120 Linear Feature 16
111  16.79214286 -062.19356667 51
112  16.79219111 -062.19360819  16.79222688 -062.19360922 51
111  16.79235706 -062.19361234 51
112  16.79240277 -062.19354591  16.79241370 -062.19348259 52
112  16.79235010 -062.19344211  16.79232129 -062.19344419 52
112  16.79219806 -062.19344626  16.79216328 -062.19344522 52
115  16.79214341 -062.19339436
120 Linear Feature 15
111  16.79206989 -062.19321290 51
112  16.79214242 -062.19328019  16.79214440 -062.19333935
111  16.79214242 -062.19328019
112  16.79214242 -062.19328019  16.79214270 -062.19328849 51
111  16.79214287 -062.19339333 51
111  16.79214286 -062.19356667 51
111  16.79214242 -062.19377426 51
112  16.79214043 -062.19393515  16.79214142 -062.19399327 51
111  16.79220900 -062.19400261 51
111  16.79236302 -062.19399639 51
112  16.79241370 -062.19391231  16.79241469 -062.19384796 52
111  16.79237991 -062.19382616 52
112  16.79219011 -062.19382512  16.79215037 -062.19382927 52
115  16.79214242 -062.19377426
120 Linear Feature 14
111  16.79147748 -062.19321589 51
111  16.79206989 -062.19321290 51
115  16.79236633 -062.19320727
120 Lead in Line
111  16.79134690 -062.19348976 51
112  16.79134624 -062.19333294  16.79134702 -062.19327376 51
116  16.79147748 -062.19321589  16.79152016 -062.19321637
120 Lead in Line
111  16.79134702 -062.19297476 51
112  16.79134636 -062.19311324  16.79134714 -062.19316550 51
116  16.79147748 -062.19321589  16.79152016 -062.19321547
21  16.79114354 -062.19266229 1 270.0000 3.00 xxx VASI
