I
1050 Generated by WorldEditor 2.1.0r1

1    295 0 0 LELG Los Garranchos
100 15.00 1 0 0.00 0 0 0 06  37.84545212 -000.88175351  112    0 1 0 0 0 24  37.84792862 -000.87736373   91    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 109
111  37.84489906 -000.88151407
111  37.84477386 -000.88144998
111  37.84482553 -000.88127177
111  37.84485282 -000.88123925
111  37.84492512 -000.88127859
111  37.84496643 -000.88130107
113  37.84490386 -000.88149888
110 2 0.00 0.0000 New Taxiway 108
111  37.84549484 -000.88097143
111  37.84522729 -000.88073551
111  37.84536012 -000.88049391
113  37.84562613 -000.88072921
110 2 0.00 0.0000 New Taxiway 108
111  37.84524161 -000.88140772
111  37.84495948 -000.88120204
111  37.84509855 -000.88089550
113  37.84538053 -000.88110094
110 1 0.00 0.0000 New Taxiway 107
111  37.84546532 -000.88167534
111  37.84550712 -000.88180292
111  37.84549831 -000.88181964
111  37.84533226 -000.88173843
111  37.84535533 -000.88171299
111  37.84490386 -000.88149888
111  37.84496643 -000.88130107
111  37.84492512 -000.88127859
111  37.84495948 -000.88120204
111  37.84524161 -000.88140772
111  37.84538053 -000.88110094
111  37.84509855 -000.88089550
111  37.84522729 -000.88073551
111  37.84549484 -000.88097143
111  37.84562613 -000.88072921
111  37.84536012 -000.88049391
111  37.84539352 -000.88043316
113  37.84588326 -000.88085648
110 1 0.00 0.0000 New Taxiway 106
111  37.84796948 -000.87741193
111  37.84810608 -000.87754379
111  37.84803535 -000.87763883
112  37.84795777 -000.87768326  37.84791085 -000.87769000
112  37.84784790 -000.87771008  37.84781997 -000.87772431
113  37.84778961 -000.87774716
130 Airport Boundary 105
111  37.84601163 -000.88185305
111  37.84589570 -000.88197811
111  37.84571679 -000.88202161
111  37.84463224 -000.88149347
111  37.84478558 -000.88100489
111  37.84527486 -000.88030144
111  37.84574014 -000.88068940
111  37.84775488 -000.87714551
111  37.84834966 -000.87772098
111  37.84803862 -000.87815266
111  37.84796276 -000.87841729
113  37.84764986 -000.87887680
120 Linear Feature 110
111  37.84535750 -000.88170996 1
115  37.84584465 -000.88082629
120 Linear Feature 111
111  37.84545485 -000.88107987 1
115  37.84518488 -000.88086651
14  37.84573617 -000.88075160   9.84 0 New Tower Viewpoint 24
1300  37.84562482 -000.88104515 325.45 tie_down props Tie Down 04
1301 A general_aviation 
1300  37.84553536 -000.88121129 325.45 tie_down props Tie Down 03
1301 A general_aviation 
1300  37.84545092 -000.88136898 325.45 tie_down props Tie Down 02
1301 A general_aviation 
1300  37.84536218 -000.88153572 325.45 tie_down props Tie Down 01
1301 A general_aviation 
19  37.84567210 -000.88180343 0 New Windsock 25
99
