A
1000 Generated by WorldEditor

1    176 1 0 LFEA Belle Ile
100 24.99 1 0 0.00 0 0 0 06  47.32381228 -003.20503022    0    0 1 0 0 0 24  47.32677228 -003.19738622    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 82
111  47.32520895 -003.19797553 20
111  47.32510727 -003.19805736
111  47.32483939 -003.19797890
113  47.32513766 -003.19775483 20
110 2 0.00 0.0000 New Taxiway 82
111  47.32434503 -003.19854032 20
111  47.32423166 -003.19863860 20
111  47.32416126 -003.19846214 20
113  47.32427821 -003.19836791 20
110 2 0.00 0.0000 New Taxiway 82
111  47.32477677 -003.19833497 20
111  47.32461734 -003.19847308
111  47.32453110 -003.19826889
113  47.32469692 -003.19813436
110 2 0.00 0.0000 New Taxiway 82
111  47.32431347 -003.19940930
111  47.32411339 -003.19958339
111  47.32392320 -003.19911629
113  47.32412414 -003.19895067 20
110 1 0.00 0.0000 New Taxiway 81
111  47.32431347 -003.19940930
111  47.32412414 -003.19895067
111  47.32426088 -003.19882136
111  47.32421296 -003.19866963
111  47.32423166 -003.19863860
111  47.32416126 -003.19846214
111  47.32427821 -003.19836791
111  47.32434503 -003.19854032
111  47.32449813 -003.19857308
111  47.32461734 -003.19847308
111  47.32477677 -003.19833497
111  47.32510727 -003.19805736
111  47.32520895 -003.19797553
111  47.32513766 -003.19775483
111  47.32526505 -003.19765828
111  47.32537959 -003.19788587
112  47.32554397 -003.19808478  47.32558838 -003.19813478
111  47.32607890 -003.19863480
112  47.32620268 -003.19854495  47.32626079 -003.19841997
111  47.32623019 -003.19859104
111  47.32620332 -003.19867032
111  47.32611988 -003.19882888
112  47.32605123 -003.19898118  47.32604699 -003.19898118
111  47.32602076 -003.19898156
112  47.32602372 -003.19874751  47.32597281 -003.19868075
111  47.32555133 -003.19824781
112  47.32538614 -003.19820555  47.32531489 -003.19827173
111  47.32475476 -003.19874001
114  47.32459057 -003.19894743  47.32453117 -003.19906009
130 Airport Boundary 2
111  47.32358646 -003.20749446
111  47.32289095 -003.20757872
111  47.32271288 -003.20580425
111  47.32416178 -003.20211993
111  47.32395940 -003.20178626
111  47.32417963 -003.20069743
111  47.32331308 -003.19918443
111  47.32537634 -003.19684312
111  47.32706799 -003.19527831
113  47.32804751 -003.19622390
120 Linear Feature 1
111  47.32543800 -003.19806600 51
112  47.32527958 -003.19815299  47.32516252 -003.19826087 51
115  47.32469125 -003.19864543
120 Centreline for Taxi
112  47.32609681 -003.19874535  47.32605681 -003.19870535 51
112  47.32593500 -003.19856700  47.32589600 -003.19852700 51
112  47.32581700 -003.19844700  47.32577700 -003.19840800 51
112  47.32567000 -003.19830100  47.32563100 -003.19826100 51
112  47.32555200 -003.19818000  47.32551200 -003.19814000 51
116  47.32543800 -003.19806600  47.32540300 -003.19803100
120 Taxi hold short
111  47.32585800 -003.19854500 54
115  47.32589400 -003.19846900
20  47.32591500 -003.19837800 325.6700 0 3 {@R}06-24
14  47.32502508 -003.19799393  32.81 0 Belle Ile Tower
1300  47.32428093 -003.19856797 300.58 misc turboprops|props|helos Fuel
1300  47.32420201 -003.19898637  32.83 misc turboprops|props|helos GA Ramp 1
1300  47.32426312 -003.19913083  33.72 misc turboprops|props|helos GA Ramp 2
1300  47.32432926 -003.19928056  28.61 misc turboprops|props|helos GA Ramp 3
1300  47.32455901 -003.19860442 344.19 misc turboprops|props|helos GA Ramp 4
1300  47.32464878 -003.19852220 344.19 misc turboprops|props|helos GA Ramp 5
1300  47.32473487 -003.19844926 344.19 misc turboprops|props|helos GA Ramp 5
1300  47.32482131 -003.19837441 344.19 misc turboprops|props|helos GA Ramp 6
1300  47.32490697 -003.19830579 344.19 misc turboprops|props|helos GA Ramp 7
1300  47.32499312 -003.19823163 344.19 misc turboprops|props|helos GA Ramp 8
1300  47.32507929 -003.19815839 344.19 misc turboprops|props|helos GA Ramp 9
18  47.32566102 -003.19712890 1 New Airport Beacon 13
19  47.32566009 -003.19723928 0 New Windsock 11
19  47.32716000 -003.19602300 0 Windsock
51 11875 BELLE ILE
99
