I
1130 Generated by WorldEditor 2.2.0r2

1    271 0 0 00XA Weeski Ranch
100 18.29 3 0 0.00 0 0 0 15  30.22929835 -096.01712930    0    0 0 0 0 0 33  30.21903479 -096.01131133    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 11
111  30.22362896 -096.01383090
111  30.22395561 -096.01388622
112  30.22430217 -096.01391849  30.22439899 -096.01393983
112  30.22470451 -096.01407063  30.22479672 -096.01411332
112  30.22547269 -096.01451005  30.22558104 -096.01457941
112  30.22604694 -096.01497883  30.22611841 -096.01504820
113  30.22623018 -096.01531076
110 3 0.00 0.0000 New Taxiway 10
111  30.22929368 -096.01703818
112  30.22933518 -096.01673402  30.22934671 -096.01668066
112  30.22959106 -096.01657127  30.22966483 -096.01652058
111  30.22982390 -096.01634449
112  30.23009592 -096.01643254  30.23021579 -096.01663531
111  30.23003137 -096.01683808
112  30.22970172 -096.01708087  30.22961873 -096.01711555
113  30.22926372 -096.01721160
130 Airport Boundary 12
111  30.22364156 -096.01374436
111  30.22444005 -096.01381608
111  30.22564465 -096.01450914
111  30.22627105 -096.01512254
111  30.22905143 -096.01667801
111  30.22932677 -096.01662225
111  30.22936118 -096.01618409
111  30.22987745 -096.01617613
111  30.23012525 -096.01623189
111  30.23024915 -096.01647089
111  30.23020097 -096.01686124
111  30.22980173 -096.01721974
111  30.22930612 -096.01742683
111  30.22893441 -096.01724360
111  30.22800514 -096.01679749
111  30.22613971 -096.01563437
111  30.22538941 -096.01533959
111  30.22361348 -096.01431993
111  30.22228496 -096.01347552
111  30.21978901 -096.01203873
111  30.21903087 -096.01166699
111  30.21881577 -096.01135167
111  30.21880143 -096.01087594
113  30.21905478 -096.01088700
1300  30.22503980 -096.01440774 219.29 tie_down props Apron 2
1301 A none 
1300  30.22983759 -096.01673393 219.29 tie_down props Apron 1
1301 A none 
99
