A
1050 Generated by WorldEditor 2.2.0r2

1   7679 0 0 KGUC Gunnison-Crested Butte Regional
100 45.72 5 0 0.00 0 0 1 17  38.53282603 -106.93939684    0    0 0 0 0 0 35  38.52489060 -106.93937826    0    0 0 0 0 0
100 45.72 1 0 0.00 0 3 1 06  38.53243352 -106.94507657    0  335 3 9 0 0 24  38.53973723 -106.91356612    0   60 2 0 0 2
110 2 0.00 0.0000 New Taxiway 34
111  38.53436845 -106.94507384
111  38.53447830 -106.94511446
111  38.53443355 -106.94530117
113  38.53432553 -106.94526109
110 2 0.00 0.0000 New Taxiway 33
111  38.53447528 -106.94466591
111  38.53461223 -106.94473971
111  38.53453402 -106.94498800
113  38.53439584 -106.94492018
110 2 0.00 0.0000 New Taxiway 32
111  38.53403391 -106.94642784
111  38.53420615 -106.94649306
111  38.53414985 -106.94672733
111  38.53400979 -106.94667277
111  38.53400690 -106.94668505
111  38.53397328 -106.94667221
111  38.53397689 -106.94665994
111  38.53387025 -106.94661992
111  38.53420726 -106.94521391
111  38.53432553 -106.94526109
111  38.53431372 -106.94531117
111  38.53450512 -106.94538912
111  38.53445768 -106.94558455
111  38.53426658 -106.94551124
111  38.53425489 -106.94556085
111  38.53444508 -106.94563706
111  38.53439591 -106.94583356
111  38.53423945 -106.94577339
111  38.53423591 -106.94579026
111  38.53420169 -106.94577711
111  38.53419289 -106.94581508
111  38.53441122 -106.94589800
111  38.53434778 -106.94614927
111  38.53417729 -106.94608479
111  38.53417298 -106.94610075
111  38.53412769 -106.94608266
111  38.53411751 -106.94612336
111  38.53428197 -106.94618529
111  38.53422471 -106.94642410
111  38.53410619 -106.94638132
111  38.53410213 -106.94640095
113  38.53404503 -106.94638059
110 2 0.00 0.0000 New Taxiway 31
111  38.53512684 -106.94419112
111  38.53506262 -106.94440388
112  38.53506262 -106.94440388  38.53504634 -106.94444917
111  38.53500072 -106.94443344
111  38.53481800 -106.94433905
112  38.53481800 -106.94433905  38.53479720 -106.94433188
111  38.53478295 -106.94435526
111  38.53468600 -106.94466322
112  38.53468600 -106.94466322  38.53467737 -106.94468308
111  38.53465169 -106.94467370
111  38.53442476 -106.94456066
111  38.53436150 -106.94452914
112  38.53434774 -106.94448133  38.53435527 -106.94444650
111  38.53434774 -106.94448133
113  38.53453083 -106.94389714
110 2 0.00 0.0000 New Taxiway 30
111  38.53507507 -106.94347233
111  38.53504967 -106.94355726
111  38.53535247 -106.94371171
111  38.53523165 -106.94408069
111  38.53517983 -106.94405325
111  38.53478845 -106.94384605
111  38.53484641 -106.94366450
111  38.53487684 -106.94356919
111  38.53490391 -106.94348441
111  38.53502400 -106.94354560
113  38.53504912 -106.94345843
110 2 0.00 0.0000 New Taxiway 29
111  38.53520122 -106.94337744
111  38.53526292 -106.94331116
111  38.53546862 -106.94342225
111  38.53539528 -106.94364710
111  38.53518392 -106.94353068
111  38.53518202 -106.94345695
111  38.53498395 -106.94335017
111  38.53499430 -106.94331297
113  38.53500562 -106.94327227
110 2 0.00 0.0000 New Taxiway 28
111  38.53533911 -106.94306192
111  38.53554845 -106.94316898
111  38.53548050 -106.94338308
111  38.53527381 -106.94327722
113  38.53530764 -106.94316570
110 2 0.00 0.0000 New Taxiway 27
111  38.53563637 -106.94290271
111  38.53557193 -106.94310293
111  38.53535823 -106.94299887
111  38.53541813 -106.94280137
111  38.53529668 -106.94273627
111  38.53523454 -106.94267443
111  38.53534297 -106.94233269
111  38.53549085 -106.94241117
111  38.53569943 -106.94252038
111  38.53559626 -106.94285143
111  38.53543560 -106.94276791
113  38.53542600 -106.94279836
110 2 0.00 0.0000 New Taxiway 26
111  38.53441481 -106.94326550
111  38.53448999 -106.94293142
111  38.53501817 -106.94313183
113  38.53493837 -106.94346457
110 2 0.00 0.0000 New Taxiway 25
112  38.53507336 -106.94204843  38.53507167 -106.94203701
112  38.53508887 -106.94203136  38.53509745 -106.94203520
114  38.53509268 -106.94205707  38.53508579 -106.94206465
110 2 0.00 0.0000 New Taxiway 24
111  38.53539842 -106.94198789
111  38.53544019 -106.94200588
111  38.53546878 -106.94190154
111  38.53549089 -106.94181908
111  38.53552956 -106.94183569
111  38.53555537 -106.94173993
111  38.53563621 -106.94177706
111  38.53560924 -106.94187383
111  38.53562987 -106.94188384
111  38.53555973 -106.94213553
113  38.53538162 -106.94205047
110 2 0.00 0.0000 New Taxiway 23
111  38.53539991 -106.94142553
111  38.53543889 -106.94144167
111  38.53542287 -106.94150102
113  38.53538602 -106.94148549
110 2 0.00 0.0000 New Taxiway 22
111  38.53501388 -106.94056127
111  38.53509174 -106.94022605
111  38.53561798 -106.94042855
111  38.53553832 -106.94075691
113  38.53512286 -106.94060193
110 2 0.00 0.0000 New Taxiway 21
111  38.53570374 -106.94059706
111  38.53576700 -106.94059617
111  38.53576685 -106.94065445
113  38.53570425 -106.94065217
110 2 0.00 0.0000 New Taxiway 20
111  38.53582995 -106.93988705
111  38.53604718 -106.93997263
111  38.53598185 -106.94024722
111  38.53580116 -106.94017406
113  38.53576565 -106.94016123
110 2 0.00 0.0000 New Taxiway 19
111  38.53614747 -106.93597304
