I
1050 Generated by WorldEditor 2.2.0r2

1     75 0 0 GQNK Kaedi
100 45.00 1 0 0.25 0 0 0 07  16.15373322 -013.51765557    0    0 1 0 0 0 25  16.16520360 -013.49748251    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  16.15601488 -013.50987203
111  16.15654587 -013.50893783
111  16.15710464 -013.50927616
111  16.15704961 -013.50943251
112  16.15704961 -013.50943251  16.15700214 -013.50960597
111  16.15713281 -013.50971166
111  16.15733804 -013.50983945
111  16.15745293 -013.50991099
112  16.15745293 -013.50991099  16.15779243 -013.51003760
111  16.15800631 -013.50975410
111  16.15749792 -013.51064724
112  16.15749792 -013.51064724  16.15760180 -013.51033095
111  16.15735369 -013.51009857
111  16.15723290 -013.51002587
111  16.15698837 -013.50987871
112  16.15698837 -013.50987871  16.15680408 -013.50981863
111  16.15669231 -013.50995098
113  16.15654454 -013.51020290
130 Airport Boundary
111  16.15656051 -013.51077329
111  16.15468427 -013.50965653
111  16.15648377 -013.50653071
111  16.15796233 -013.50742727
111  16.16419600 -013.49649057
111  16.16488122 -013.49624208
111  16.16538497 -013.49586753
111  16.16560762 -013.49584426
111  16.16678254 -013.49655645
111  16.16234476 -013.50437236
111  16.16310805 -013.50484217
111  16.15458959 -013.51985119
113  16.15225999 -013.51842615
120 Linear Feature 7
111  16.15644772 -013.50952045 1
115  16.15648905 -013.50944972
120 Linear Feature 7
111  16.15656191 -013.50951872 1
115  16.15662909 -013.50949443
120 Linear Feature 7
111  16.15626946 -013.50999557 1
115  16.15633665 -013.50997127
120 Linear Feature 7
111  16.15637021 -013.50981527 1
115  16.15643170 -013.50977788
120 Linear Feature 6
111  16.15632195 -013.50977924 1
111  16.15638083 -013.50995576 1
115  16.15641553 -013.51005981
120 Linear Feature 6
111  16.15661194 -013.50929995 1
111  16.15667158 -013.50947875 1
115  16.15670552 -013.50958052
120 Linear Feature 5
111  16.15635077 -013.50957542 1
111  16.15661909 -013.50974122
112  16.15661909 -013.50974122  16.15668822 -013.50977907 1
111  16.15677809 -013.50976684 1
111  16.15684934 -013.50975178
112  16.15684934 -013.50975178  16.15695922 -013.50973440 1
115  16.15708291 -013.50980613
120 Linear Feature 4
111  16.15723290 -013.51002587 4
115  16.15733804 -013.50983945
120 Linear Feature 3
112  16.15762147 -013.51014039  16.15791745 -013.51025203 1
111  16.15807371 -013.51001242 1
115  16.15836198 -013.50950493
120 Linear Feature 2
111  16.15744731 -013.51111520 1
111  16.15773026 -013.51061706
112  16.15773026 -013.51061706  16.15786367 -013.51032231 1
111  16.15762147 -013.51014039 1
111  16.15708291 -013.50980613
112  16.15708291 -013.50980613  16.15694179 -013.50969117 1
111  16.15693228 -013.50952445 1
111  16.15693607 -013.50937951
112  16.15693607 -013.50937951  16.15692665 -013.50928464 1
111  16.15684526 -013.50922389 1
115  16.15664612 -013.50910346
14  16.15598874 -013.50954826  25.00 0 Tower
1300  16.15667158 -013.50947875 289.30 gate jets|turboprops Stand 2
1301 C airline 
1300  16.15638083 -013.50995576 289.30 gate jets|turboprops Stand 1
1301 C airline 
99
