I
1050 Generated by WorldEditor 2.1.0r1

1    105 0 0 06FD Grass Roots Airpark
100 37.80 3 0 0.00 0 0 0 18  28.64673527 -081.88508889   61    0 0 0 0 0 36  28.63738110 -081.88509992  183    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 112
111  28.64123338 -081.88812771
111  28.64138845 -081.88812705
111  28.64138891 -081.88826640
111  28.64136793 -081.88826649
111  28.64136832 -081.88838554
111  28.64125432 -081.88838603
111  28.64125393 -081.88826698
113  28.64123384 -081.88826707
110 2 0.00 0.0000 New Taxiway 111
111  28.64174690 -081.88807908
111  28.64174690 -081.88827133
111  28.64173552 -081.88827133
111  28.64173554 -081.88843888
111  28.64152789 -081.88843967
113  28.64152787 -081.88807908
110 2 0.00 0.0000 New Taxiway 110
111  28.64620999 -081.88572758
111  28.64620917 -081.88588687
111  28.64607223 -081.88588596
111  28.64607305 -081.88572667
111  28.64608203 -081.88572673
111  28.64608264 -081.88560588
111  28.64619567 -081.88560662
113  28.64619505 -081.88572748
110 2 0.00 0.0000 New Taxiway 109
111  28.64457945 -081.88573110
111  28.64458617 -081.88573113
111  28.64458657 -081.88562450
111  28.64470540 -081.88562508
111  28.64470500 -081.88573171
111  28.64471638 -081.88573176
111  28.64471565 -081.88592779
113  28.64457871 -081.88592712
110 2 0.00 0.0000 New Taxiway 108
111  28.63982313 -081.88338865
111  28.63995642 -081.88338819
111  28.63995686 -081.88355279
111  28.63982357 -081.88355325
111  28.63982349 -081.88352496
111  28.63972352 -081.88352531
111  28.63972322 -081.88341246
113  28.63982319 -081.88341211
110 2 0.00 0.0000 New Taxiway 107
111  28.63980193 -081.88371806
111  28.63992628 -081.88371853
111  28.63992578 -081.88389239
113  28.63980143 -081.88389192
110 2 0.00 0.0000 New Taxiway 106
111  28.63979221 -081.88403306
111  28.63992468 -081.88403260
111  28.63992516 -081.88420739
111  28.63979268 -081.88420785
111  28.63979263 -081.88418990
111  28.63972045 -081.88419015
111  28.63972005 -081.88404476
113  28.63979224 -081.88404450
110 2 0.00 0.0000 New Taxiway 105
111  28.63982352 -081.88435020
111  28.64001087 -081.88434982
111  28.64001117 -081.88453891
111  28.63982382 -081.88453930
111  28.63982379 -081.88451703
111  28.63972119 -081.88451724
111  28.63972094 -081.88436197
113  28.63982354 -081.88436176
110 2 0.00 0.0000 New Taxiway 104
111  28.64048808 -081.88435421
111  28.64048809 -081.88436468
111  28.64059690 -081.88436452
111  28.64059704 -081.88449021
111  28.64048837 -081.88449037
111  28.64048842 -081.88453303
111  28.64047662 -081.88453305
111  28.64047673 -081.88462455
111  28.64033765 -081.88462476
111  28.64033758 -081.88456531
111  28.64032344 -081.88454468
113  28.64032322 -081.88435445
110 2 0.00 0.0000 New Taxiway 103
111  28.64039098 -081.88403144
111  28.64051860 -081.88403175
111  28.64051858 -081.88404424
111  28.64059697 -081.88404443
111  28.64059670 -081.88418788
111  28.64051831 -081.88418769
111  28.64051828 -081.88420445
113  28.64039066 -081.88420414
110 2 0.00 0.0000 New Taxiway 102
111  28.64039740 -081.88371768
111  28.64052674 -081.88371768
111  28.64052674 -081.88372984
111  28.64059619 -081.88372984
111  28.64059619 -081.88387389
111  28.64052696 -081.88387389
111  28.64052696 -081.88389125
113  28.64039740 -081.88389125
110 2 0.00 0.0000 New Taxiway 101
111  28.64028059 -081.88339951
111  28.64040623 -081.88339874
111  28.64040629 -081.88341091
111  28.64051585 -081.88341023
111  28.64051653 -081.88355469
111  28.64040697 -081.88355536
111  28.64040704 -081.88357000
113  28.64028141 -081.88357077
110 2 0.00 0.0000 New Taxiway 100
111  28.64027415 -081.88308884
111  28.64040866 -081.88308838
111  28.64040910 -081.88325507
113  28.64027459 -081.88325553
110 1 0.00 0.0000 New Taxiway 99
112  28.63946243 -081.88621330  28.63949208 -081.88612572
112  28.63964640 -081.88617641  28.63969852 -081.88624760
111  28.63964640 -081.88617641
112  28.63970551 -081.88623294  28.63972329 -081.88623707
111  28.63970551 -081.88623294
111  28.64455629 -081.88622639
112  28.64455629 -081.88622639  28.64486207 -081.88621643
112  28.64516938 -081.88590745  28.64544371 -081.88589152
111  28.64516938 -081.88590745
111  28.64539414 -081.88590528
112  28.64539414 -081.88590528  28.64571157 -081.88591523
112  28.64604586 -081.88626734  28.64636038 -081.88627896
111  28.64604586 -081.88626734
111  28.64689776 -081.88626985
111  28.64689864 -081.88632907
111  28.64604561 -081.88633030
112  28.64604561 -081.88633030  28.64570197 -081.88631536
112  28.64539276 -081.88596347  28.64508407 -081.88593693
111  28.64539276 -081.88596347
111  28.64516900 -081.88596668
112  28.64516900 -081.88596668  28.64490865 -081.88598858
112  28.64455525 -081.88628582  28.64421103 -081.88630175
111  28.64455525 -081.88628582
111  28.63981209 -081.88629663
111  28.63970529 -081.88629687
112  28.63970529 -081.88629687  28.63963960 -081.88631115
112  28.63957970 -081.88637347  28.63952537 -081.88638902
111  28.63957970 -081.88637347
114  28.63957970 -081.88637347  28.63949794 -081.88638941
110 2 0.00 0.0000 New Taxiway 98
111  28.64081795 -081.88412380
111  28.64081795 -081.88394266
111  28.64101861 -081.88394266
113  28.64101861 -081.88412380
110 2 0.00 0.0000 New Taxiway 98
111  28.64189087 -081.88412415
111  28.64189087 -081.88394301
111  28.64209154 -081.88394301
113  28.64209154 -081.88412415
110 2 0.00 0.0000 New Taxiway 97
111  28.64092158 -081.88376965
111  28.64089034 -081.88380523
111  28.64079840 -081.88370043
111  28.64082991 -081.88366454
111  28.64079856 -081.88362881
111  28.64089054 -081.88352405
111  28.64092189 -081.88355978
111  28.64095310 -081.88352424
111  28.64104504 -081.88362905
111  28.64101353 -081.88366494
111  28.64104487 -081.88370067
113  28.64095292 -081.88380539
110 2 0.00 0.0000 New Taxiway 97
111  28.64091968 -081.88450592
111  28.64088844 -081.88454150
111  28.64079650 -081.88443670
111  28.64082801 -081.88440081
111  28.64079667 -081.88436508
111  28.64088865 -081.88426032
111  28.64091999 -081.88429605
111  28.64095120 -081.88426051
111  28.64104314 -081.88436532
111  28.64101163 -081.88440120
111  28.64104298 -081.88443694
