I
1050 Generated by WorldEditor 2.3.0r2

1     99 0 0 CCS3 St. Stephen
100 22.86 1 0 0.25 0 1 0 13  45.20880998 -067.25495768    0    0 1 0 0 0 31  45.20522927 -067.24443616    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 54
111  45.20845980 -067.25084352
111  45.20875175 -067.25064404
111  45.20882779 -067.25086733
113  45.20853584 -067.25106680
110 2 0.00 0.0000 New Taxiway 54
111  45.20856201 -067.25114366
111  45.20881514 -067.25097063
111  45.20888867 -067.25118656
113  45.20863555 -067.25135959
110 2 0.00 0.0000 New Taxiway 53
111  45.20871084 -067.25158068
111  45.20884639 -067.25148684
111  45.20898320 -067.25188857
113  45.20884765 -067.25198241
110 3 0.00 0.0000 New Taxiway 52
111  45.20927950 -067.25311169
111  45.20909488 -067.25328373
111  45.20897481 -067.25282997
112  45.20897481 -067.25282997  45.20894360 -067.25278568
112  45.20892563 -067.25283916  45.20893162 -067.25288061
111  45.20892563 -067.25283916
111  45.20894435 -067.25289962
111  45.20888292 -067.25282687
111  45.20877867 -067.25259599
111  45.20824486 -067.25298376
111  45.20821768 -067.25290249
111  45.20876890 -067.25251977
111  45.20896857 -067.25231749
111  45.20902724 -067.25246985
111  45.20906655 -067.25256375
111  45.20912522 -067.25271611
111  45.20922444 -067.25263638
113  45.20937034 -067.25303234
110 5 0.00 0.0000 New Taxiway 51
111  45.20916594 -067.25361530
111  45.20894435 -067.25289962
111  45.20892563 -067.25283916
112  45.20892563 -067.25283916  45.20891964 -067.25279770
112  45.20897481 -067.25282997  45.20900601 -067.25287426
111  45.20897481 -067.25282997
111  45.20909488 -067.25328373
113  45.20919901 -067.25358519
110 2 0.00 0.0000 New Taxiway 50
111  45.20906780 -067.25223777
111  45.20912646 -067.25239013
111  45.20902724 -067.25246985
113  45.20896857 -067.25231749
110 2 0.00 0.0000 New Taxiway 50
111  45.20916578 -067.25248402
111  45.20922444 -067.25263638
111  45.20912522 -067.25271611
113  45.20906655 -067.25256375
110 2 0.00 0.0000 New Taxiway 49
111  45.20927950 -067.25311169
111  45.20937034 -067.25303234
111  45.20943025 -067.25318222
111  45.20933941 -067.25326157
113  45.20931122 -067.25319105
110 2 0.00 0.0000 New Taxiway 49
111  45.20940706 -067.25339179
111  45.20949703 -067.25330690
111  45.20956194 -067.25345093
113  45.20947197 -067.25353582
110 1 0.00 0.0000 New Taxiway 48
111  45.20953150 -067.25451305
111  45.20972697 -067.25438538
111  45.20978414 -067.25456112
111  45.20958867 -067.25468879
111  45.20967488 -067.25495378
111  45.20984119 -067.25492523
111  45.20987426 -067.25507563
111  45.20965805 -067.25516869
111  45.20939643 -067.25433961
111  45.20937172 -067.25431970
111  45.20910732 -067.25450196
111  45.20889060 -067.25465135
111  45.20885666 -067.25478928
111  45.20874177 -067.25447694
111  45.20884530 -067.25447235
111  45.20905411 -067.25433819
111  45.20932810 -067.25416216
111  45.20933484 -067.25413240
