I
1050 Generated by WorldEditor 2.1.0r1

1     57 0 0 EDXN Nordholz Spieka
1302 city Spieka
1302 country Germany
1302 datum_lat 53.768650
1302 datum_lon 8.642634
1302 icao_code EDXN
1302 state Niedersachsen
100 41.45 3 0 0.00 0 0 0 07  53.76748438  008.63347230  246    0 0 0 0 0 25  53.76969593  008.65188097  292    0 0 0 0 0
110 2 0.00 78.5100 New Taxiway 588
111  53.76782921  008.64150599
111  53.76780605  008.64128709
111  53.76778870  008.64112306
111  53.76777179  008.64096329
111  53.76774582  008.64071788
111  53.76766375  008.64074416
111  53.76772900  008.64136119
113  53.76774714  008.64153226
110 2 0.00 78.5100 New Taxiway 591
111  53.76748690  008.63792597
111  53.76737968  008.63795881
111  53.76741945  008.63832463
113  53.76752667  008.63829179
110 2 0.00 78.5100 New Taxiway 587
111  53.76753954  008.63924184
111  53.76746563  008.63860841
111  53.76735001  008.63864096
113  53.76742392  008.63927440
110 2 0.00 78.5100 Hangar
111  53.76676321  008.63530146
111  53.76676928  008.63535030
111  53.76678747  008.63549687
111  53.76679353  008.63554570
111  53.76699829  008.63547186
113  53.76696797  008.63522762
110 2 0.00 78.5100 Hangar
111  53.76673018  008.63503537
111  53.76673558  008.63507885
111  53.76675351  008.63522329
111  53.76676065  008.63528083
111  53.76696541  008.63520699
113  53.76693494  008.63496152
110 2 0.00 78.5100 Hangar
111  53.76669664  008.63476515
111  53.76670079  008.63479862
111  53.76671995  008.63495291
111  53.76672738  008.63501275
111  53.76693213  008.63493891
113  53.76690140  008.63469130
110 1 0.00 78.5100 New Taxiway 590
111  53.76777179  008.64096329
111  53.76778870  008.64112306
111  53.76786449  008.64109804
113  53.76784758  008.64093827
110 1 0.00 78.5100 New Taxiway 589
111  53.76772900  008.64136119
111  53.76768685  008.64137245
111  53.76770499  008.64154352
113  53.76774714  008.64153226
110 1 0.00 78.5100 New Taxiway 586
111  53.76762488  008.63935007
111  53.76757431  008.63937034
111  53.76755168  008.63935908
111  53.76753954  008.63924184
111  53.76742392  008.63927440
111  53.76740013  008.63928203
111  53.76740531  008.63932081
111  53.76746354  008.63930048
111  53.76747697  008.63940206
111  53.76741874  008.63942239
111  53.76742257  008.63945141
111  53.76750510  008.63942664
111  53.76752772  008.63952797
113  53.76763154  008.63948969
110 1 0.00 78.5100 New Taxiway 585
111  53.76721893  008.63786613
111  53.76719631  008.63787289
111  53.76726685  008.63848763
111  53.76736801  008.63845610
111  53.76738664  008.63860923
111  53.76732142  008.63862724
111  53.76732365  008.63864839
111  53.76735001  008.63864096
111  53.76746563  008.63860841
111  53.76744622  008.63843796
111  53.76741664  008.63844265
111  53.76736673  008.63794381
111  53.76740555  008.63793130
113  53.76739076  008.63780464
110 1 0.00 78.5100 New Taxiway 584
111  53.76676928  008.63535030
111  53.76676243  008.63535297
111  53.76669622  008.63537679
111  53.76668091  008.63538229
111  53.76669975  008.63552786
111  53.76671453  008.63552255
111  53.76677758  008.63549807
113  53.76678747  008.63549687
110 1 0.00 78.5100 New Taxiway 583
111  53.76673558  008.63507885
111  53.76672731  008.63508155
111  53.76665946  008.63510379
111  53.76664451  008.63510870
111  53.76666322  008.63525328
111  53.76667749  008.63524860
111  53.76674602  008.63522613
113  53.76675351  008.63522329
110 1 0.00 78.5100 New Taxiway 582
111  53.76670079  008.63479862
111  53.76669105  008.63480134
111  53.76662434  008.63482444
111  53.76660953  008.63482957
111  53.76662939  008.63498303
111  53.76664400  008.63497796
111  53.76671090  008.63495479
113  53.76671995  008.63495291
110 1 0.00 78.5100 Asphalt H west
111  53.76692960  008.63424152
111  53.76686494  008.63413483
111  53.76683536  008.63414265
111  53.76687799  008.63449125
111  53.76685691  008.63449687
111  53.76686386  008.63455368
111  53.76688493  008.63454805
111  53.76689081  008.63459614
111  53.76679931  008.63462428
111  53.76680783  008.63469969
111  53.76689874  008.63466989
111  53.76690140  008.63469130
111  53.76693213  008.63493891
111  53.76693494  008.63496152
111  53.76696541  008.63520699
111  53.76696797  008.63522762
111  53.76699829  008.63547186
111  53.76700014  008.63548676
113  53.76707600  008.63545523
110 3 0.00 78.5100 Grass
112  53.76921044  008.65178983  53.76923252  008.65199529
112  53.76941743  008.65209335  53.76948643  008.65208868
112  53.77054901  008.65198128  53.77061524  008.65198128
112  53.77058764  008.65177116  53.77057936  008.65157037
112  53.76847262  008.63409719  53.76840553  008.63366592
112  53.76812762  008.63347136  53.76808929  008.63344866
112  53.76747406  008.63314063  53.76746256  008.63313414
112  53.76736864  008.63294931  53.76730348  008.63290716
112  53.76658666  008.63243376  53.76657516  008.63243051
112  53.76654641  008.63256346  53.76656941  008.63264776
112  53.76700832  008.63415555  53.76703898  008.63427552
112  53.76707732  008.63454465  53.76708690  008.63462896
111  53.76739862  008.63711403
111  53.76748690  008.63792597
111  53.76752667  008.63829179
111  53.76761823  008.63913390
111  53.76755701  008.63915417
111  53.76756551  008.63923436
111  53.76753954  008.63924184
111  53.76755168  008.63935908
111  53.76757431  008.63937034
111  53.76762488  008.63935007
111  53.76763154  008.63948969
111  53.76752772  008.63952797
111  53.76750510  008.63942664
111  53.76742257  008.63945141
111  53.76741874  008.63942239
111  53.76747697  008.63940206
111  53.76746354  008.63930048
111  53.76740531  008.63932081
111  53.76740013  008.63928203
111  53.76739063  008.63928477
111  53.76732365  008.63864839
111  53.76732142  008.63862724
111  53.76738664  008.63860923
111  53.76736801  008.63845610
111  53.76726685  008.63848763
111  53.76719631  008.63787289
111  53.76721893  008.63786613
111  53.76714174  008.63717032
111  53.76718965  008.63715907
111  53.76717634  008.63709151
111  53.76702860  008.63712979
111  53.76701430  008.63703276
111  53.76686456  008.63576800
111  53.76713206  008.63568137
111  53.76698959  008.63552253
111  53.76698643  008.63549594
111  53.76678914  008.63555940
111  53.76678127  008.63549854
111  53.76671453  008.63552255
111  53.76669975  008.63552786
111  53.76668091  008.63538229
111  53.76669622  008.63537679
111  53.76676243  008.63535297
111  53.76674602  008.63522613
111  53.76667749  008.63524860
111  53.76666322  008.63525328
111  53.76664451  008.63510870
111  53.76665946  008.63510379
111  53.76672731  008.63508155
111  53.76671090  008.63495479
111  53.76664400  008.63497796
111  53.76662939  008.63498303
111  53.76660953  008.63482957
111  53.76662434  008.63482444
111  53.76669105  008.63480134
111  53.76668008  008.63471654
111  53.76672075  008.63470404
111  53.76672352  008.63472749
111  53.76680783  008.63469969
111  53.76679931  008.63462428
111  53.76689081  008.63459614
111  53.76688493  008.63454805
111  53.76686386  008.63455368
111  53.76685691  008.63449687
111  53.76687799  008.63449125
111  53.76683536  008.63414265
111  53.76686494  008.63413483
111  53.76684275  008.63388151
112  53.76632422  008.63211450  53.76628448  008.63199096
112  53.76614306  008.63196438  53.76612550  008.63196594
112  53.76612088  008.63258205  53.76612735  008.63265555
112  53.76618003  008.63281817  53.76618188  008.63287603
112  53.76618928  008.63299018  53.76620406  008.63302146
112  53.76640648  008.63352498  53.76641665  008.63354218
112  53.76642127  008.63362505  53.76642405  008.63365164
112  53.76744725  008.64198181  53.76746167  008.64206625
112  53.76783657  008.64241716  53.76799074  008.64236837
112  53.76801958  008.64233647  53.76802956  008.64234210
112  53.76803954  008.64241904  53.76804952  008.64247534
114  53.76808835  008.64248659  53.76809389  008.64253163
111  53.76780605  008.64128709
112  53.76784825  008.64126590  53.76785601  008.64126214
112  53.76786822  008.64128278  53.76786932  008.64130530
112  53.76789040  008.64137286  53.76789594  008.64139913
112  53.76789373  008.64146668  53.76789373  008.64149108
112  53.76789927  008.64156802  53.76789927  008.64158490
112  53.76789040  008.64166372  53.76789040  008.64169937
112  53.76791924  008.64183636  53.76793255  008.64193581
112  53.76783272  008.64197897  53.76781054  008.64196771
112  53.76775508  008.64184574  53.76774288  008.64182885
112  53.76775952  008.64176130  53.76775952  008.64173127
111  53.76774954  008.64155488
111  53.76774714  008.64153226
111  53.76770499  008.64154352
111  53.76768685  008.64137245
111  53.76772900  008.64136119
111  53.76766375  008.64074416
111  53.76766080  008.64071795
112  53.76763108  008.64068674  53.76763329  008.64065671
112  53.76766744  008.64062046  53.76769406  008.64060920
112  53.76777110  008.64058162  53.76777776  008.64058537
112  53.76777277  008.64066482  53.76776278  008.64067420
111  53.76774288  008.64069168
111  53.76774582  008.64071788
111  53.76777179  008.64096329
111  53.76784758  008.64093827
111  53.76786449  008.64109804
113  53.76778870  008.64112306
110 3 0.00 78.5100 Grass
112  53.76700280  008.63450497  53.76699881  008.63446895
112  53.76695222  008.63425052  53.76694690  008.63423476
111  53.76692960  008.63424152
111  53.76707600  008.63545523
111  53.76700014  008.63548676
111  53.76700546  008.63551603
111  53.76713989  008.63566240
113  53.76714521  008.63564888
130 Airport Boundary by Major Tom
111  53.76614487  008.63173859
111  53.76612490  008.63183766
111  53.76608617  008.63181316
111  53.76608751  008.63285571
111  53.76615938  008.63289850
111  53.76615672  008.63296605
111  53.76639763  008.63355601
111  53.76858976  008.65172813
111  53.76885862  008.65227309
111  53.77174553  008.65198934
111  53.77439907  008.65172186
111  53.77443515  008.65170606
111  53.77340780  008.64573262
111  53.77193123  008.64128854
111  53.77277072  008.63600000
111  53.76856412  008.63342404
111  53.76763264  008.63296101
111  53.76745554  008.63280927
111  53.76643897  008.63212445
113  53.76636767  008.63192213
120 Linear Feature 593
111  53.76672895  008.63546680 1
115  53.76690534  008.63540947
120 Linear Feature 593
111  53.76665501  008.63493904 1
115  53.76683140  008.63488170
