I
1050 Generated by WorldEditor 2.1.0r1

1   1535 0 0 0L9 Echo Bay
100 15.24 1 0 0.25 0 0 0 6  36.31015256 -114.46953743    0    0 0 0 0 0 24  36.31195008 -114.45820904    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 116
111  36.31122112 -114.46571459
111  36.31128304 -114.46531703
112  36.31123868 -114.46524359  36.31120249 -114.46522887
111  36.31123868 -114.46524359
111  36.31097885 -114.46517184
112  36.31097885 -114.46517184  36.31093954 -114.46516766
111  36.31090869 -114.46521308
111  36.31080103 -114.46534530
111  36.31088784 -114.46481996
111  36.31094008 -114.46501551
112  36.31097712 -114.46508255  36.31100333 -114.46509370
111  36.31097712 -114.46508255
111  36.31124968 -114.46515381
112  36.31124968 -114.46515381  36.31128462 -114.46515846
111  36.31131427 -114.46511651
111  36.31160215 -114.46326818
111  36.31163991 -114.46327554
112  36.31165209 -114.46329578  36.31165183 -114.46331181
111  36.31165209 -114.46329578
111  36.31142906 -114.46472453
111  36.31155307 -114.46474906
113  36.31139432 -114.46576483
110 1 0.00 0.0000 New Taxiway 115
111  36.31197382 -114.45821505
111  36.31233559 -114.45829567
112  36.31244276 -114.45846948  36.31243340 -114.45860517
111  36.31244276 -114.45846948
111  36.31242090 -114.45863440
112  36.31242090 -114.45863440  36.31240310 -114.45872874
111  36.31235833 -114.45879892
111  36.31173185 -114.45965277
111  36.31180838 -114.45917803
111  36.31184838 -114.45930019
112  36.31187709 -114.45929941  36.31189506 -114.45928176
111  36.31187709 -114.45929941
111  36.31230616 -114.45872460
112  36.31230616 -114.45872460  36.31238273 -114.45856468
112  36.31221087 -114.45843456  36.31211705 -114.45840712
111  36.31221087 -114.45843456
111  36.31211382 -114.45841616
112  36.31211382 -114.45841616  36.31201463 -114.45842178
111  36.31197166 -114.45851392
113  36.31190257 -114.45859411
110 1 0.00 0.0000 New Taxiway 114
111  36.31024587 -114.46905257
111  36.31027519 -114.46920638
112  36.31027519 -114.46920638  36.31032411 -114.46952529
112  36.31065686 -114.46920506  36.31070349 -114.46895945
111  36.31065686 -114.46920506
111  36.31069281 -114.46899764
112  36.31067143 -114.46883853  36.31063960 -114.46877255
111  36.31067143 -114.46883853
111  36.31037533 -114.46830715
111  36.31042431 -114.46801386
112  36.31045486 -114.46827091  36.31047546 -114.46831793
111  36.31045486 -114.46827091
111  36.31073288 -114.46876203
112  36.31073288 -114.46876203  36.31078754 -114.46887308
112  36.31077170 -114.46908855  36.31075260 -114.46921262
111  36.31077170 -114.46908855
111  36.31071892 -114.46934099
112  36.31037136 -114.46958933  36.31008906 -114.46953267
111  36.31037136 -114.46958933
113  36.31017138 -114.46954201
130 Boundary
111  36.31123318 -114.45835062
111  36.31147916 -114.45790781
111  36.31150113 -114.45705684
111  36.31263386 -114.45736153
111  36.31239158 -114.46093318
111  36.31244848 -114.46348627
111  36.31223380 -114.46492752
111  36.31079380 -114.47076595
113  36.30926340 -114.47046065
14  36.31174428 -114.46417662   7.00 0 Viewpoint
1300  36.31148501 -114.46481279 -190.99 tie_down turboprops|props GA 6
1301 A general_aviation 
1300  36.31145794 -114.46498428 -190.99 tie_down turboprops|props GA 5
1301 A general_aviation 
1300  36.31143094 -114.46515535 -190.99 tie_down turboprops|props GA 4
1301 A general_aviation 
1300  36.31140387 -114.46532683 -190.99 tie_down turboprops|props GA 3
1301 A general_aviation 
1300  36.31137676 -114.46549866 -190.99 tie_down turboprops|props GA 2
1301 A general_aviation 
1300  36.31134963 -114.46567054 -190.99 tie_down turboprops|props GA 1
1301 A general_aviation 
19  36.31199324 -114.46513478 0 WS
51 12280 CTAF
99
