A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1     2869 0 1 79S  FORT BENTON
100   22.86   1   0 0.25 0 2 0 05   47.84231400 -110.64418900    0.00    0.00 2  0 0 0 23   47.84790300 -110.62877500    0.00    0.00 2  0 0 0
100   22.86   3   0 0.25 0 0 0 14   47.84391400 -110.63945600    0.00    0.00 1  0 0 0 32   47.83981100 -110.63617200    0.00    0.00 1  0 0 0
21   47.84343435 -110.64204289  2  61.61   3.00 05  PAPI-4L
21   47.84678293 -110.63092168  2 241.63   3.00 23  PAPI-4L
10   47.84250700 -110.64424400 xxx 151.61   165 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84812800 -110.62905500 xxx 151.61   145 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84795800 -110.62937400 xxx   6.40   217 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84826100 -110.62924500 xxx  62.50    66 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84264500 -110.64393600 xxx 117.00   164 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84270000 -110.64430600 xxx  61.40    72 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.83952400 -110.64850800 xxx  54.00  2948 0.0 0.0    35 161161  1 0 0 0.25 0
10   47.84212700 -110.64392500 xxx 331.60   197 0.0 0.0    35 161161  1 0 0 0.25 0
10   47.83859800 -110.65197700 xxx  52.90   577 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.83742500 -110.65329500 xxx 144.60   125 0.0 0.0   144 101101  1 0 0 0.25 0
10   47.83785500 -110.65306000 xxx  21.00   223 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.83797300 -110.65245800 xxx 144.80   243 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.83875300 -110.65089700 xxx 324.00   223 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.83918200 -110.65112500 xxx  54.00   604 0.0 0.0   125 101101  1 0 0 0.25 0
10   47.84545100 -110.63623200 xxx 330.70   177 0.0 0.0    40 161161  1 0 0 0.25 0
10   47.84593400 -110.63631100 xxx 152.00   164 0.0 0.0   381 101101  1 0 0 0.25 0
10   47.84613500 -110.63658100 xxx  61.40   997 0.0 0.0    30 101101  1 0 0 0.25 0
14   47.84606400 -110.63713200   25 0 Tower Viewpoint
18   47.84759500 -110.63555100 1 Light beacon
19   47.84436300 -110.63537100 1 Windsock
19   47.84248600 -110.64467600 1 WS
19   47.84384500 -110.63873700 1 WS
19   47.84773000 -110.62828800 1 WS
19   47.83948400 -110.63643000 1 WS
51 12280 CTAF/UNICOM


130 Airport Boundary
111  047.83742523 -110.65329742
111  047.83785629 -110.65306091
111  047.83918381 -110.65112305
111  047.84270096 -110.64430237
111  047.84613419 -110.63658142
111  047.84826279 -110.62924194
111  047.84812927 -110.62905121
111  047.84790421 -110.62877655
113  047.83980942 -110.63616943
99
