I
1050 Generated by WorldEditor 2.1.0r1

1    715 0 0 GCGM La Gomera
100 30.48 1 1 0.00 0 3 0 09  28.02858666 -017.22214781    0   59 3 0 0 0 27  28.03065727 -017.20705003    0   59 3 0 0 0
110 2 0.00 0.0000 New Taxiway 5
111  28.03121321 -017.21111633
111  28.03146899 -017.21115859
111  28.03124392 -017.21276950
113  28.03099157 -017.21272744
110 1 0.00 0.0000 New Taxiway 1
111  28.03086259 -017.20703779
112  28.03103246 -017.20741088  28.03100632 -017.20768071
111  28.03103246 -017.20741088
112  28.03103246 -017.20741088  28.03100116 -017.20764419
112  28.03080671 -017.20777356  28.03072875 -017.20787649
111  28.03080671 -017.20777356
112  28.03080671 -017.20777356  28.03075096 -017.20784747
111  28.03073656 -017.20794737
111  28.03033539 -017.21087603
112  28.03033539 -017.21087603  28.03032380 -017.21095925
111  28.03039555 -017.21098126
111  28.03121321 -017.21111633
111  28.03146899 -017.21115859
111  28.03154186 -017.21117062
111  28.03132305 -017.21278268
111  28.03124392 -017.21276950
111  28.03099157 -017.21272744
111  28.03094205 -017.21271919
111  28.03092493 -017.21283417
111  28.03040292 -017.21274010
111  28.03058605 -017.21140379
112  28.03058605 -017.21140379  28.03059345 -017.21133219
111  28.03054545 -017.21131457
111  28.03035768 -017.21127843
112  28.03035768 -017.21127843  28.03028821 -017.21127145
111  28.03027304 -017.21133834
111  28.02889870 -017.22134122
112  28.02889870 -017.22134122  28.02889482 -017.22138644
112  28.02892698 -017.22151797  28.02895394 -017.22158265
111  28.02892698 -017.22151797
112  28.02892698 -017.22151797  28.02896744 -017.22161503
112  28.02904838 -017.22181754  28.02905583 -017.22191751
111  28.02904838 -017.22181754
112  28.02904838 -017.22181754  28.02906231 -017.22200441
111  28.02894708 -017.22216040
111  28.02877882 -017.22221963
111  28.02847426 -017.22216614
113  28.03055807 -017.20698399
130 Airport Boundary 1
111  28.02808494 -017.22306766
111  28.02762130 -017.22292551
111  28.02744068 -017.22269139
111  28.02812295 -017.21737905
111  28.02831773 -017.21717088
111  28.02847558 -017.21634460
111  28.02843942 -017.21601865
111  28.02842839 -017.21587293
111  28.02853497 -017.21582713
111  28.02870770 -017.21565644
111  28.02876650 -017.21530671
111  28.02869667 -017.21507356
111  28.02861473 -017.21501264
111  28.02858815 -017.21481588
111  28.02869980 -017.21460907
111  28.02874056 -017.21436814
111  28.02908675 -017.21418218
111  28.02922925 -017.21406171
111  28.02926753 -017.21386414
111  28.02920160 -017.21367621
111  28.02915481 -017.21361598
111  28.02896330 -017.21297779
111  28.02878465 -017.21288865
111  28.02852518 -017.21256579
111  28.02847620 -017.21240956
111  28.02852861 -017.21200402
111  28.02857752 -017.21188355
111  28.02853073 -017.21162575
111  28.02906260 -017.20627244
111  28.02948194 -017.20604684
111  28.03029437 -017.20586613
111  28.03116447 -017.20603890
111  28.03151728 -017.20633034
111  28.03166795 -017.20668840
111  28.03178952 -017.20897944
111  28.03230949 -017.20909178
111  28.03279938 -017.21027003
111  28.03280539 -017.21078891
111  28.03267523 -017.21116479
111  28.03240471 -017.21154933
111  28.03222861 -017.21169390
111  28.03218568 -017.21439203
111  28.03232239 -017.21483669
111  28.03220801 -017.21676324
111  28.03208100 -017.21752732
111  28.03170731 -017.21859779
111  28.03152670 -017.21964644
111  28.03111513 -017.22033438
111  28.03061836 -017.22160804
111  28.02983337 -017.22245238
111  28.02922388 -017.22300440
113  28.02877405 -017.22315928
120 Linear Feature 49
111  28.03046803 -017.21107004 4 103
111  28.03045832 -017.21114357 4 103
115  28.03044880 -017.21121570
120 Linear Feature 46
111  28.03130866 -017.21140654 1
115  28.03131520 -017.21135377
120 Linear Feature 46
111  28.03107746 -017.21249674 1
115  28.03111322 -017.21244722
120 Linear Feature 46
111  28.03114885 -017.21196048 1
115  28.03118462 -017.21191096
120 Linear Feature 3
112  28.03116791 -017.21130096  28.03115889 -017.21136516 2
114  28.03125599 -017.21131717  28.03126576 -017.21124933 2
120 Linear Feature 3
112  28.03104734 -017.21239348  28.03103832 -017.21245769 2
114  28.03113542 -017.21240969  28.03114519 -017.21234185 2
120 Linear Feature 3
112  28.03099205 -017.21238149  28.03097160 -017.21252775 2
114  28.03119187 -017.21241842  28.03121402 -017.21226387 2
120 Linear Feature 3
112  28.03110637 -017.21129009  28.03108503 -017.21144141 2
114  28.03131491 -017.21132830  28.03133802 -017.21116840 2
120 Linear Feature 45
111  28.03094043 -017.21126076 1
111  28.03130450 -017.21132508 1
111  28.03133109 -017.21132978 1
112  28.03122773 -017.21151227  28.03111697 -017.21154660 1
111  28.03105783 -017.21142768 1
115  28.03095033 -017.21140869
120 Linear Feature 44
111  28.03091621 -017.21164584 1
111  28.03120051 -017.21189533 1
111  28.03122072 -017.21191307 1
112  28.03113728 -017.21205656  28.03104773 -017.21208720 1
111  28.03099472 -017.21200254 1
115  28.03094903 -017.21199711
120 Linear Feature 43
111  28.03084569 -017.21216910 1
111  28.03112372 -017.21243277 1
111  28.03114563 -017.21245355 1
112  28.03106633 -017.21259270  28.03098423 -017.21262571 1
115  28.03093612 -017.21256196
120 Linear Feature 42
111  28.03068413 -017.21270804 1
112  28.03066622 -017.21268941  28.03066170 -017.21267779 1
111  28.03066228 -017.21266919 1
111  28.03067389 -017.21258698 1
115  28.03069003 -017.21247270
120 Linear Feature 38
111  28.03074848 -017.21243853 1
111  28.03081404 -017.21251714 1
112  28.03082588 -017.21253955  28.03082849 -017.21255096 1
111  28.03082703 -017.21256824 1
112  28.03080987 -017.21269934  28.03080428 -017.21272852 1
111  28.03078454 -017.21272551 1
111  28.03068413 -017.21270804 1
111  28.03055397 -017.21268550 1
112  28.03053080 -017.21267146  28.03052408 -017.21266258 1
111  28.03052367 -017.21264929 1
111  28.03053570 -017.21256290 1
115  28.03055110 -017.21245242
120 Linear Feature 32
111  28.03037328 -017.21112836 1 105
111  28.03045832 -017.21114357 1 101
111  28.03063531 -017.21117518 1 101
112  28.03069103 -017.21121698  28.03072302 -017.21125480 1 101
112  28.03073858 -017.21132018  28.03074294 -017.21134490 1 101
111  28.03074286 -017.21140350 1 101
115  28.03061931 -017.21232198
120 Linear Feature 31
111  28.03037328 -017.21112836 1 105
112  28.03020844 -017.21102030  28.03013863 -017.21092803 1 105
111  28.03015172 -017.21079704 1 105
115  28.03023753 -017.21017915
120 Linear Feature 30
111  28.02999091 -017.21198662 1 105
111  28.03007289 -017.21136966 1 105
112  28.03017900 -017.21118584  28.03027063 -017.21111251 1 105
115  28.03037328 -017.21112836
120 Linear Feature 29
111  28.03078823 -017.20709411 3 102
112  28.03087062 -017.20714667  28.03092101 -017.20719107 3 102
112  28.03096261 -017.20740223  28.03095621 -017.20751823 3 102
112  28.03085702 -017.20761792  28.03082422 -017.20764420 3 102
112  28.03074903 -017.20773120  28.03070423 -017.20779283 3 102
115  28.03068904 -017.20785445
120 Linear Feature 28
111  28.03046825 -017.20849802 1 101
111  28.03054950 -017.20790316 1 101
